Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1185732,2021-01-24,West,Alaska,Anchorage,Women's Apparel,55.00000000000001,300,165000.00000000003,49500.00000000001,0.3,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,55.00000000000001,575,316250.00000000006,110687.50000000003,0.35000000000000003,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,55.00000000000001,225,123750.00000000001,43312.50000000001,0.35000000000000003,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Street Footwear,45.0,275,123750.0,30937.5,0.25,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Athletic Footwear,49.99999999999999,175,87499.99999999999,21874.999999999996,0.25,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,65.00000000000001,250,162500.00000000003,40625.00000000001,0.25,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Apparel,55.00000000000001,350,192500.00000000003,57750.00000000001,0.3,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Men's Street Footwear,55.00000000000001,545,299750.00000000006,104912.50000000003,0.35000000000000003,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Men's Athletic Footwear,55.00000000000001,250,137500.00000000003,48125.000000000015,0.35000000000000003,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Women's Street Footwear,45.0,275,123750.0,30937.5,0.25,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Women's Athletic Footwear,49.99999999999999,125,62499.99999999999,15624.999999999998,0.25,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Men's Apparel,65.00000000000001,175,113750.00000000003,28437.500000000007,0.25,Outlet
Amazon,1185732,2021-03-20,West,Alaska,Anchorage,Women's Apparel,55.00000000000001,275,151250.00000000003,45375.00000000001,0.3,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Street Footwear,55.00000000000001,525,288750.00000000006,101062.50000000003,0.35000000000000003,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Athletic Footwear,55.00000000000001,225,123750.00000000001,43312.50000000001,0.35000000000000003,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Street Footwear,45.0,225,101250.0,25312.5,0.25,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Athletic Footwear,49.99999999999999,150,74999.99999999999,18749.999999999996,0.25,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Men's Apparel,60.00000000000001,150,90000.00000000001,22500.000000000004,0.25,Outlet
Amazon,1185732,2021-04-21,West,Alaska,Anchorage,Women's Apparel,50.0,300,150000.0,45000.0,0.3,Outlet
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Men's Street Footwear,65.0,570,370500.0,129675.00000000001,0.35000000000000003,Outlet
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Men's Athletic Footwear,60.00000000000001,275,165000.00000000003,57750.000000000015,0.35000000000000003,Outlet
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Women's Street Footwear,55.00000000000001,300,165000.00000000003,41250.00000000001,0.25,Outlet
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Women's Athletic Footwear,55.00000000000001,250,137500.00000000003,34375.00000000001,0.25,Outlet
Amazon,1185732,2021-05-20,West,Alaska,Anchorage,Men's Apparel,65.0,275,178750.0,44687.5,0.25,Outlet
