Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-10-22,South,Texas,Dallas,Men's Street Footwear,45.0,425,191250.0,105187.50000000001,0.55,Outlet
Foot Locker,1185732,2021-10-23,South,Texas,Dallas,Men's Athletic Footwear,45.0,225,101250.0,35437.5,0.35,Outlet
Foot Locker,1185732,2021-10-24,South,Texas,Dallas,Women's Street Footwear,35.0,225,78750.0,31499.999999999996,0.39999999999999997,Outlet
Foot Locker,1185732,2021-10-25,South,Texas,Dallas,Women's Athletic Footwear,40.0,75,30000.0,11999.999999999998,0.39999999999999997,Outlet
Foot Locker,1185732,2021-05-21,South,Tennessee,Knoxville,Men's Street Footwear,35.0,425,148750.0,59500.0,0.4,Outlet
Foot Locker,1185732,2021-05-22,South,Tennessee,Knoxville,Men's Athletic Footwear,35.0,225,78750.0,27562.5,0.35,Outlet
Foot Locker,1185732,2021-05-23,South,Tennessee,Knoxville,Women's Street Footwear,25.0,225,56250.0,19687.5,0.35,Outlet
Foot Locker,1185732,2021-05-24,South,Tennessee,Knoxville,Women's Athletic Footwear,30.000000000000004,75,22500.000000000004,9000.000000000002,0.4,Outlet
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Street Footwear,75.00000000000003,600,450000.0000000002,180000.00000000006,0.39999999999999997,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Athletic Footwear,75.00000000000003,600,450000.0000000002,180000.00000000006,0.39999999999999997,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Men's Apparel,85.00000000000001,525,446250.00000000006,200812.50000000003,0.45,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Apparel,90.00000000000003,625,562500.0000000002,196875.00000000006,0.35,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Street Footwear,20.0,675,135000.0,40500.0,0.3,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Athletic Footwear,30.0,675,202500.0,60750.0,0.3,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Street Footwear,30.0,475,142500.0,42750.0,0.3,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,35.0,475,166250.0,66500.0,0.4,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Apparel,40.0,325,130000.0,32500.0,0.25,Online
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Street Footwear,25.0,625,156250.0,46875.0,0.3,Online
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Athletic Footwear,35.0,600,210000.0,63000.0,0.3,Online
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Women's Street Footwear,35.0,425,148750.0,44625.0,0.3,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,81250.0,32500.0,0.4,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Men's Apparel,40.0,400,160000.0,56000.0,0.35,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Apparel,25.0,500,125000.0,62500.0,0.5,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Street Footwear,25.0,720,180000.0,72000.0,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,400,100000.0,35000.0,0.35,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.000000000000002,425,63750.00000000001,25500.000000000004,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Athletic Footwear,19.999999999999996,275,54999.99999999999,22000.0,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Apparel,35.00000000000001,325,113750.00000000003,39812.50000000001,0.35,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Apparel,25.0,425,106250.0,53125.0,0.5,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Street Footwear,25.0,675,168750.0,67500.0,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,375,93750.0,32812.5,0.35,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.000000000000002,375,56250.00000000001,22500.000000000004,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,19.999999999999996,300,59999.99999999999,24000.0,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Apparel,40.0,325,130000.0,45500.0,0.35,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Apparel,30.000000000000004,475,142500.00000000003,71250.00000000001,0.5,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Men's Street Footwear,40.0,745,298000.0,119200.0,0.4,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Men's Athletic Footwear,40.0,450,180000.0,62999.99999999999,0.35,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Street Footwear,35.0,425,148750.0,59500.0,0.4,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Athletic Footwear,35.0,375,131250.0,52500.0,0.4,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Men's Apparel,44.99999999999999,400,179999.99999999997,62999.999999999985,0.35,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Women's Apparel,49.99999999999999,500,249999.99999999997,124999.99999999999,0.5,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Men's Street Footwear,44.99999999999999,750,337499.99999999994,134999.99999999997,0.4,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Men's Athletic Footwear,40.0,500,200000.0,70000.0,0.35,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Street Footwear,45.0,475,213750.0,85500.0,0.4,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Athletic Footwear,45.0,450,202500.0,81000.0,0.4,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Men's Apparel,60.0,450,270000.0,94500.0,0.35,Online
Foot Locker,1185732,2021-06-18,South,Mississippi,Jackson,Women's Apparel,65.0,625,406250.0,203125.0,0.5,Online
Foot Locker,1185732,2021-07-16,South,Mississippi,Jackson,Men's Street Footwear,60.0,850,510000.0,204000.0,0.4,Online
Foot Locker,1185732,2021-10-22,South,Texas,Dallas,Men's Street Footwear,44.0,111,4884.0,3418.8,0.7000000000000001,Online
Foot Locker,1185732,2021-10-23,South,Texas,Dallas,Men's Athletic Footwear,41.0,68,2788.0,1310.36,0.47,Online
Foot Locker,1185732,2021-10-24,South,Texas,Dallas,Women's Street Footwear,33.0,56,1848.0,942.48,0.51,Online
Foot Locker,1185732,2021-10-25,South,Texas,Dallas,Women's Athletic Footwear,38.0,19,722.0,368.22,0.51,Online
Foot Locker,1185732,2021-05-21,South,Tennessee,Knoxville,Men's Street Footwear,32.0,119,3808.0,1904.0,0.5,Online
Foot Locker,1185732,2021-05-22,South,Tennessee,Knoxville,Men's Athletic Footwear,32.0,56,1792.0,878.0799999999999,0.49,Online
Foot Locker,1185732,2021-05-23,South,Tennessee,Knoxville,Women's Street Footwear,24.0,65,1560.0,748.8,0.48,Online
Foot Locker,1185732,2021-05-24,South,Tennessee,Knoxville,Women's Athletic Footwear,27.0,19,513.0,271.89,0.53,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Street Footwear,69.0,162,11178.0,5812.56,0.52,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Athletic Footwear,72.0,156,11232.0,6065.280000000001,0.54,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Men's Apparel,82.0,131,10742.0,6230.360000000001,0.5800000000000001,Online
Foot Locker,1128299,2021-12-16,South,Louisiana,New Orleans,Women's Apparel,87.0,175,15225.0,6851.249999999999,0.44999999999999996,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Street Footwear,19.0,182,3458.0,1486.94,0.43,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Athletic Footwear,28.0,196,5488.0,2469.6,0.44999999999999996,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Street Footwear,28.0,119,3332.0,1332.8000000000002,0.4,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,33.0,133,4389.0,2326.17,0.53,Online
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Apparel,36.0,85,3060.0,1132.2,0.37,Online
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Street Footwear,23.0,163,3749.0,1499.6000000000001,0.4,Online
