Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Street Footwear,55.00000000000001,625,343750.00000000006,85937.50000000001,0.25,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Athletic Footwear,55.00000000000001,575,316250.00000000006,94875.00000000001,0.3,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Men's Apparel,65.0,575,373750.0,130812.49999999999,0.35,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Apparel,70.0,675,472500.0,236250.0,0.5,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Street Footwear,40.0,800,320000.0,160000.0,0.5,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,40.0,600,240000.0,72000.0,0.3,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,30.000000000000004,600,180000.00000000003,63000.00000000001,0.35,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Athletic Footwear,35.0,450,157500.0,55125.0,0.35,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Apparel,50.0,500,250000.0,75000.0,0.3,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,40.0,600,240000.0,60000.0,0.25,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Street Footwear,40.0,850,340000.0,170000.0,0.5,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Athletic Footwear,40.0,500,200000.0,60000.0,0.3,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Women's Street Footwear,30.000000000000004,550,165000.00000000003,57750.00000000001,0.35,In-store
Kohl's,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Apparel,70.0,300,210000.0,84000.0,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Street Footwear,65.0,450,292500.0,102375.0,0.35,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Athletic Footwear,55.00000000000001,325,178750.00000000003,62562.50000000001,0.35,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Street Footwear,55.00000000000001,320,176000.00000000003,70400.00000000001,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,55.00000000000001,300,165000.00000000003,66000.00000000001,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Apparel,65.0,275,178750.0,53625.0,0.3,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Apparel,70.0,375,262500.0,105000.0,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Street Footwear,65.0,600,390000.0,136500.0,0.35,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,55.00000000000001,400,220000.00000000003,77000.0,0.35,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Street Footwear,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,55.00000000000001,325,178750.00000000003,71500.00000000001,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Apparel,65.0,325,211250.0,63375.0,0.3,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,70.0,425,297500.0,119000.0,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,35.0,475,166250.0,58187.49999999999,0.35,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35.0,275,96250.0,33687.5,0.35,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Street Footwear,25.000000000000007,275,68750.00000000001,27500.000000000007,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Athletic Footwear,30.0,125,37500.0,15000.0,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,45.0,175,78750.0,23625.0,0.3,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Apparel,35.0,275,96250.0,38500.0,0.4,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,35.0,525,183750.0,64312.49999999999,0.35,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35.0,175,61250.0,21437.5,0.35,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Women's Street Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,30.0,100,30000.0,12000.0,0.4,In-store
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Men's Apparel,45.0,175,78750.0,23625.0,0.3,In-store
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Women's Apparel,35.0,275,96250.0,38500.0,0.4,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Street Footwear,35.0,495,173250.0,60637.49999999999,0.35,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,35.0,200,70000.0,24500.0,0.35,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Street Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,30.0,75,22500.0,9000.0,0.4,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Apparel,45.0,125,56250.0,16875.0,0.3,In-store
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Apparel,35.0,225,78750.0,31500.0,0.4,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Street Footwear,35.0,475,166250.0,58187.49999999999,0.35,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,35.0,175,61250.0,21437.5,0.35,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Street Footwear,25.000000000000007,175,43750.000000000015,17500.000000000007,0.4,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,30.0,100,30000.0,12000.0,0.4,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Apparel,45.0,100,45000.0,13500.0,0.3,In-store
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Apparel,35.0,250,87500.0,35000.0,0.4,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Street Footwear,49.99999999999999,520,259999.99999999997,90999.99999999999,0.35,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,45.0,225,101250.0,35437.5,0.35,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Street Footwear,40.0,250,100000.0,40000.0,0.4,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,200,80000.0,32000.0,0.4,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Apparel,49.99999999999999,225,112499.99999999999,33749.99999999999,0.3,In-store
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Apparel,54.99999999999999,350,192499.99999999997,76999.99999999999,0.4,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Street Footwear,49.99999999999999,600,299999.99999999994,104999.99999999997,0.35,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Athletic Footwear,45.0,350,157500.0,55125.0,0.35,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Street Footwear,40.0,275,110000.0,44000.0,0.4,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,250,100000.0,40000.0,0.4,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Apparel,49.99999999999999,250,124999.99999999999,37499.99999999999,0.3,In-store
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Apparel,54.99999999999999,400,219999.99999999997,88000.0,0.4,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Street Footwear,49.99999999999999,625,312499.99999999994,109374.99999999997,0.35,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,45.0,375,168750.0,59062.49999999999,0.35,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Street Footwear,40.0,300,120000.0,48000.0,0.4,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,250,100000.0,40000.0,0.4,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Apparel,49.99999999999999,275,137499.99999999997,41249.99999999999,0.3,In-store
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Apparel,54.99999999999999,450,247499.99999999997,99000.0,0.4,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Street Footwear,49.99999999999999,600,299999.99999999994,104999.99999999997,0.35,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,45.0,375,168750.0,59062.49999999999,0.35,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Street Footwear,40.0,300,120000.0,48000.0,0.4,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,200,80000.0,32000.0,0.4,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Apparel,49.99999999999999,175,87499.99999999999,26249.999999999996,0.3,In-store
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Apparel,54.99999999999999,350,192499.99999999997,76999.99999999999,0.4,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Street Footwear,49.99999999999999,475,237499.99999999997,83124.99999999999,0.35,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,45.0,275,123750.0,43312.5,0.35,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Street Footwear,40.0,175,70000.0,28000.0,0.4,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,40.0,150,60000.0,24000.0,0.4,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Apparel,49.99999999999999,150,74999.99999999999,22499.999999999996,0.3,In-store
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Apparel,54.99999999999999,250,137499.99999999997,54999.99999999999,0.4,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Street Footwear,54.99999999999999,425,233749.99999999997,81812.49999999999,0.35,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Athletic Footwear,50.0,250,125000.0,43750.0,0.35,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,150,75000.0,30000.0,0.4,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,50.0,125,62500.0,25000.0,0.4,In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Apparel,60.0,125,75000.0,22500.0,0.3,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Street Footwear,52.0,163,8476.0,3305.6400000000003,0.39,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Athletic Footwear,54.0,155,8370.0,3431.7,0.41,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Men's Apparel,60.0,155,9300.0,4278.0,0.45999999999999996,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Apparel,69.0,182,12558.0,8037.12,0.64,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Street Footwear,39.0,216,8424.0,5307.12,0.63,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,39.0,156,6084.0,2737.7999999999997,0.44999999999999996,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,29.0,168,4872.0,2338.56,0.48,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Athletic Footwear,34.0,131,4454.0,2093.3799999999997,0.47,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Apparel,49.0,145,7105.0,3197.2499999999995,0.44999999999999996,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,38.0,156,5928.0,2371.2000000000003,0.4,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Street Footwear,37.0,238,8806.0,5371.66,0.61,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Athletic Footwear,37.0,145,5365.0,2199.65,0.41,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Women's Street Footwear,29.0,143,4147.0,2032.03,0.49,Online
Kohl's,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Apparel,63.0,78,4914.0,2702.7000000000003,0.55,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Street Footwear,60.0,135,8100.0,3807.0,0.47,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Athletic Footwear,53.0,85,4505.0,2072.2999999999997,0.45999999999999996,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Street Footwear,52.0,86,4472.0,2280.7200000000003,0.51,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,51.0,84,4284.0,2270.52,0.53,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Apparel,60.0,72,4320.0,1728.0,0.4,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Apparel,64.0,98,6272.0,3449.6000000000004,0.55,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Street Footwear,62.0,168,10416.0,4895.5199999999995,0.47,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,50.0,100,5000.0,2400.0,0.48,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Street Footwear,50.0,109,5450.0,2943.0,0.54,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,53.0,98,5194.0,2804.76,0.54,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Apparel,61.0,91,5551.0,2220.4,0.4,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,65.0,123,7995.0,3997.5,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,32.0,138,4416.0,2208.0,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Athletic Footwear,33.0,77,2541.0,1194.27,0.47,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Street Footwear,24.0,72,1728.0,881.28,0.51,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Athletic Footwear,27.0,38,1026.0,513.0,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,41.0,47,1927.0,770.8000000000001,0.4,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Apparel,33.0,69,2277.0,1252.3500000000001,0.55,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,34.0,147,4998.0,2399.04,0.48,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Athletic Footwear,32.0,53,1696.0,848.0,0.5,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Women's Street Footwear,24.0,63,1512.0,771.12,0.51,Online
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,29.0,30,870.0,461.1,0.53,Online
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Men's Apparel,41.0,47,1927.0,770.8000000000001,0.4,Online
Kohl's,1185732,2021-02-08,Northeast,New Jersey,Newark,Women's Apparel,32.0,74,2368.0,1255.04,0.53,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Street Footwear,32.0,144,4608.0,2119.68,0.45999999999999996,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,32.0,58,1856.0,909.4399999999999,0.49,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Street Footwear,24.0,59,1416.0,750.48,0.53,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,27.0,22,594.0,308.88,0.52,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Men's Apparel,43.0,34,1462.0,657.9,0.44999999999999996,Online
Kohl's,1185732,2021-03-06,Northeast,New Jersey,Newark,Women's Apparel,32.0,61,1952.0,976.0,0.5,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Street Footwear,34.0,133,4522.0,2261.0,0.5,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,33.0,51,1683.0,774.18,0.45999999999999996,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Street Footwear,24.0,51,1224.0,612.0,0.5,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,27.0,27,729.0,371.79,0.51,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Men's Apparel,44.0,27,1188.0,522.72,0.44,Online
Kohl's,1185732,2021-04-07,Northeast,New Jersey,Newark,Women's Apparel,33.0,68,2244.0,1211.76,0.54,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Street Footwear,48.0,130,6240.0,2932.7999999999997,0.47,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,41.0,68,2788.0,1394.0,0.5,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Street Footwear,38.0,75,2850.0,1425.0,0.5,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,38.0,56,2128.0,1064.0,0.5,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Men's Apparel,47.0,68,3196.0,1310.36,0.41,Online
Kohl's,1185732,2021-05-06,Northeast,New Jersey,Newark,Women's Apparel,51.0,102,5202.0,2705.04,0.52,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Street Footwear,45.0,156,7020.0,3229.2,0.45999999999999996,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Athletic Footwear,44.0,105,4620.0,2125.2,0.45999999999999996,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Street Footwear,38.0,69,2622.0,1389.66,0.53,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,39.0,65,2535.0,1368.9,0.54,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Apparel,46.0,65,2990.0,1345.4999999999998,0.44999999999999996,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Women's Apparel,50.0,120,6000.0,3000.0,0.5,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Street Footwear,47.0,188,8836.0,4152.92,0.47,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,42.0,98,4116.0,2058.0,0.5,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Street Footwear,37.0,81,2997.0,1558.44,0.52,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,36.0,63,2268.0,1224.72,0.54,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Men's Apparel,48.0,74,3552.0,1527.36,0.43,Online
Kohl's,1185732,2021-07-06,Northeast,New Jersey,Newark,Women's Apparel,54.0,131,7074.0,3749.2200000000003,0.53,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Street Footwear,47.0,180,8460.0,4060.7999999999997,0.48,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,42.0,101,4242.0,1993.7399999999998,0.47,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Street Footwear,37.0,75,2775.0,1498.5,0.54,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,36.0,52,1872.0,954.72,0.51,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Men's Apparel,46.0,46,2116.0,909.88,0.43,Online
Kohl's,1185732,2021-08-07,Northeast,New Jersey,Newark,Women's Apparel,52.0,105,5460.0,2893.8,0.53,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Street Footwear,46.0,124,5704.0,2794.96,0.49,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,41.0,72,2952.0,1476.0,0.5,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Street Footwear,39.0,51,1989.0,1054.17,0.53,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,37.0,38,1406.0,745.1800000000001,0.53,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Men's Apparel,47.0,41,1927.0,790.0699999999999,0.41,Online
Kohl's,1185732,2021-09-06,Northeast,New Jersey,Newark,Women's Apparel,50.0,73,3650.0,1934.5,0.53,Online
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Street Footwear,53.0,119,6307.0,2901.22,0.45999999999999996,Online
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Athletic Footwear,48.0,63,3024.0,1512.0,0.5,Online
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Street Footwear,46.0,42,1932.0,966.0,0.5,Online
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Athletic Footwear,48.0,31,1488.0,773.76,0.52,Online
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Apparel,58.0,38,2204.0,903.64,0.41,Online
