Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000.0,78750.0,0.35,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000.0,110250.0,0.35,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000.0,110250.0,0.45,Outlet
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,45.0,275,123750.0,43312.5,0.35,In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,200,80000.0,28000.0,0.35,In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,60000.0,21000.0,0.35,In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Apparel,49.99999999999999,175,87499.99999999999,26249.999999999996,0.3,In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Women's Apparel,54.99999999999999,350,192499.99999999997,57749.99999999999,0.3,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Men's Street Footwear,49.99999999999999,500,249999.99999999997,100000.0,0.4,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,45.0,275,123750.0,43312.5,0.35,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,200,80000.0,28000.0,0.35,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,60000.0,21000.0,0.35,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Men's Apparel,49.99999999999999,125,62499.99999999999,18749.999999999996,0.3,In-store
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Women's Apparel,54.99999999999999,300,164999.99999999997,49499.99999999999,0.3,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Men's Street Footwear,49.99999999999999,425,212499.99999999997,85000.0,0.4,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,45.0,225,101250.0,35437.5,0.35,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,125,50000.0,17500.0,0.35,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,100,40000.0,14000.0,0.35,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Men's Apparel,49.99999999999999,100,49999.99999999999,14999.999999999996,0.3,In-store
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Women's Apparel,54.99999999999999,200,109999.99999999999,32999.99999999999,0.3,In-store
Sports Direct,1185732,2021-10-22,Northeast,Maryland,Baltimore,Men's Street Footwear,54.99999999999999,375,206249.99999999997,82500.0,0.4,In-store
Sports Direct,1185732,2021-10-22,Northeast,Maryland,Baltimore,Men's Athletic Footwear,50.0,200,100000.0,35000.0,0.35,In-store
Sports Direct,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Street Footwear,50.0,100,50000.0,17500.0,0.35,In-store
Sports Direct,1185732,2021-10-08,Northeast,New Jersey,Newark,Women's Apparel,64.99999999999999,250,162499.99999999997,64999.99999999999,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Men's Street Footwear,60.0,400,240000.0,84000.0,0.35,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Men's Athletic Footwear,50.0,275,137500.0,48125.0,0.35,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,270,135000.0,54000.0,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,50.0,250,125000.0,50000.0,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Men's Apparel,60.0,225,135000.0,40500.0,0.3,In-store
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Women's Apparel,64.99999999999999,325,211249.99999999994,84499.99999999999,0.4,In-store
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Men's Street Footwear,60.0,550,330000.0,115499.99999999999,0.35,In-store
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Men's Athletic Footwear,50.0,350,175000.0,61249.99999999999,0.35,In-store
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Women's Street Footwear,50.0,325,162500.0,65000.0,0.4,In-store
Sports Direct,1185732,2021-12-06,Northeast,New Jersey,Newark,Women's Athletic Footwear,50.0,275,137500.0,55000.0,0.4,In-store
