Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,220000.0,66000.0,0.3,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500.0,104125.0,0.35,Outlet
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,236250.0,82687.5,0.35,Outlet
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750.0,98437.5,0.45,Outlet
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,200000.0,60000.0,0.3,Outlet
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,262500.0,91875.0,0.35,Outlet
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000.0,122499.99999999999,0.35,Outlet
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000.0,108000.0,0.45,Outlet
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,225000.0,67500.0,0.3,Outlet
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,270000.0,94500.0,0.35,Outlet
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000.0,125999.99999999999,0.35,Outlet
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,253750.0,88812.5,0.35,Outlet
