Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,2021-12-17,Midwest,Missouri,St. Louis,Women's Street Footwear,35.0,400,140000.0,49000.0,0.35,In-store
West Gear,1185732,2021-12-17,Midwest,Missouri,St. Louis,Women's Athletic Footwear,35.0,350,122500.0,49000.0,0.4,In-store
West Gear,1185732,2021-12-17,Midwest,Missouri,St. Louis,Men's Apparel,44.99999999999999,350,157499.99999999997,55124.999999999985,0.35,In-store
West Gear,1185732,2021-12-17,Midwest,Missouri,St. Louis,Women's Apparel,49.999999999999986,450,224999.99999999994,112499.99999999997,0.5,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Men's Street Footwear,25.0,675,168750.0,67500.0,0.4,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,475,118750.0,41562.5,0.35,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.000000000000002,475,71250.00000000001,24937.500000000004,0.35,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.000000000000007,325,65000.00000000002,26000.00000000001,0.4,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Men's Apparel,35.0,375,131250.0,45937.5,0.35,In-store
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Apparel,25.0,475,118750.0,59375.0,0.5,In-store
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Men's Street Footwear,25.0,725,181250.0,72500.0,0.4,In-store
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,375,93750.0,32812.5,0.35,In-store
West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15.000000000000002,425,63750.00000000001,22312.5,0.35,In-store
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Street Footwear,65.00000000000001,575,373750.00000000006,149500.00000000003,0.4,Online
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,65.00000000000001,525,341250.00000000006,136500.00000000003,0.4,Online
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Men's Apparel,75.00000000000001,525,393750.00000000006,137812.5,0.35,Online
West Gear,1185732,2021-12-09,Midwest,Ohio,Columbus,Women's Apparel,80.0,625,500000.0,250000.0,0.5,Online
West Gear,1185732,2021-10-06,Midwest,Iowa,Des Moines,Women's Apparel,49.999999999999986,250,124999.99999999997,49999.99999999999,0.4,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Men's Street Footwear,44.99999999999999,400,179999.99999999997,53999.99999999999,0.3,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Men's Athletic Footwear,35.0,275,96250.0,33687.5,0.35,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Women's Street Footwear,35.0,220,77000.0,23100.0,0.3,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,35.0,200,70000.0,21000.0,0.3,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Men's Apparel,60.0,175,105000.0,52500.0,0.5,In-store
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Women's Apparel,64.99999999999999,275,178749.99999999997,71499.99999999999,0.4,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Men's Street Footwear,60.0,525,315000.0,94500.0,0.3,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Men's Athletic Footwear,50.0,325,162500.0,56875.0,0.35,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Women's Street Footwear,50.0,275,137500.0,41250.0,0.3,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Women's Athletic Footwear,50.0,225,112500.0,33750.0,0.3,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Men's Apparel,60.0,225,135000.0,67500.0,0.5,In-store
West Gear,1185732,2021-12-05,Midwest,Iowa,Des Moines,Women's Apparel,64.99999999999999,325,211249.99999999994,84499.99999999999,0.4,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Men's Street Footwear,30.000000000000004,450,135000.00000000003,40500.00000000001,0.3,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.000000000000004,250,75000.00000000001,26250.000000000004,0.35,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Women's Street Footwear,20.000000000000007,250,50000.000000000015,15000.000000000004,0.3,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.000000000000007,100,25000.000000000007,7500.000000000002,0.3,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,60000.0,30000.0,0.5,In-store
West Gear,1185732,2021-01-03,Midwest,Iowa,Des Moines,Women's Apparel,30.000000000000004,250,75000.00000000001,30000.000000000007,0.4,In-store
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Men's Street Footwear,30.000000000000004,500,150000.00000000003,45000.00000000001,0.3,In-store
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.000000000000004,150,45000.00000000001,15750.000000000002,0.35,In-store
West Gear,1185732,2021-02-03,Midwest,Iowa,Des Moines,Women's Street Footwear,20.000000000000007,200,40000.000000000015,12000.000000000004,0.3,In-store
West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,25.000000000000007,75,18750.000000000004,5625.000000000001,0.3,In-store
West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,40.0,150,60000.0,30000.0,0.5,In-store
West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,14.999999999999996,250,37499.99999999999,14999.999999999998,0.4,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.000000000000004,470,94000.00000000001,28200.000000000004,0.3,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20.000000000000004,175,35000.00000000001,12250.000000000002,0.35,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.000000000000004,225,22500.000000000007,6750.000000000002,0.3,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,14.999999999999996,75,11249.999999999998,3374.9999999999995,0.3,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Men's Apparel,30.000000000000004,125,37500.00000000001,18750.000000000004,0.5,In-store
West Gear,1185732,2021-03-02,Midwest,Wisconsin,Milwaukee,Women's Apparel,20.000000000000004,225,45000.00000000001,18000.000000000004,0.4,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.000000000000004,450,90000.00000000001,27000.000000000004,0.3,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20.000000000000004,150,30000.000000000004,10500.0,0.35,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10.000000000000004,150,15000.000000000005,4500.000000000002,0.3,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,14.999999999999996,75,11249.999999999998,3374.9999999999995,0.3,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,60.0,100,60000.0,30000.0,0.5,In-store
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,50.0,225,112500.0,45000.0,0.4,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,60.0,495,297000.0,89100.0,0.3,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,40.0,200,80000.0,28000.0,0.35,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,35.0,175,61250.0,18375.0,0.3,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,35.0,150,52500.0,15750.0,0.3,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Men's Apparel,44.99999999999999,175,78749.99999999999,39374.99999999999,0.5,In-store
West Gear,1185732,2021-05-04,Midwest,Wisconsin,Milwaukee,Women's Apparel,49.99999999999999,300,149999.99999999997,59999.99999999999,0.4,In-store
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,35.0,550,192500.0,57750.0,0.3,In-store
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.00000000000001,300,90000.00000000003,31500.000000000007,0.35,In-store
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.000000000000007,200,50000.000000000015,15000.000000000004,0.3,In-store
