Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,60.00000000000001,725,435000.00000000006,174000.00000000003,0.4,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,60.00000000000001,675,405000.00000000006,162000.00000000003,0.4,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Men's Apparel,70.0,675,472500.0,165375.0,0.35,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Apparel,75.0,775,581250.0,290625.0,0.5,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,775,271250.0,108500.0,0.4,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35.0,575,201250.0,70437.5,0.35,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Street Footwear,25.000000000000007,575,143750.00000000003,57500.000000000015,0.4,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,30.0,425,127500.0,51000.0,0.4,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Apparel,45.0,475,213750.0,74812.5,0.35,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Apparel,35.0,575,201250.0,100625.0,0.5,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.0,825,288750.0,115500.0,0.4,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,35.0,475,166250.0,58187.49999999999,0.35,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Women's Street Footwear,25.000000000000007,525,131250.00000000003,52500.000000000015,0.4,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,55.0,218,11990.0,6114.900000000001,0.51,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,55.0,196,10780.0,5821.200000000001,0.54,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Men's Apparel,65.0,169,10985.0,5382.65,0.49,Online
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Apparel,69.0,225,15525.0,10091.25,0.65,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Street Footwear,32.0,194,6208.0,3228.1600000000003,0.52,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,150,4950.0,2475.0,0.5,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Street Footwear,24.0,167,4008.0,2164.32,0.54,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,29.0,123,3567.0,1854.8400000000001,0.52,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Men's Apparel,44.0,128,5632.0,2816.0,0.5,Online
Amazon,1185732,2021-01-13,Southeast,North Carolina,Charlotte,Women's Apparel,32.0,173,5536.0,3598.4,0.65,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Men's Street Footwear,32.0,231,7392.0,3696.0,0.5,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,33.0,143,4719.0,2359.5,0.5,Online
Amazon,1185732,2021-02-11,Southeast,North Carolina,Charlotte,Women's Street Footwear,23.0,158,3634.0,1817.0,0.5,Online
