Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,35.0,125,43750.0,17500.0,0.4,Online
Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Men's Apparel,49.99999999999999,200,99999.99999999999,34999.99999999999,0.35,Online
Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Apparel,40.0,300,120000.0,48000.0,0.4,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Men's Street Footwear,45.0,520,234000.0,93600.0,0.4,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.0,225,101250.0,35437.5,0.35,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Women's Street Footwear,35.0,250,87500.0,35000.0,0.4,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40.0,100,40000.0,16000.0,0.4,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Men's Apparel,54.99999999999999,150,82499.99999999999,28874.999999999993,0.35,Online
Amazon,1185732,2021-03-21,Southeast,Kentucky,Louisville,Women's Apparel,45.0,250,112500.0,45000.0,0.4,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Men's Street Footwear,45.0,475,213750.0,85500.0,0.4,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.0,175,78750.0,27562.5,0.35,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Women's Street Footwear,40.0,175,70000.0,28000.0,0.4,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,45.0,100,45000.0,18000.0,0.4,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Men's Apparel,50.0,125,62500.0,21875.0,0.35,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Women's Apparel,40.0,250,100000.0,40000.0,0.4,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Men's Street Footwear,50.0,520,260000.0,104000.0,0.4,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.00000000000001,225,101250.00000000001,35437.5,0.35,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Women's Street Footwear,40.0,200,80000.0,32000.0,0.4,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40.0,125,50000.0,20000.0,0.4,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Men's Apparel,50.0,150,75000.0,26250.0,0.35,Online
Amazon,1185732,2021-05-23,Southeast,Kentucky,Louisville,Women's Apparel,55.00000000000001,275,151250.00000000003,60500.000000000015,0.4,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Street Footwear,40.0,525,210000.0,84000.0,0.4,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,35.00000000000001,275,96250.00000000001,33687.5,0.35,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Women's Street Footwear,30.000000000000004,225,67500.00000000001,27000.000000000007,0.4,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,30.000000000000004,200,60000.00000000001,24000.000000000004,0.4,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Men's Apparel,50.0,200,100000.0,35000.0,0.35,Online
Amazon,1185732,2021-06-22,Southeast,Kentucky,Louisville,Women's Apparel,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Street Footwear,50.0,600,300000.0,120000.0,0.4,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.00000000000001,350,157500.00000000003,55125.00000000001,0.35,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Women's Street Footwear,40.0,275,110000.0,44000.0,0.4,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40.0,225,90000.0,36000.0,0.4,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Apparel,50.0,250,125000.0,43750.0,0.35,Online
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Women's Apparel,55.00000000000001,425,233750.00000000003,93500.00000000001,0.4,Online
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Street Footwear,50.0,575,287500.0,115000.0,0.4,Online
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Athletic Footwear,45.00000000000001,350,157500.00000000003,55125.00000000001,0.35,Online
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Women's Street Footwear,40.0,275,110000.0,44000.0,0.4,Online
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,40.0,250,100000.0,40000.0,0.4,Online
Amazon,1185732,2021-08-22,Southeast,Kentucky,Louisville,Men's Apparel,50.0,225,112500.0,39375.0,0.35,Online
