Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,175,70000.0,24500.0,0.35,In-store
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,150,60000.0,21000.0,0.35,In-store
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Apparel,49.99999999999999,150,74999.99999999999,22499.999999999996,0.3,In-store
Foot Locker,1185732,2021-06-22,Northeast,Maryland,Baltimore,Women's Apparel,54.99999999999999,300,164999.99999999997,49499.99999999999,0.3,In-store
Foot Locker,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Street Footwear,49.99999999999999,525,262499.99999999994,104999.99999999999,0.4,In-store
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,50.0,75,37500.0,13125.0,0.35,In-store
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Men's Apparel,60.0,75,45000.0,13500.0,0.3,In-store
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Apparel,64.99999999999999,200,129999.99999999997,38999.99999999999,0.3,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Men's Street Footwear,60.0,350,210000.0,84000.0,0.4,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,50.0,175,87500.0,30624.999999999996,0.35,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Street Footwear,50.0,170,85000.0,29749.999999999996,0.35,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,50.0,150,75000.0,26250.0,0.35,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Men's Apparel,60.0,125,75000.0,22500.0,0.3,In-store
Foot Locker,1185732,2021-11-21,Northeast,Maryland,Baltimore,Women's Apparel,64.99999999999999,225,146249.99999999997,43874.99999999999,0.3,In-store
Foot Locker,1185732,2021-12-20,Northeast,Maryland,Baltimore,Men's Street Footwear,60.0,450,270000.0,108000.0,0.4,In-store
Foot Locker,1185732,2021-12-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,50.0,250,125000.0,43750.0,0.35,In-store
