Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Street Footwear,45.00000000000001,550,247500.00000000003,86625.0,0.35,In-store
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,45.00000000000001,500,225000.00000000003,78750.0,0.35,In-store
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Men's Apparel,55.00000000000001,500,275000.00000000006,82500.00000000001,0.3,In-store
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Apparel,60.0,600,360000.0,90000.0,0.25,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Street Footwear,30.000000000000004,350,105000.00000000001,36750.0,0.35,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,40.0,350,140000.0,49000.0,0.35,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Street Footwear,40.0,350,140000.0,49000.0,0.35,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Athletic Footwear,40.0,200,80000.0,28000.0,0.35,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Apparel,45.00000000000001,150,67500.00000000001,27000.000000000007,0.4,In-store
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Apparel,40.0,400,160000.0,48000.0,0.3,In-store
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Street Footwear,30.000000000000004,450,135000.00000000003,47250.00000000001,0.35,In-store
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,40.0,350,140000.0,49000.0,0.35,In-store
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Women's Street Footwear,40.0,350,140000.0,49000.0,0.35,In-store
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Street Footwear,44.0,165,7260.0,3339.6,0.45999999999999996,Online
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,44.0,135,5940.0,2910.6,0.49,Online
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Men's Apparel,54.0,145,7830.0,3523.4999999999995,0.44999999999999996,Online
Foot Locker,1185732,2021-12-10,West,Wyoming,Cheyenne,Women's Apparel,56.0,174,9744.0,3507.8399999999997,0.36,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Street Footwear,29.0,91,2639.0,1213.9399999999998,0.45999999999999996,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,36.0,105,3780.0,1738.8,0.45999999999999996,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Street Footwear,39.0,91,3549.0,1597.05,0.44999999999999996,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Athletic Footwear,38.0,54,2052.0,964.4399999999999,0.47,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Men's Apparel,42.0,45,1890.0,963.9,0.51,Online
Foot Locker,1128299,2021-01-24,West,Wyoming,Cheyenne,Women's Apparel,38.0,116,4408.0,1983.6,0.44999999999999996,Online
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Street Footwear,27.0,113,3051.0,1403.4599999999998,0.45999999999999996,Online
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,36.0,105,3780.0,1700.9999999999998,0.44999999999999996,Online
Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Women's Street Footwear,39.0,88,3432.0,1544.3999999999999,0.44999999999999996,Online
