Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2020-10-21,Midwest,Minnesota,Minneapolis,Men's Apparel,44.99999999999999,150,67499.99999999999,20249.999999999996,0.3,In-store
Foot Locker,1185732,2020-10-22,Midwest,Minnesota,Minneapolis,Women's Apparel,35.0,250,87500.0,39375.0,0.45,In-store
Foot Locker,1185732,2020-10-23,Midwest,Minnesota,Minneapolis,Men's Street Footwear,35.0,500,175000.0,61250.00000000001,0.35000000000000003,In-store
Foot Locker,1185732,2020-10-24,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,35.0,150,52500.0,15750.0,0.3,In-store
Foot Locker,1185732,2020-10-25,Midwest,Minnesota,Minneapolis,Women's Street Footwear,25.0,200,50000.0,15000.0,0.3,In-store
Foot Locker,1185732,2020-10-26,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,30.000000000000004,75,22500.000000000004,7875.000000000002,0.35000000000000003,In-store
Foot Locker,1185732,2020-10-27,Midwest,Minnesota,Minneapolis,Men's Apparel,44.99999999999999,150,67499.99999999999,20249.999999999996,0.3,In-store
Foot Locker,1185732,2020-10-28,Midwest,Minnesota,Minneapolis,Women's Apparel,35.0,225,78750.0,35437.5,0.45,In-store
Foot Locker,1185732,2020-10-29,Midwest,Minnesota,Minneapolis,Men's Street Footwear,40.0,445,178000.0,62300.00000000001,0.35000000000000003,In-store
Foot Locker,1185732,2020-10-30,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,40.0,125,50000.0,15000.0,0.3,In-store
Foot Locker,1185732,2020-10-31,Midwest,Minnesota,Minneapolis,Women's Street Footwear,30.000000000000004,175,52500.00000000001,15750.000000000002,0.3,In-store
Foot Locker,1185732,2020-11-01,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,35.0,25,8750.0,3062.5000000000005,0.35000000000000003,In-store
Foot Locker,1185732,2020-11-02,Midwest,Minnesota,Minneapolis,Men's Apparel,50.0,75,37500.0,11250.0,0.3,In-store
