Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Athletic Footwear,40.0,225,90000.0,31499.999999999996,0.35,Online
Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Men's Apparel,45.00000000000001,150,67500.00000000001,20250.000000000004,0.3,Online
Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Apparel,40.0,350,140000.0,35000.0,0.25,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Men's Street Footwear,40.0,500,200000.0,70000.0,0.35,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Men's Athletic Footwear,50.0,350,175000.0,70000.0,0.4,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Women's Street Footwear,50.0,350,175000.0,61249.99999999999,0.35,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Women's Athletic Footwear,50.0,225,112500.0,39375.0,0.35,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Men's Apparel,55.00000000000001,125,68750.00000000001,20625.000000000004,0.3,Online
Foot Locker,1128299,2021-03-22,West,Arizona,Phoenix,Women's Apparel,50.0,325,162500.0,40625.0,0.25,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Street Footwear,50.0,500,250000.0,87500.0,0.35,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Athletic Footwear,55.00000000000001,300,165000.00000000003,66000.00000000001,0.4,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Women's Street Footwear,55.00000000000001,350,192500.00000000003,67375.0,0.35,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Women's Athletic Footwear,50.0,250,125000.0,43750.0,0.35,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Men's Apparel,55.00000000000001,150,82500.00000000001,24750.000000000004,0.3,Online
Foot Locker,1128299,2021-04-23,West,Arizona,Phoenix,Women's Apparel,70.0,325,227500.0,56875.0,0.25,Online
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Men's Street Footwear,50.0,525,262500.0,91875.0,0.35,Online
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Men's Athletic Footwear,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,Online
Foot Locker,1128299,2021-05-24,West,Arizona,Phoenix,Women's Street Footwear,55.00000000000001,400,220000.00000000003,77000.0,0.35,Online
