Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-02-15,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,52500.0,21000.0,0.4,In-store
Foot Locker,1185732,2021-02-15,Northeast,Delaware,Wilmington,Men's Apparel,50.0,225,112500.0,33750.0,0.3,In-store
Foot Locker,1185732,2021-02-15,Northeast,Delaware,Wilmington,Women's Apparel,40.0,325,130000.0,52000.0,0.4,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Men's Street Footwear,40.0,545,218000.0,76300.0,0.35,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,40.0,250,100000.0,35000.0,0.35,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Women's Street Footwear,30.000000000000004,275,82500.00000000001,33000.00000000001,0.4,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,125,43750.0,17500.0,0.4,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Men's Apparel,50.0,175,87500.0,26250.0,0.3,In-store
Foot Locker,1185732,2021-03-13,Northeast,Delaware,Wilmington,Women's Apparel,40.0,275,110000.0,44000.0,0.4,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Street Footwear,40.0,525,210000.0,73500.0,0.35,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Athletic Footwear,40.0,225,90000.0,31499.999999999996,0.35,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Women's Street Footwear,30.000000000000004,225,67500.00000000001,27000.000000000007,0.4,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,35.0,150,52500.0,21000.0,0.4,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Men's Apparel,50.0,150,75000.0,22500.0,0.3,In-store
Foot Locker,1185732,2021-04-14,Northeast,Delaware,Wilmington,Women's Apparel,40.0,300,120000.0,48000.0,0.4,In-store
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Men's Street Footwear,54.99999999999999,570,313499.99999999994,109724.99999999997,0.35,In-store
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,50.0,275,137500.0,48125.0,0.35,In-store
Foot Locker,1185732,2021-05-13,Northeast,Delaware,Wilmington,Women's Street Footwear,45.0,300,135000.0,54000.0,0.4,In-store
