Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Street Footwear,55.00000000000001,625,343750.00000000006,85937.50000000001,0.25,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Athletic Footwear,55.00000000000001,575,316250.00000000006,94875.00000000001,0.3,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Men's Apparel,65.0,575,373750.0,130812.49999999999,0.35,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Apparel,70.0,675,472500.0,236250.0,0.5,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Street Footwear,40.0,800,320000.0,160000.0,0.5,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,40.0,600,240000.0,72000.0,0.3,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,30.000000000000004,600,180000.00000000003,63000.00000000001,0.35,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Athletic Footwear,35.0,450,157500.0,55125.0,0.35,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Apparel,50.0,500,250000.0,75000.0,0.3,In-store
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,40.0,600,240000.0,60000.0,0.25,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Street Footwear,40.0,850,340000.0,170000.0,0.5,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Athletic Footwear,40.0,500,200000.0,60000.0,0.3,In-store
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Women's Street Footwear,30.000000000000004,550,165000.00000000003,57750.00000000001,0.35,In-store
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Street Footwear,52.0,163,8476.0,3305.6400000000003,0.39,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Athletic Footwear,54.0,155,8370.0,3431.7,0.41,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Men's Apparel,60.0,155,9300.0,4278.0,0.45999999999999996,Online
Kohl's,1185732,2021-12-08,Northeast,New York,Albany,Women's Apparel,69.0,182,12558.0,8037.12,0.64,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Street Footwear,39.0,216,8424.0,5307.12,0.63,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Athletic Footwear,39.0,156,6084.0,2737.7999999999997,0.44999999999999996,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Street Footwear,29.0,168,4872.0,2338.56,0.48,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Athletic Footwear,34.0,131,4454.0,2093.3799999999997,0.47,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Men's Apparel,49.0,145,7105.0,3197.2499999999995,0.44999999999999996,Online
Kohl's,1185732,2021-01-14,Northeast,New York,Albany,Women's Apparel,38.0,156,5928.0,2371.2000000000003,0.4,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Street Footwear,37.0,238,8806.0,5371.66,0.61,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Men's Athletic Footwear,37.0,145,5365.0,2199.65,0.41,Online
Kohl's,1185732,2021-02-12,Northeast,New York,Albany,Women's Street Footwear,29.0,143,4147.0,2032.03,0.49,Online
