Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Athletic Footwear,20.0,150,30000.0,10500.0,0.35,Online
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Men's Apparel,35.0,225,78750.0,27562.5,0.35,Online
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,65000.0,22750.0,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Street Footwear,20.0,545,109000.0,38150.0,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,225,45000.0,15749.999999999998,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Women's Street Footwear,10.000000000000002,250,25000.000000000004,8750.0,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Women's Athletic Footwear,19.999999999999996,100,19999.999999999996,6999.999999999998,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Apparel,35.00000000000001,150,52500.00000000001,18375.0,0.35,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Women's Apparel,25.0,250,62500.0,21875.0,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Street Footwear,25.0,500,125000.0,43750.0,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Athletic Footwear,25.0,200,50000.0,17500.0,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Street Footwear,15.000000000000002,200,30000.000000000004,10500.0,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Athletic Footwear,19.999999999999996,125,24999.999999999996,8749.999999999998,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Men's Apparel,40.0,150,60000.0,21000.0,0.35,Online
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,30.000000000000004,300,90000.00000000001,31500.000000000004,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Men's Street Footwear,40.0,570,228000.0,79800.0,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Men's Athletic Footwear,40.0,275,110000.0,38500.0,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Women's Street Footwear,35.0,250,87500.0,30624.999999999996,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Women's Athletic Footwear,35.0,200,70000.0,24500.0,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Men's Apparel,44.99999999999999,225,101249.99999999999,35437.49999999999,0.35,Online
Kohl's,1197831,2021-05-12,Midwest,Kansas,Wichita,Women's Apparel,44.99999999999999,325,146249.99999999997,51187.499999999985,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Street Footwear,40.0,575,230000.0,80500.0,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,35.0,325,113750.0,39812.5,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Women's Street Footwear,40.0,300,120000.0,42000.0,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Women's Athletic Footwear,40.0,275,110000.0,38500.0,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Men's Apparel,54.99999999999999,275,151249.99999999997,52937.499999999985,0.35,Online
Kohl's,1197831,2021-06-14,Midwest,Kansas,Wichita,Women's Apparel,60.0,450,270000.0,94500.0,0.35,Online
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Men's Street Footwear,54.99999999999999,675,371249.99999999994,129937.49999999997,0.35,Online
