Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1197831,2021-08-08,West,Idaho,Boise,Men's Apparel,55.00000000000001,475,261250.00000000003,91437.5,0.35,Online
Sports Direct,1197831,2021-08-08,West,Idaho,Boise,Women's Apparel,60.0,725,435000.0,239250.00000000003,0.55,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Street Footwear,55.00000000000001,675,371250.00000000006,148500.0,0.39999999999999997,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Athletic Footwear,55.00000000000001,625,343750.00000000006,137500.0,0.39999999999999997,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Street Footwear,60.0,675,405000.0,162000.0,0.39999999999999997,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Athletic Footwear,60.0,400,240000.0,120000.0,0.5,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Men's Apparel,55.00000000000001,400,220000.00000000003,77000.0,0.35,Online
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Apparel,50.0,625,312500.0,171875.0,0.55,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Men's Street Footwear,40.0,575,230000.0,91999.99999999999,0.39999999999999997,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Men's Athletic Footwear,40.0,575,230000.0,91999.99999999999,0.39999999999999997,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Street Footwear,45.0,525,236250.0,94499.99999999999,0.39999999999999997,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Athletic Footwear,45.0,375,168750.0,84375.0,0.5,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Men's Apparel,35.0,350,122500.0,42875.0,0.35,Online
Sports Direct,1197831,2021-10-04,West,Idaho,Boise,Women's Apparel,45.0,525,236250.0,129937.50000000001,0.55,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Street Footwear,35.0,675,236250.0,94499.99999999999,0.39999999999999997,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Athletic Footwear,35.0,675,236250.0,94499.99999999999,0.39999999999999997,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Street Footwear,60.0,600,360000.0,144000.0,0.39999999999999997,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Athletic Footwear,60.0,450,270000.0,135000.0,0.5,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Men's Apparel,54.99999999999999,425,233749.99999999997,81812.49999999999,0.35,Online
Sports Direct,1197831,2021-11-05,West,Idaho,Boise,Women's Apparel,65.0,625,406250.0,223437.50000000003,0.55,Online
