Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1185732,2021-02-17,Midwest,Michigan,Detroit,Women's Athletic Footwear,29.999999999999993,375,112499.99999999997,39374.999999999985,0.35,In-store
Sports Direct,1185732,2021-02-17,Midwest,Michigan,Detroit,Men's Apparel,45.00000000000001,450,202500.00000000003,81000.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-02-17,Midwest,Michigan,Detroit,Women's Apparel,35.0,550,192500.0,105875.00000000001,0.55,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Men's Street Footwear,35.0,770,269500.0,134750.0,0.5,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Men's Athletic Footwear,35.0,450,157500.0,62999.99999999999,0.39999999999999997,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Women's Street Footwear,25.0,475,118750.0,35625.0,0.3,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Women's Athletic Footwear,29.999999999999993,325,97499.99999999997,34124.999999999985,0.35,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Men's Apparel,45.00000000000001,375,168750.00000000003,67500.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-03-15,Midwest,Michigan,Detroit,Women's Apparel,35.0,475,166250.0,91437.50000000001,0.55,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Men's Street Footwear,35.0,725,253750.0,126875.0,0.5,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Men's Athletic Footwear,40.0,425,170000.0,68000.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Women's Street Footwear,30.000000000000004,450,135000.00000000003,40500.00000000001,0.3,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Women's Athletic Footwear,35.0,375,131250.0,45937.5,0.35,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Men's Apparel,50.0,400,200000.0,80000.0,0.39999999999999997,In-store
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Women's Apparel,40.0,525,210000.0,115500.00000000001,0.55,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Street Footwear,50.0,795,397500.0,198750.0,0.5,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Athletic Footwear,50.0,500,250000.0,99999.99999999999,0.39999999999999997,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Women's Street Footwear,45.0,475,213750.0,64125.0,0.3,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Women's Athletic Footwear,45.0,450,202500.0,70875.0,0.35,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Men's Apparel,54.99999999999999,475,261249.99999999997,104499.99999999999,0.39999999999999997,In-store
Sports Direct,1185732,2021-05-15,Midwest,Michigan,Detroit,Women's Apparel,60.0,575,345000.0,189750.00000000003,0.55,In-store
Sports Direct,1185732,2021-06-17,Midwest,Michigan,Detroit,Men's Street Footwear,54.99999999999999,825,453749.99999999994,226874.99999999997,0.5,In-store
