Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Street Footwear,80.00000000000001,500,400000.00000000006,100000.00000000001,0.25,Outlet
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Athletic Footwear,80.00000000000001,500,400000.00000000006,100000.00000000001,0.25,Outlet
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Men's Apparel,90.00000000000001,425,382500.00000000006,57375.00000000001,0.15,Outlet
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Apparel,95.00000000000001,525,498750.00000000006,199500.00000000003,0.4,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Street Footwear,40.0,425,170000.0,51000.0,0.3,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Athletic Footwear,50.0,425,212500.0,53125.0,0.25,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Street Footwear,50.0,425,212500.0,63750.0,0.3,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Athletic Footwear,50.0,275,137500.0,41250.0,0.3,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Apparel,55.00000000000001,225,123750.00000000001,24750.000000000004,0.2,Outlet
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Apparel,50.0,475,237500.0,106875.0,0.45,Outlet
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Men's Street Footwear,40.0,525,210000.0,63000.0,0.3,Outlet
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Men's Athletic Footwear,50.0,425,212500.0,53125.0,0.25,Outlet
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Women's Street Footwear,50.0,425,212500.0,63750.0,0.3,Outlet
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Street Footwear,74.0,135,9990.0,3496.5,0.35,Online
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Athletic Footwear,73.0,145,10585.0,3704.7499999999995,0.35,Online
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Men's Apparel,84.0,128,10752.0,2795.52,0.26,Online
Sports Direct,1128299,2021-12-09,West,Hawaii,Honolulu,Women's Apparel,89.0,142,12638.0,6319.0,0.5,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Street Footwear,38.0,115,4370.0,1879.1,0.43,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Athletic Footwear,48.0,123,5904.0,2066.4,0.35,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Street Footwear,45.0,123,5535.0,2269.35,0.41,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Athletic Footwear,47.0,77,3619.0,1628.5499999999997,0.44999999999999996,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Apparel,54.0,68,3672.0,1101.6000000000001,0.30000000000000004,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Women's Apparel,49.0,124,6076.0,3584.8400000000006,0.5900000000000001,Online
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Men's Street Footwear,36.0,137,4932.0,2071.44,0.42,Online
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Men's Athletic Footwear,49.0,111,5439.0,1903.6499999999999,0.35,Online
Sports Direct,1128299,2021-02-17,West,Hawaii,Honolulu,Women's Street Footwear,49.0,111,5439.0,2175.6,0.4,Online
