Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1185732,2021-10-08,Northeast,Rhode Island,Providence,Women's Apparel,64.99999999999999,200,129999.99999999997,51999.99999999999,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Men's Street Footwear,60.0,350,210000.0,73500.0,0.35,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Men's Athletic Footwear,50.0,225,112500.0,39375.0,0.35,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Women's Street Footwear,50.0,220,110000.0,44000.0,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Women's Athletic Footwear,50.0,200,100000.0,40000.0,0.4,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Men's Apparel,60.0,175,105000.0,31500.0,0.3,In-store
Sports Direct,1185732,2021-11-07,Northeast,Rhode Island,Providence,Women's Apparel,64.99999999999999,275,178749.99999999997,71499.99999999999,0.4,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Men's Street Footwear,60.0,500,300000.0,105000.0,0.35,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Men's Athletic Footwear,50.0,300,150000.0,52500.0,0.35,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Women's Street Footwear,50.0,275,137500.0,55000.0,0.4,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Women's Athletic Footwear,50.0,225,112500.0,45000.0,0.4,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Men's Apparel,60.0,225,135000.0,40500.0,0.3,In-store
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Women's Apparel,64.99999999999999,325,211249.99999999994,84499.99999999999,0.4,In-store
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Street Footwear,40.0,450,180000.0,54000.0,0.3,In-store
Sports Direct,1185732,2021-01-17,Northeast,Rhode Island,Providence,Men's Athletic Footwear,40.0,250,100000.0,30000.0,0.3,In-store
