Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Women's Athletic Footwear,40.0,475,190000.0,57000.0,0.3,In-store
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Men's Apparel,55.00000000000001,550,302500.00000000006,105875.00000000001,0.35,In-store
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Women's Apparel,45.0,650,292500.0,146250.0,0.5,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Street Footwear,45.0,870,391500.0,176175.0,0.45,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Street Footwear,35.0,575,201250.0,50312.5,0.25,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Athletic Footwear,40.0,425,170000.0,51000.0,0.3,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Apparel,55.00000000000001,475,261250.00000000003,91437.5,0.35,In-store
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Apparel,45.0,575,258750.0,129375.0,0.5,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Men's Street Footwear,45.0,825,371250.0,167062.5,0.45,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Men's Athletic Footwear,45.0,525,236250.0,82687.5,0.35,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Women's Street Footwear,35.0,525,183750.0,45937.5,0.25,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Women's Athletic Footwear,40.0,450,180000.0,54000.0,0.3,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Men's Apparel,55.00000000000001,475,261250.00000000003,91437.5,0.35,In-store
West Gear,1185732,2021-04-09,Northeast,New York,Albany,Women's Apparel,45.0,600,270000.0,135000.0,0.5,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Men's Street Footwear,55.00000000000001,870,478500.00000000006,215325.00000000003,0.45,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Men's Athletic Footwear,55.00000000000001,575,316250.00000000006,110687.50000000001,0.35,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Women's Street Footwear,50.0,550,275000.0,68750.0,0.25,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Women's Athletic Footwear,50.0,500,250000.0,75000.0,0.3,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Men's Apparel,60.0,525,315000.0,110250.0,0.35,In-store
West Gear,1185732,2021-05-08,Northeast,New York,Albany,Women's Apparel,65.0,625,406250.0,203125.0,0.5,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Street Footwear,60.0,875,525000.0,236250.0,0.45,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Athletic Footwear,55.00000000000001,625,343750.00000000006,120312.50000000001,0.35,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Street Footwear,50.0,600,300000.0,75000.0,0.25,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Athletic Footwear,50.0,575,287500.0,86250.0,0.3,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Apparel,65.0,575,373750.0,130812.49999999999,0.35,In-store
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Women's Apparel,70.0,725,507500.0,253750.0,0.5,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Men's Street Footwear,65.0,950,617500.0,277875.0,0.45,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Men's Athletic Footwear,60.00000000000001,700,420000.00000000006,147000.0,0.35,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Street Footwear,55.00000000000001,625,343750.00000000006,85937.50000000001,0.25,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Athletic Footwear,55.00000000000001,575,316250.00000000006,94875.00000000001,0.3,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Men's Apparel,65.0,600,390000.0,136500.0,0.35,In-store
West Gear,1185732,2021-07-08,Northeast,New York,Albany,Women's Apparel,70.0,775,542500.0,271250.0,0.5,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Street Footwear,65.0,925,601250.0,270562.5,0.45,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Athletic Footwear,60.00000000000001,700,420000.00000000006,147000.0,0.35,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Street Footwear,55.00000000000001,625,343750.00000000006,85937.50000000001,0.25,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Athletic Footwear,45.0,575,258750.0,77625.0,0.3,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Apparel,55.00000000000001,550,302500.00000000006,105875.00000000001,0.35,In-store
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Women's Apparel,60.00000000000001,725,435000.00000000006,217500.00000000003,0.5,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Men's Street Footwear,55.00000000000001,850,467500.00000000006,210375.00000000003,0.45,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Men's Athletic Footwear,50.000000000000014,650,325000.0000000001,113750.00000000003,0.35,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Women's Street Footwear,45.0,550,247500.0,61875.0,0.25,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Women's Athletic Footwear,45.0,525,236250.0,70875.0,0.3,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Men's Apparel,55.00000000000001,525,288750.00000000006,101062.50000000001,0.35,In-store
West Gear,1185732,2021-09-08,Northeast,New York,Albany,Women's Apparel,60.00000000000001,625,375000.00000000006,187500.00000000003,0.5,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Street Footwear,60.00000000000001,800,480000.00000000006,216000.00000000003,0.45,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Athletic Footwear,50.000000000000014,625,312500.0000000001,109375.00000000003,0.35,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Women's Street Footwear,50.000000000000014,525,262500.00000000006,65625.00000000001,0.25,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Women's Athletic Footwear,50.000000000000014,500,250000.00000000006,75000.00000000001,0.3,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Apparel,60.00000000000001,500,300000.00000000006,105000.00000000001,0.35,In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Women's Apparel,65.0,625,406250.0,203125.0,0.5,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Street Footwear,60.00000000000001,775,465000.00000000006,209250.00000000003,0.45,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Athletic Footwear,50.000000000000014,600,300000.00000000006,105000.00000000001,0.35,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Street Footwear,50.000000000000014,545,272500.00000000006,68125.00000000001,0.25,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Athletic Footwear,50.000000000000014,575,287500.00000000006,86250.00000000001,0.3,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Apparel,65.0,550,357500.0,125124.99999999999,0.35,In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Women's Apparel,70.0,650,455000.0,227500.0,0.5,In-store
West Gear,1185732,2021-12-08,Northeast,New York,Albany,Men's Street Footwear,65.0,875,568750.0,255937.5,0.45,In-store
West Gear,1185732,2021-12-08,Northeast,New York,Albany,Men's Athletic Footwear,55.00000000000001,675,371250.00000000006,129937.50000000001,0.35,In-store
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Women's Athletic Footwear,37.0,133,4921.0,2066.8199999999997,0.42,Online
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Men's Apparel,50.0,154,7700.0,3541.9999999999995,0.45999999999999996,Online
West Gear,1185732,2021-02-10,Northeast,New York,Albany,Women's Apparel,42.0,182,7644.0,4892.16,0.64,Online
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Street Footwear,44.0,252,11088.0,6541.920000000001,0.5900000000000001,Online
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Men's Athletic Footwear,44.0,165,7260.0,3339.6,0.45999999999999996,Online
West Gear,1185732,2021-03-08,Northeast,New York,Albany,Women's Street Footwear,33.0,161,5313.0,1912.6799999999998,0.36,Online
