Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,30.0,50,15000.0,5250.0,0.35,In-store
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Men's Apparel,45.0,125,56250.0,16875.0,0.3,In-store
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Apparel,35.0,225,78750.0,23625.0,0.3,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Street Footwear,35.0,445,155750.0,62300.0,0.4,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,35.0,150,52500.0,18375.0,0.35,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Street Footwear,25.000000000000007,175,43750.000000000015,15312.500000000004,0.35,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,30.0,25,7500.0,2625.0,0.35,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Apparel,45.0,75,33750.0,10125.0,0.3,In-store
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Apparel,35.0,175,61250.0,18375.0,0.3,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Street Footwear,35.0,425,148750.0,59500.0,0.4,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,35.0,125,43750.0,15312.499999999998,0.35,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Street Footwear,25.000000000000007,125,31250.000000000007,10937.500000000002,0.35,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,30.0,50,15000.0,5250.0,0.35,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Apparel,45.0,50,22500.0,6750.0,0.3,In-store
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Apparel,35.0,200,70000.0,21000.0,0.3,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Street Footwear,49.99999999999999,470,234999.99999999997,94000.0,0.4,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,45.0,175,78750.0,27562.5,0.35,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Women's Street Footwear,40.0,150,60000.0,21000.0,0.35,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,40.0,100,40000.0,14000.0,0.35,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Apparel,49.99999999999999,125,62499.99999999999,18749.999999999996,0.3,In-store
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Women's Apparel,54.99999999999999,250,137499.99999999997,41249.99999999999,0.3,In-store
West Gear,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Street Footwear,49.99999999999999,500,249999.99999999997,100000.0,0.4,In-store
West Gear,1185732,2021-06-22,Northeast,Maryland,Baltimore,Men's Athletic Footwear,45.0,250,112500.0,39375.0,0.35,In-store
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,28.0,14,392.0,196.0,0.5,Online
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Men's Apparel,41.0,31,1271.0,571.9499999999999,0.44999999999999996,Online
West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Apparel,34.0,63,2142.0,921.06,0.43,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Street Footwear,32.0,125,4000.0,2120.0,0.53,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,34.0,39,1326.0,623.2199999999999,0.47,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Street Footwear,24.0,53,1272.0,623.28,0.49,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Athletic Footwear,29.0,7,203.0,93.38,0.45999999999999996,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Men's Apparel,43.0,22,946.0,406.78,0.43,Online
West Gear,1185732,2021-03-20,Northeast,Maryland,Baltimore,Women's Apparel,33.0,49,1617.0,727.65,0.44999999999999996,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Street Footwear,33.0,128,4224.0,2154.2400000000002,0.51,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Athletic Footwear,32.0,31,992.0,466.23999999999995,0.47,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Street Footwear,24.0,33,792.0,388.08,0.49,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Athletic Footwear,27.0,13,351.0,164.97,0.47,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Men's Apparel,41.0,15,615.0,276.75,0.44999999999999996,Online
West Gear,1185732,2021-04-21,Northeast,Maryland,Baltimore,Women's Apparel,32.0,52,1664.0,732.16,0.44,Online
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Street Footwear,49.0,118,5782.0,3006.6400000000003,0.52,Online
West Gear,1185732,2021-05-20,Northeast,Maryland,Baltimore,Men's Athletic Footwear,42.0,47,1974.0,908.04,0.45999999999999996,Online
