Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,35.0,175,61250.0,24500.0,0.4,In-store
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Men's Apparel,49.99999999999999,250,124999.99999999999,50000.0,0.4,In-store
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,24.999999999999993,350,87499.99999999997,34999.99999999999,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Men's Street Footwear,30.000000000000004,570,171000.00000000003,68400.00000000001,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30.000000000000004,275,82500.00000000001,33000.00000000001,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,65000.0,26000.0,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Athletic Footwear,24.999999999999993,175,43749.999999999985,17499.999999999996,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Men's Apparel,40.0,225,90000.0,36000.0,0.4,In-store
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Apparel,30.000000000000004,325,97500.00000000001,39000.00000000001,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Men's Street Footwear,30.000000000000004,550,165000.00000000003,66000.00000000001,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30.000000000000004,250,75000.00000000001,30000.000000000007,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,250,50000.0,20000.0,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,24.999999999999993,175,43749.999999999985,17499.999999999996,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Men's Apparel,65.0,200,130000.0,52000.0,0.4,In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Women's Apparel,50.0,325,162500.0,65000.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Men's Street Footwear,60.0,595,357000.0,142800.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Men's Athletic Footwear,40.0,300,120000.0,48000.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Women's Street Footwear,35.0,275,96250.0,38500.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Women's Athletic Footwear,35.0,200,70000.0,28000.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Men's Apparel,44.99999999999999,225,101249.99999999999,40500.0,0.4,In-store
West Gear,1185732,2021-05-18,Northeast,West Virginia,Charleston,Women's Apparel,54.99999999999999,350,192499.99999999997,76999.99999999999,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Men's Street Footwear,45.0,600,270000.0,108000.0,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,40.00000000000001,425,170000.00000000003,68000.00000000001,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Women's Street Footwear,35.0,300,105000.0,42000.0,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,35.0,275,96250.0,38500.0,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Men's Apparel,45.0,275,123750.0,49500.0,0.4,In-store
West Gear,1185732,2021-06-17,Northeast,West Virginia,Charleston,Women's Apparel,65.00000000000001,425,276250.00000000006,110500.00000000003,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Men's Street Footwear,60.00000000000001,650,390000.00000000006,156000.00000000003,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Men's Athletic Footwear,55.000000000000014,400,220000.00000000006,88000.00000000003,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Street Footwear,50.0,325,162500.0,65000.0,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Athletic Footwear,50.0,275,137500.0,55000.0,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Men's Apparel,60.00000000000001,300,180000.00000000003,72000.00000000001,0.4,In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Apparel,65.00000000000001,475,308750.00000000006,123500.00000000003,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Men's Street Footwear,50.0,525,262500.0,105000.0,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,45.00000000000001,300,135000.00000000003,54000.000000000015,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Women's Street Footwear,40.0,300,120000.0,48000.0,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,40.0,275,110000.0,44000.0,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Men's Apparel,50.0,250,125000.0,50000.0,0.4,In-store
West Gear,1185732,2021-08-17,Northeast,West Virginia,Charleston,Women's Apparel,55.00000000000001,425,233750.00000000003,93500.00000000001,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Street Footwear,35.0,550,192500.0,77000.0,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30.00000000000001,350,105000.00000000004,42000.00000000002,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Women's Street Footwear,25.000000000000007,250,62500.000000000015,25000.000000000007,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Women's Athletic Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Apparel,35.0,225,78750.0,31500.0,0.4,In-store
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Women's Apparel,40.0,300,120000.0,48000.0,0.4,In-store
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Men's Street Footwear,44.99999999999999,425,191249.99999999997,76499.99999999999,0.4,In-store
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Men's Athletic Footwear,35.0,275,96250.0,38500.0,0.4,In-store
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Women's Street Footwear,35.0,175,61250.0,24500.0,0.4,In-store
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,35.0,175,61250.0,24500.0,0.4,In-store
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Men's Apparel,44.99999999999999,175,78749.99999999999,31499.999999999996,0.4,In-store
West Gear,1185732,2021-12-16,Northeast,West Virginia,Charleston,Women's Street Footwear,55.00000000000001,400,220000.00000000003,88000.00000000001,0.4,In-store
