Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,44.99999999999999,200,89999.99999999999,26999.999999999996,0.3,In-store
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Men's Apparel,60.00000000000001,275,165000.00000000003,49500.00000000001,0.3,In-store
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,50.0,375,187500.0,65625.0,0.35,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,50.0,570,285000.0,114000.0,0.4,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,50.0,275,137500.0,55000.0,0.4,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,40.0,300,120000.0,36000.0,0.3,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,44.99999999999999,150,67499.99999999999,20249.999999999996,0.3,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Men's Apparel,60.00000000000001,200,120000.00000000001,36000.0,0.3,In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Women's Apparel,50.0,300,150000.0,52500.0,0.35,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Men's Street Footwear,50.0,550,275000.0,110000.0,0.4,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,50.0,250,125000.0,50000.0,0.4,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Women's Street Footwear,40.0,250,100000.0,30000.0,0.3,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,44.99999999999999,175,78749.99999999999,23624.999999999996,0.3,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Men's Apparel,60.00000000000001,175,105000.00000000001,31500.000000000004,0.3,In-store
Amazon,1185732,2021-04-18,Northeast,New Hampshire,Manchester,Women's Apparel,50.0,325,162500.0,56875.0,0.35,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,65.0,595,386750.0,154700.0,0.4,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,60.00000000000001,300,180000.00000000003,72000.00000000001,0.4,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,55.00000000000001,325,178750.00000000003,53625.00000000001,0.3,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,55.00000000000001,275,151250.00000000003,45375.00000000001,0.3,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Men's Apparel,65.0,300,195000.0,58500.0,0.3,In-store
Amazon,1185732,2021-05-17,Northeast,New Hampshire,Manchester,Women's Apparel,70.0,425,297500.0,104125.0,0.35,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Men's Street Footwear,65.0,675,438750.0,175500.0,0.4,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,60.00000000000001,425,255000.00000000003,102000.00000000001,0.4,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Women's Street Footwear,55.00000000000001,350,192500.00000000003,57750.00000000001,0.3,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,55.00000000000001,325,178750.00000000003,53625.00000000001,0.3,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Men's Apparel,65.0,325,211250.0,63375.0,0.3,In-store
Amazon,1185732,2021-06-19,Northeast,New Hampshire,Manchester,Women's Apparel,70.0,475,332500.0,116374.99999999999,0.35,In-store
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,65.0,700,455000.0,182000.0,0.4,In-store
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,60.00000000000001,450,270000.00000000006,108000.00000000003,0.4,Outlet
Amazon,1185732,2021-07-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,55.00000000000001,375,206250.00000000003,61875.00000000001,0.3,Outlet
