Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,475,261250.00000000003,91437.5,0.35,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,55.00000000000001,475,261250.00000000003,104500.00000000001,0.4,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Apparel,65.0,400,260000.0,91000.0,0.35,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Apparel,70.0,500,350000.0,87500.0,0.25,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,40.0,1025,410000.0,184500.0,0.45,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40.0,825,330000.0,115499.99999999999,0.35,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Street Footwear,30.000000000000004,825,247500.00000000003,61875.00000000001,0.25,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Athletic Footwear,35.0,675,236250.0,70875.0,0.3,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Apparel,50.0,725,362500.0,126874.99999999999,0.35,Online
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Women's Apparel,40.0,825,330000.0,165000.0,0.5,Online
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,40.0,1075,430000.0,193500.0,0.45,Online
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40.0,725,290000.0,101500.0,0.35,Online
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Women's Street Footwear,30.000000000000004,775,232500.00000000003,58125.00000000001,0.25,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Street Footwear,53.0,138,7314.0,3657.0,0.5,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,51.0,128,6528.0,3264.0,0.5,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Apparel,64.0,116,7424.0,3712.0,0.5,Online
Foot Locker,1128299,2021-12-12,Southeast,Georgia,Atlanta,Women's Apparel,64.0,135,8640.0,3024.0,0.35,Online
