Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.000000000000007,75,18750.000000000004,5625.000000000001,0.3,In-store
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Men's Apparel,40.0,150,60000.0,30000.0,0.5,In-store
Foot Locker,1185732,2021-02-06,Midwest,Iowa,Des Moines,Women's Apparel,14.999999999999996,250,37499.99999999999,14999.999999999998,0.4,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Men's Street Footwear,20.000000000000004,470,94000.00000000001,28200.000000000004,0.3,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Men's Athletic Footwear,20.000000000000004,175,35000.00000000001,12250.000000000002,0.35,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Street Footwear,10.000000000000004,225,22500.000000000007,6750.000000000002,0.3,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Athletic Footwear,14.999999999999996,100,14999.999999999996,4499.999999999999,0.3,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Men's Apparel,30.000000000000004,150,45000.00000000001,22500.000000000004,0.5,In-store
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Apparel,20.000000000000004,250,50000.00000000001,20000.000000000004,0.4,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Men's Street Footwear,20.000000000000004,475,95000.00000000001,28500.000000000004,0.3,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Men's Athletic Footwear,20.000000000000004,175,35000.00000000001,12250.000000000002,0.35,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Women's Street Footwear,10.000000000000004,175,17500.000000000007,5250.000000000002,0.3,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,14.999999999999996,100,14999.999999999996,4499.999999999999,0.3,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Men's Apparel,60.0,125,75000.0,37500.0,0.5,In-store
Foot Locker,1185732,2021-04-06,Midwest,Iowa,Des Moines,Women's Apparel,50.0,250,125000.0,50000.0,0.4,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Street Footwear,60.0,520,312000.0,93600.0,0.3,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Athletic Footwear,40.0,225,90000.0,31499.999999999996,0.35,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Women's Street Footwear,35.0,200,70000.0,21000.0,0.3,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Women's Athletic Footwear,35.0,125,43750.0,13125.0,0.3,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Men's Apparel,44.99999999999999,150,67499.99999999999,33749.99999999999,0.5,In-store
Foot Locker,1185732,2021-05-07,Midwest,Iowa,Des Moines,Women's Apparel,49.99999999999999,275,137499.99999999997,54999.99999999999,0.4,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Men's Street Footwear,35.0,525,183750.0,55125.0,0.3,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30.00000000000001,275,82500.00000000003,28875.000000000007,0.35,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Women's Street Footwear,25.000000000000007,200,50000.000000000015,15000.000000000004,0.3,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Women's Athletic Footwear,25.000000000000007,175,43750.000000000015,13125.000000000004,0.3,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Men's Apparel,35.0,175,61250.0,30625.0,0.5,In-store
Foot Locker,1185732,2021-06-06,Midwest,Iowa,Des Moines,Women's Apparel,55.00000000000001,325,178750.00000000003,71500.00000000001,0.4,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Men's Street Footwear,50.0,550,275000.0,82500.0,0.3,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Men's Athletic Footwear,45.00000000000001,300,135000.00000000003,47250.00000000001,0.35,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Women's Street Footwear,40.0,225,90000.0,27000.0,0.3,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Women's Athletic Footwear,40.0,175,70000.0,21000.0,0.3,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Men's Apparel,50.0,200,100000.0,50000.0,0.5,In-store
Foot Locker,1185732,2021-07-05,Midwest,Iowa,Des Moines,Women's Apparel,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,In-store
Foot Locker,1185732,2021-08-06,Midwest,Iowa,Des Moines,Men's Street Footwear,50.0,525,262500.0,78750.0,0.3,In-store
