Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-10-09,Midwest,North Dakota,Fargo,Women's Apparel,54.999999999999986,250,137499.99999999997,54999.99999999999,0.4,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Street Footwear,49.99999999999999,400,199999.99999999997,69999.99999999999,0.35,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,40.0,250,100000.0,30000.0,0.3,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Street Footwear,40.0,195,78000.0,23400.0,0.3,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Athletic Footwear,40.0,175,70000.0,21000.0,0.3,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Apparel,60.0,150,90000.0,31499.999999999996,0.35,In-store
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Apparel,64.99999999999999,250,162499.99999999997,64999.99999999999,0.4,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Street Footwear,60.0,500,300000.0,105000.0,0.35,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Athletic Footwear,50.0,300,150000.0,45000.0,0.3,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Street Footwear,50.0,250,125000.0,37500.0,0.3,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Athletic Footwear,50.0,200,100000.0,30000.0,0.3,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Apparel,60.0,200,120000.0,42000.0,0.35,In-store
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Apparel,64.99999999999999,300,194999.99999999997,77999.99999999999,0.4,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Street Footwear,30.000000000000004,450,135000.00000000003,40500.00000000001,0.3,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.000000000000004,250,75000.00000000001,26250.000000000004,0.35,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Street Footwear,20.000000000000007,250,50000.000000000015,15000.000000000004,0.3,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Athletic Footwear,25.000000000000007,100,25000.000000000007,7500.000000000002,0.3,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,40.0,150,60000.0,30000.0,0.5,In-store
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Apparel,30.000000000000004,250,75000.00000000001,30000.000000000007,0.4,In-store
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Street Footwear,30.000000000000004,500,150000.00000000003,45000.00000000001,0.3,In-store
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,30.000000000000004,150,45000.00000000001,15750.000000000002,0.35,In-store
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Women's Street Footwear,20.000000000000007,200,40000.000000000015,12000.000000000004,0.3,In-store
Foot Locker,1185732,2021-10-09,Midwest,North Dakota,Fargo,Women's Apparel,53.0,73,3869.0,2050.57,0.53,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Street Footwear,49.0,120,5880.0,2940.0,0.5,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,36.0,73,2628.0,1182.6,0.44999999999999996,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Street Footwear,39.0,53,2067.0,909.48,0.44,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Athletic Footwear,39.0,47,1833.0,788.1899999999999,0.43,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Men's Apparel,55.0,44,2420.0,1089.0,0.44999999999999996,Online
Foot Locker,1185732,2021-11-09,Midwest,North Dakota,Fargo,Women's Apparel,60.0,65,3900.0,1989.0,0.51,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Street Footwear,55.0,150,8250.0,3794.9999999999995,0.45999999999999996,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Athletic Footwear,46.0,75,3450.0,1552.4999999999998,0.44999999999999996,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Street Footwear,48.0,73,3504.0,1576.8,0.44999999999999996,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Athletic Footwear,47.0,54,2538.0,1040.58,0.41,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Men's Apparel,58.0,54,3132.0,1409.3999999999999,0.44999999999999996,Online
Foot Locker,1185732,2021-12-08,Midwest,North Dakota,Fargo,Women's Apparel,63.0,78,4914.0,2604.42,0.53,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Street Footwear,27.0,113,3051.0,1372.9499999999998,0.44999999999999996,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,29.0,70,2030.0,933.8,0.45999999999999996,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Street Footwear,19.0,68,1292.0,581.4,0.44999999999999996,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Athletic Footwear,24.0,26,624.0,280.79999999999995,0.44999999999999996,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Men's Apparel,38.0,42,1596.0,1005.48,0.63,Online
Foot Locker,1185732,2021-01-06,Midwest,North Dakota,Fargo,Women's Apparel,28.0,75,2100.0,1092.0,0.52,Online
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Street Footwear,28.0,145,4060.0,1786.4,0.44,Online
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Men's Athletic Footwear,28.0,45,1260.0,579.5999999999999,0.45999999999999996,Online
Foot Locker,1185732,2021-02-06,Midwest,North Dakota,Fargo,Women's Street Footwear,19.0,56,1064.0,436.23999999999995,0.41,Online
