Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,81250.0,32500.0,0.4,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Men's Apparel,40.0,400,160000.0,56000.0,0.35,Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Apparel,25.0,500,125000.0,62500.0,0.5,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Street Footwear,25.0,720,180000.0,72000.0,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,400,100000.0,35000.0,0.35,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15.000000000000002,425,63750.00000000001,25500.000000000004,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Athletic Footwear,19.999999999999996,275,54999.99999999999,22000.0,0.4,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Men's Apparel,35.00000000000001,325,113750.00000000003,39812.50000000001,0.35,Online
Foot Locker,1185732,2021-03-16,South,Mississippi,Jackson,Women's Apparel,25.0,425,106250.0,53125.0,0.5,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Street Footwear,25.0,675,168750.0,67500.0,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,375,93750.0,32812.5,0.35,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.000000000000002,375,56250.00000000001,22500.000000000004,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,19.999999999999996,300,59999.99999999999,24000.0,0.4,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Men's Apparel,40.0,325,130000.0,45500.0,0.35,Online
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Apparel,30.000000000000004,475,142500.00000000003,71250.00000000001,0.5,Online
Foot Locker,1185732,2021-05-16,South,Mississippi,Jackson,Men's Street Footwear,40.0,745,298000.0,119200.0,0.4,Online
