Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-05-25,Midwest,Nebraska,Omaha,Men's Apparel,44.99999999999999,125,56249.99999999999,19687.499999999996,0.35,Outlet
Foot Locker,1185732,2021-05-26,Midwest,Nebraska,Omaha,Women's Apparel,35.0,225,78750.0,39375.0,0.5,Outlet
Foot Locker,1185732,2021-05-27,Midwest,Nebraska,Omaha,Men's Street Footwear,35.0,475,166250.0,66500.0,0.4,Outlet
Foot Locker,1185732,2021-05-28,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.0,125,43750.0,15312.499999999998,0.35,Outlet
Foot Locker,1185732,2021-05-29,Midwest,Nebraska,Omaha,Women's Street Footwear,25.0,175,43750.0,15312.499999999998,0.35,Outlet
Foot Locker,1185732,2021-05-30,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.000000000000004,50,15000.000000000002,6000.000000000001,0.4,Outlet
Foot Locker,1185732,2021-05-31,Midwest,Nebraska,Omaha,Men's Apparel,44.99999999999999,125,56249.99999999999,19687.499999999996,0.35,Outlet
Foot Locker,1185732,2021-06-01,Midwest,Nebraska,Omaha,Women's Apparel,35.0,200,70000.0,35000.0,0.5,Outlet
Foot Locker,1185732,2021-06-02,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,420,168000.0,67200.0,0.4,Outlet
Foot Locker,1185732,2021-06-03,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40.0,100,40000.0,14000.0,0.35,Outlet
Foot Locker,1185732,2021-06-04,Midwest,Nebraska,Omaha,Women's Street Footwear,30.000000000000004,150,45000.00000000001,15750.000000000002,0.35,Outlet
Foot Locker,1185732,2021-06-05,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,0,0.0,0.0,0.4,Outlet
Foot Locker,1185732,2021-06-06,Midwest,Nebraska,Omaha,Men's Apparel,50.0,50,25000.0,8750.0,0.35,Outlet
Foot Locker,1185732,2021-06-07,Midwest,Nebraska,Omaha,Women's Apparel,40.0,150,60000.0,30000.0,0.5,Outlet
Foot Locker,1185732,2021-06-08,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,375,150000.0,60000.0,0.4,Outlet
Foot Locker,1185732,2021-06-09,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.0,75,26250.0,9187.5,0.35,Outlet
Foot Locker,1185732,2021-06-10,Midwest,Nebraska,Omaha,Women's Street Footwear,25.000000000000007,75,18750.000000000004,6562.500000000001,0.35,Outlet
Foot Locker,1185732,2021-06-11,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.0,0,0.0,0.0,0.4,Outlet
Foot Locker,1185732,2021-06-12,Midwest,Nebraska,Omaha,Men's Apparel,45.0,25,11250.0,3937.4999999999995,0.35,Outlet
Foot Locker,1185732,2021-06-13,Midwest,Nebraska,Omaha,Women's Apparel,35.0,150,52500.0,26250.0,0.5,Outlet
Foot Locker,1185732,2021-06-14,Midwest,Nebraska,Omaha,Men's Street Footwear,45.0,420,189000.0,75600.0,0.4,Outlet
Foot Locker,1185732,2021-06-15,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40.00000000000001,125,50000.00000000001,17500.0,0.35,Outlet
Foot Locker,1185732,2021-06-16,Midwest,Nebraska,Omaha,Women's Street Footwear,35.0,100,35000.0,12250.0,0.35,Outlet
Foot Locker,1185732,2021-06-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,25,8750.0,3500.0,0.4,Outlet
Foot Locker,1185732,2021-06-18,Midwest,Nebraska,Omaha,Men's Apparel,49.99999999999999,50,24999.999999999996,8749.999999999998,0.35,Outlet
Foot Locker,1185732,2021-06-19,Midwest,Nebraska,Omaha,Women's Apparel,54.99999999999999,150,82499.99999999999,41249.99999999999,0.5,Outlet
Foot Locker,1185732,2021-06-20,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,400,160000.0,64000.0,0.4,Outlet
Foot Locker,1185732,2021-06-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.00000000000001,150,52500.00000000001,18375.0,0.35,Outlet
Foot Locker,1185732,2021-06-22,Midwest,Nebraska,Omaha,Women's Street Footwear,30.000000000000004,175,52500.00000000001,18375.0,0.35,Outlet
Foot Locker,1185732,2021-06-23,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.000000000000004,150,45000.00000000001,18000.000000000004,0.4,Outlet
Foot Locker,1185732,2021-06-24,Midwest,Nebraska,Omaha,Men's Apparel,45.0,150,67500.0,23625.0,0.35,Outlet
Foot Locker,1185732,2021-06-25,Midwest,Nebraska,Omaha,Women's Apparel,50.0,325,162500.0,81250.0,0.5,Outlet
Foot Locker,1185732,2021-06-26,Midwest,Nebraska,Omaha,Men's Street Footwear,45.0,550,247500.0,99000.0,0.4,Outlet
Foot Locker,1185732,2021-06-27,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40.00000000000001,300,120000.00000000001,42000.0,0.35,Outlet
Foot Locker,1185732,2021-06-28,Midwest,Nebraska,Omaha,Women's Street Footwear,35.0,225,78750.0,27562.5,0.35,Outlet
Foot Locker,1185732,2021-06-29,Midwest,Nebraska,Omaha,Women's Athletic Footwear,35.0,175,61250.0,24500.0,0.4,Outlet
Foot Locker,1185732,2021-06-30,Midwest,Nebraska,Omaha,Men's Apparel,45.0,175,78750.0,27562.5,0.35,Outlet
Foot Locker,1185732,2021-07-01,Midwest,Nebraska,Omaha,Women's Apparel,50.0,350,175000.0,87500.0,0.5,Outlet
Foot Locker,1185732,2021-07-02,Midwest,Nebraska,Omaha,Men's Street Footwear,45.0,500,225000.0,90000.0,0.4,Outlet
Foot Locker,1185732,2021-07-03,Midwest,Nebraska,Omaha,Men's Athletic Footwear,45.00000000000001,275,123750.00000000001,43312.5,0.35,Outlet
Foot Locker,1185732,2021-07-04,Midwest,Nebraska,Omaha,Women's Street Footwear,40.0,200,80000.0,28000.0,0.35,Outlet
Foot Locker,1185732,2021-07-05,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.000000000000004,125,37500.00000000001,15000.000000000004,0.4,Outlet
Foot Locker,1185732,2021-07-06,Midwest,Nebraska,Omaha,Men's Apparel,40.0,100,40000.0,14000.0,0.35,Outlet
Foot Locker,1185732,2021-07-07,Midwest,Nebraska,Omaha,Women's Apparel,45.0,275,123750.0,61875.0,0.5,Outlet
Foot Locker,1185732,2021-07-08,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,400,160000.0,64000.0,0.4,Outlet
Foot Locker,1185732,2021-07-09,Midwest,Nebraska,Omaha,Men's Athletic Footwear,35.00000000000001,200,70000.00000000001,24500.000000000004,0.35,Outlet
Foot Locker,1185732,2021-07-10,Midwest,Nebraska,Omaha,Women's Street Footwear,20.0,100,20000.0,7000.0,0.35,Outlet
Foot Locker,1185732,2021-07-11,Midwest,Nebraska,Omaha,Women's Athletic Footwear,20.0,75,15000.0,6000.0,0.4,Outlet
Foot Locker,1185732,2021-07-12,Midwest,Nebraska,Omaha,Men's Apparel,30.0,75,22500.0,7874.999999999999,0.35,Outlet
Foot Locker,1185732,2021-07-13,Midwest,Nebraska,Omaha,Women's Apparel,35.0,150,52500.0,26250.0,0.5,Outlet
Foot Locker,1185732,2021-07-14,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,325,130000.0,52000.0,0.4,Outlet
Foot Locker,1185732,2021-07-15,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.0,150,45000.0,15749.999999999998,0.35,Outlet
Foot Locker,1185732,2021-07-16,Midwest,Nebraska,Omaha,Women's Street Footwear,30.0,50,15000.0,5250.0,0.35,Outlet
Foot Locker,1185732,2021-07-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.0,25,7500.0,3000.0,0.4,Outlet
Foot Locker,1185732,2021-07-18,Midwest,Nebraska,Omaha,Men's Apparel,40.0,25,10000.0,3500.0,0.35,Outlet
Foot Locker,1185732,2021-07-19,Midwest,Nebraska,Omaha,Women's Apparel,44.99999999999999,150,67499.99999999999,33749.99999999999,0.5,Outlet
Foot Locker,1185732,2021-07-20,Midwest,Nebraska,Omaha,Men's Street Footwear,40.0,300,120000.0,48000.0,0.4,Outlet
Foot Locker,1185732,2021-07-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,30.000000000000004,150,45000.00000000001,15750.000000000002,0.35,Outlet
Foot Locker,1185732,2021-07-22,Midwest,Nebraska,Omaha,Women's Street Footwear,30.000000000000004,95,28500.000000000004,9975.0,0.35,Outlet
Foot Locker,1185732,2021-07-23,Midwest,Nebraska,Omaha,Women's Athletic Footwear,30.000000000000004,125,37500.00000000001,15000.000000000004,0.4,Outlet
Foot Locker,1185732,2021-07-24,Midwest,Nebraska,Omaha,Men's Apparel,49.99999999999999,100,49999.99999999999,17499.999999999996,0.35,Outlet
Foot Locker,1185732,2021-07-25,Midwest,Nebraska,Omaha,Women's Apparel,54.999999999999986,200,109999.99999999997,54999.999999999985,0.5,Outlet
Foot Locker,1185732,2021-07-26,Midwest,Nebraska,Omaha,Men's Street Footwear,49.99999999999999,450,224999.99999999997,90000.0,0.4,Outlet
Foot Locker,1185732,2021-07-27,Midwest,Nebraska,Omaha,Men's Athletic Footwear,40.0,250,100000.0,35000.0,0.35,Outlet
Foot Locker,1185732,2021-07-28,Midwest,Nebraska,Omaha,Women's Street Footwear,40.0,200,80000.0,28000.0,0.35,Outlet
Foot Locker,1185732,2021-07-29,Midwest,Nebraska,Omaha,Women's Athletic Footwear,40.0,150,60000.0,24000.0,0.4,Outlet
Foot Locker,1185732,2021-07-30,Midwest,Nebraska,Omaha,Men's Apparel,49.99999999999999,150,74999.99999999999,26249.999999999993,0.35,Outlet
Foot Locker,1185732,2021-07-31,Midwest,Nebraska,Omaha,Women's Apparel,54.999999999999986,250,137499.99999999997,68749.99999999999,0.5,Outlet
Foot Locker,1185732,2021-05-25,Midwest,Nebraska,Omaha,Men's Apparel,43.0,35,1505.0,677.2499999999999,0.44999999999999996,Online
Foot Locker,1185732,2021-05-26,Midwest,Nebraska,Omaha,Women's Apparel,32.0,68,2176.0,1327.36,0.61,Online
Foot Locker,1185732,2021-05-27,Midwest,Nebraska,Omaha,Men's Street Footwear,32.0,119,3808.0,2056.32,0.54,Online
Foot Locker,1185732,2021-05-28,Midwest,Nebraska,Omaha,Men's Athletic Footwear,33.0,38,1254.0,627.0,0.5,Online
Foot Locker,1185732,2021-05-29,Midwest,Nebraska,Omaha,Women's Street Footwear,23.0,47,1081.0,540.5,0.5,Online
Foot Locker,1185732,2021-05-30,Midwest,Nebraska,Omaha,Women's Athletic Footwear,29.0,14,406.0,203.0,0.5,Online
Foot Locker,1185732,2021-05-31,Midwest,Nebraska,Omaha,Men's Apparel,41.0,31,1271.0,622.79,0.49,Online
Foot Locker,1185732,2021-06-01,Midwest,Nebraska,Omaha,Women's Apparel,32.0,60,1920.0,1190.4,0.62,Online
Foot Locker,1185732,2021-06-02,Midwest,Nebraska,Omaha,Men's Street Footwear,38.0,122,4636.0,2503.44,0.54,Online
Foot Locker,1185732,2021-06-03,Midwest,Nebraska,Omaha,Men's Athletic Footwear,39.0,26,1014.0,466.43999999999994,0.45999999999999996,Online
Foot Locker,1185732,2021-06-04,Midwest,Nebraska,Omaha,Women's Street Footwear,29.0,39,1131.0,565.5,0.5,Online
Foot Locker,1185732,2021-06-05,Midwest,Nebraska,Omaha,Women's Athletic Footwear,33.0,0,0.0,0.0,0.55,Online
Foot Locker,1185732,2021-06-06,Midwest,Nebraska,Omaha,Men's Apparel,45.0,13,585.0,274.95,0.47,Online
Foot Locker,1185732,2021-06-07,Midwest,Nebraska,Omaha,Women's Apparel,37.0,38,1406.0,857.66,0.61,Online
Foot Locker,1185732,2021-06-08,Midwest,Nebraska,Omaha,Men's Street Footwear,38.0,105,3990.0,2114.7000000000003,0.53,Online
Foot Locker,1185732,2021-06-09,Midwest,Nebraska,Omaha,Men's Athletic Footwear,32.0,23,736.0,331.2,0.44999999999999996,Online
Foot Locker,1185732,2021-06-10,Midwest,Nebraska,Omaha,Women's Street Footwear,23.0,21,483.0,217.34999999999997,0.44999999999999996,Online
Foot Locker,1185732,2021-06-11,Midwest,Nebraska,Omaha,Women's Athletic Footwear,27.0,0,0.0,0.0,0.53,Online
Foot Locker,1185732,2021-06-12,Midwest,Nebraska,Omaha,Men's Apparel,42.0,6,252.0,120.96,0.48,Online
Foot Locker,1185732,2021-06-13,Midwest,Nebraska,Omaha,Women's Apparel,34.0,39,1326.0,822.12,0.62,Online
Foot Locker,1185732,2021-06-14,Midwest,Nebraska,Omaha,Men's Street Footwear,44.0,118,5192.0,2803.6800000000003,0.54,Online
Foot Locker,1185732,2021-06-15,Midwest,Nebraska,Omaha,Men's Athletic Footwear,38.0,33,1254.0,627.0,0.5,Online
Foot Locker,1185732,2021-06-16,Midwest,Nebraska,Omaha,Women's Street Footwear,32.0,30,960.0,460.79999999999995,0.48,Online
Foot Locker,1185732,2021-06-17,Midwest,Nebraska,Omaha,Women's Athletic Footwear,34.0,7,238.0,126.14,0.53,Online
Foot Locker,1185732,2021-06-18,Midwest,Nebraska,Omaha,Men's Apparel,46.0,13,598.0,275.08,0.45999999999999996,Online
Foot Locker,1185732,2021-06-19,Midwest,Nebraska,Omaha,Women's Apparel,51.0,41,2091.0,1296.42,0.62,Online
Foot Locker,1185732,2021-06-20,Midwest,Nebraska,Omaha,Men's Street Footwear,36.0,120,4320.0,2289.6,0.53,Online
Foot Locker,1185732,2021-06-21,Midwest,Nebraska,Omaha,Men's Athletic Footwear,32.0,45,1440.0,720.0,0.5,Online
Foot Locker,1185732,2021-06-22,Midwest,Nebraska,Omaha,Women's Street Footwear,27.0,46,1242.0,558.9,0.44999999999999996,Online
Foot Locker,1185732,2021-06-23,Midwest,Nebraska,Omaha,Women's Athletic Footwear,27.0,39,1053.0,568.62,0.54,Online
