Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men's Apparel,54.99999999999999,125,68749.99999999999,24062.499999999993,0.35,Outlet
Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45.0,225,101250.0,30375.0,0.3,Outlet
Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,45.0,475,213750.0,117562.50000000001,0.55,Outlet
Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45.0,125,56250.0,19687.5,0.35,Outlet
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,35.0,175,61250.0,24499.999999999996,0.39999999999999997,Outlet
Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40.0,50,20000.0,7999.999999999999,0.39999999999999997,Outlet
Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men's Apparel,54.99999999999999,125,68749.99999999999,24062.499999999993,0.35,Outlet
Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women's Apparel,45.0,225,101250.0,30375.0,0.3,Outlet
Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,50.0,445,222500.0,122375.00000000001,0.55,Outlet
Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50.0,150,75000.0,26250.0,0.35,Outlet
Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40.0,175,70000.0,27999.999999999996,0.39999999999999997,Outlet
Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,25,11250.0,4500.0,0.39999999999999997,Outlet
Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60.0,75,45000.0,13500.0,0.3,Outlet
Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50.0,175,87500.0,21875.0,0.25,Outlet
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,50.0,450,225000.0,112500.0,0.5,Outlet
Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,50.0,150,75000.0,22500.0,0.3,Outlet
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,40.0,150,60000.0,21000.0,0.35,Outlet
Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,75,33750.0,11812.5,0.35,Outlet
Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men's Apparel,60.0,75,45000.0,13500.0,0.3,Outlet
Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women's Apparel,50.0,200,100000.0,25000.0,0.25,Outlet
Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,60.0,470,282000.0,141000.0,0.5,Outlet
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60.00000000000001,175,105000.00000000001,31500.000000000004,0.3,Outlet
Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55.00000000000001,150,82500.00000000001,28875.000000000004,0.35,Outlet
Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55.00000000000001,100,55000.00000000001,19250.0,0.35,Outlet
Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65.0,125,81250.0,24375.0,0.3,Outlet
Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70.0,250,175000.0,52500.0,0.3,Outlet
Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65.0,500,325000.0,178750.0,0.55,Outlet
Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60.00000000000001,250,150000.00000000003,52500.00000000001,0.35,Outlet
Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,55.00000000000001,175,96250.00000000001,38500.0,0.39999999999999997,Outlet
Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,55.00000000000001,150,82500.00000000001,33000.0,0.39999999999999997,Outlet
Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men's Apparel,65.0,150,97500.0,34125.0,0.35,Outlet
Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women's Apparel,70.0,300,210000.0,63000.0,0.3,Outlet
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,65.0,500,325000.0,178750.0,0.55,Outlet
Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,60.00000000000001,300,180000.00000000003,63000.00000000001,0.35,Outlet
