Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-02-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,100,35000.0,10500.0,0.3,Online
Foot Locker,1185732,2021-02-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,49.99999999999999,175,87499.99999999999,30624.999999999993,0.35,Online
Foot Locker,1185732,2021-02-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,35.0,275,96250.0,38500.0,0.4,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,40.0,495,198000.0,69300.0,0.35,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.0,200,80000.0,24000.0,0.3,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,30.000000000000004,225,67500.00000000001,20250.000000000004,0.3,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,75,26250.0,7875.0,0.3,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Men's Apparel,50.0,125,62500.0,21875.0,0.35,Online
Foot Locker,1185732,2021-03-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,40.0,225,90000.0,36000.0,0.4,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,40.0,450,180000.0,62999.99999999999,0.35,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.0,150,60000.0,18000.0,0.3,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,30.000000000000004,150,45000.00000000001,13500.000000000002,0.3,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,75,26250.0,7875.0,0.3,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,60.0,100,60000.0,21000.0,0.35,Online
Foot Locker,1185732,2021-04-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,50.0,225,112500.0,45000.0,0.4,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,60.0,495,297000.0,103950.0,0.35,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,50.0,200,100000.0,30000.0,0.3,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,45.0,175,78750.0,23625.0,0.3,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,45.0,100,45000.0,13500.0,0.3,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Men's Apparel,54.99999999999999,125,68749.99999999999,24062.499999999993,0.35,Online
Foot Locker,1185732,2021-05-13,Midwest,South Dakota,Sioux Falls,Women's Apparel,60.0,250,150000.0,60000.0,0.4,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,45.0,500,225000.0,78750.0,0.35,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.00000000000001,250,100000.00000000001,30000.000000000004,0.3,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,35.0,200,70000.0,21000.0,0.3,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,175,61250.0,18375.0,0.3,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,45.0,175,78750.0,27562.5,0.35,Online
Foot Locker,1185732,2021-06-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,55.00000000000001,325,178750.00000000003,71500.00000000001,0.4,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,50.0,550,275000.0,96250.0,0.35,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,45.00000000000001,300,135000.00000000003,40500.00000000001,0.3,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,40.0,225,90000.0,27000.0,0.3,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,40.0,175,70000.0,21000.0,0.3,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Men's Apparel,50.0,200,100000.0,35000.0,0.35,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Women's Apparel,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,50.0,525,262500.0,91875.0,0.35,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,45.00000000000001,300,135000.00000000003,40500.00000000001,0.3,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,40.0,225,90000.0,27000.0,0.3,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,40.0,200,80000.0,24000.0,0.3,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Men's Apparel,50.0,175,87500.0,30624.999999999996,0.35,Online
Foot Locker,1185732,2021-08-12,Midwest,South Dakota,Sioux Falls,Women's Apparel,55.00000000000001,350,192500.00000000003,77000.00000000001,0.4,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,45.0,475,213750.0,74812.5,0.35,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,40.00000000000001,275,110000.00000000001,33000.0,0.3,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,35.0,175,61250.0,18375.0,0.3,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,35.0,150,52500.0,15750.0,0.3,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Men's Apparel,45.0,150,67500.0,23625.0,0.35,Online
Foot Locker,1185732,2021-09-13,Midwest,South Dakota,Sioux Falls,Women's Apparel,50.0,225,112500.0,45000.0,0.4,Online
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,54.99999999999999,400,219999.99999999997,76999.99999999999,0.35,Online
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,45.0,250,112500.0,33750.0,0.3,Online
Foot Locker,1185732,2021-10-12,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,45.0,150,67500.0,20250.0,0.3,Online
