Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2021-02-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.000000000000007,250,62500.000000000015,25000.000000000007,0.4,In-store
Foot Locker,1185732,2021-02-18,Midwest,Missouri,St. Louis,Men's Apparel,40.0,325,130000.0,45500.0,0.35,In-store
Foot Locker,1185732,2021-02-18,Midwest,Missouri,St. Louis,Women's Apparel,30.0,400,120000.0,60000.0,0.5,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Men's Street Footwear,35.0,620,217000.0,86800.0,0.4,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Men's Athletic Footwear,35.0,300,105000.0,36750.0,0.35,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.000000000000007,350,87500.00000000003,30625.000000000007,0.35,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Athletic Footwear,30.0,200,60000.0,24000.0,0.4,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Men's Apparel,45.0,250,112500.0,39375.0,0.35,In-store
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Apparel,35.0,350,122500.0,61250.0,0.5,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Street Footwear,35.0,575,201250.0,80500.0,0.4,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30.000000000000004,275,82500.00000000001,28875.000000000004,0.35,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Women's Street Footwear,20.000000000000007,275,55000.00000000002,19250.000000000007,0.35,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,200,50000.0,20000.0,0.4,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Apparel,40.0,225,90000.0,31499.999999999996,0.35,In-store
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Women's Apparel,30.000000000000004,350,105000.00000000001,52500.00000000001,0.5,In-store
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Men's Street Footwear,40.0,620,248000.0,99200.0,0.4,In-store
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Men's Athletic Footwear,35.00000000000001,325,113750.00000000003,39812.50000000001,0.35,In-store
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,30.000000000000004,300,90000.00000000001,31500.000000000004,0.35,In-store
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Athletic Footwear,30.000000000000004,225,67500.00000000001,27000.000000000007,0.4,In-store
