Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,50.0,500,250000.0,137500.0,0.55,Outlet
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,45.0,700,315000.0,63000.0,0.2,Outlet
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35.0,750,262500.0,105000.0,0.4,Outlet
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,1189833,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45.0,675,303750.0,121500.0,0.4,Outlet
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,525,236250.0,82687.5,0.35,Outlet
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,50.0,450,225000.0,123750.00000000001,0.55,Outlet
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,45.0,650,292500.0,58500.0,0.2,Outlet
Kohl's,1189833,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35.0,800,280000.0,112000.0,0.4,Outlet
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,1189833,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45.0,650,292500.0,117000.0,0.4,Outlet
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
Kohl's,1189833,2021-03-23,West,California,Los Angeles,Men's Apparel,50.0,425,212500.0,116875.00000000001,0.55,Outlet
Kohl's,1189833,2021-04-06,West,California,Los Angeles,Women's Apparel,45.0,625,281250.0,56250.0,0.2,Outlet
Kohl's,1189833,2021-04-07,West,California,Los Angeles,Men's Street Footwear,45.0,800,360000.0,144000.0,0.4,Outlet
Kohl's,1189833,2021-04-08,West,California,Los Angeles,Men's Athletic Footwear,50.0,600,300000.0,75000.0,0.25,Outlet
Kohl's,1189833,2021-04-09,West,California,Los Angeles,Women's Street Footwear,50.0,625,312500.0,125000.0,0.4,Outlet
Kohl's,1189833,2021-04-10,West,California,Los Angeles,Women's Athletic Footwear,45.0,525,236250.0,82687.5,0.35,Outlet
Kohl's,1189833,2021-04-11,West,California,Los Angeles,Men's Apparel,50.0,425,212500.0,116875.00000000001,0.55,Outlet
Kohl's,1189833,2021-04-12,West,California,Los Angeles,Women's Apparel,65.0,600,390000.0,78000.0,0.2,Outlet
Kohl's,1189833,2021-04-13,West,California,Los Angeles,Men's Street Footwear,45.0,800,360000.0,144000.0,0.4,Outlet
Kohl's,1189833,2021-04-14,West,California,Los Angeles,Men's Athletic Footwear,50.0,650,325000.0,81250.0,0.25,Outlet
Kohl's,1189833,2021-04-15,West,California,Los Angeles,Women's Street Footwear,50.0,650,325000.0,130000.0,0.4,Outlet
Kohl's,1189833,2021-04-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
Kohl's,1189833,2021-04-17,West,California,Los Angeles,Men's Apparel,50.0,450,225000.0,123750.00000000001,0.55,Outlet
Kohl's,1189833,2021-04-18,West,California,Los Angeles,Women's Apparel,65.0,625,406250.0,81250.0,0.2,Outlet
Kohl's,1189833,2021-04-19,West,California,Los Angeles,Men's Street Footwear,45.0,900,405000.0,162000.0,0.4,Outlet
Kohl's,1189833,2021-04-20,West,California,Los Angeles,Men's Athletic Footwear,50.0,750,375000.0,93750.0,0.25,Outlet
Kohl's,1189833,2021-04-21,West,California,Los Angeles,Women's Street Footwear,50.0,750,375000.0,150000.0,0.4,Outlet
Kohl's,1189833,2021-04-22,West,California,Los Angeles,Women's Athletic Footwear,45.0,625,281250.0,98437.5,0.35,Outlet
Kohl's,1189833,2021-04-23,West,California,Los Angeles,Men's Apparel,50.0,500,250000.0,137500.0,0.55,Outlet
Kohl's,1189833,2021-04-24,West,California,Los Angeles,Women's Apparel,65.0,800,520000.0,104000.0,0.2,Outlet
Kohl's,1189833,2021-04-25,West,California,Los Angeles,Men's Street Footwear,45.0,950,427500.0,171000.0,0.4,Outlet
Kohl's,1189833,2021-04-26,West,California,Los Angeles,Men's Athletic Footwear,50.0,800,400000.0,100000.0,0.25,Outlet
Kohl's,1189833,2021-04-27,West,California,Los Angeles,Women's Street Footwear,50.0,750,375000.0,150000.0,0.4,Outlet
Kohl's,1189833,2021-04-28,West,California,Los Angeles,Women's Athletic Footwear,45.0,650,292500.0,102375.0,0.35,Outlet
Kohl's,1189833,2021-04-29,West,California,Los Angeles,Men's Apparel,50.0,700,350000.0,192500.00000000003,0.55,Outlet
Kohl's,1189833,2021-04-30,West,California,Los Angeles,Women's Apparel,65.0,700,455000.0,91000.0,0.2,Outlet
Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,50.0,900,450000.0,180000.0,0.4,Outlet
Kohl's,1189833,2021-05-02,West,California,Los Angeles,Men's Athletic Footwear,55.00000000000001,850,467500.00000000006,116875.00000000001,0.25,Outlet
Kohl's,1189833,2021-05-03,West,California,Los Angeles,Women's Street Footwear,50.0,725,362500.0,145000.0,0.4,Outlet
Kohl's,1189833,2021-05-04,West,California,Los Angeles,Women's Athletic Footwear,50.0,675,337500.0,118124.99999999999,0.35,Outlet
Kohl's,1189833,2021-05-05,West,California,Los Angeles,Men's Apparel,60.0,675,405000.0,222750.00000000003,0.55,Outlet
Kohl's,1189833,2021-05-06,West,California,Los Angeles,Women's Apparel,65.0,650,422500.0,84500.0,0.2,Outlet
Kohl's,1189833,2021-05-07,West,California,Los Angeles,Men's Street Footwear,50.0,850,425000.0,170000.0,0.4,Outlet
Kohl's,1189833,2021-05-08,West,California,Los Angeles,Men's Athletic Footwear,55.00000000000001,850,467500.00000000006,116875.00000000001,0.25,Outlet
Kohl's,1189833,2021-05-09,West,California,Los Angeles,Women's Street Footwear,50.0,700,350000.0,140000.0,0.4,Outlet
Kohl's,1189833,2021-05-10,West,California,Los Angeles,Women's Athletic Footwear,50.0,650,325000.0,113750.0,0.35,Outlet
Kohl's,1189833,2021-05-11,West,California,Los Angeles,Men's Apparel,60.0,650,390000.0,214500.00000000003,0.55,Outlet
Kohl's,1189833,2021-05-12,West,California,Los Angeles,Women's Apparel,65.0,700,455000.0,91000.0,0.2,Outlet
Kohl's,1189833,2021-05-13,West,California,Los Angeles,Men's Street Footwear,50.0,800,400000.0,160000.0,0.4,Outlet
Kohl's,1189833,2021-05-14,West,California,Los Angeles,Men's Athletic Footwear,55.00000000000001,800,440000.00000000006,110000.00000000001,0.25,Outlet
Kohl's,1189833,2021-05-15,West,California,Los Angeles,Women's Street Footwear,50.0,650,325000.0,130000.0,0.4,Outlet
Kohl's,1189833,2021-05-16,West,California,Los Angeles,Women's Athletic Footwear,50.0,625,312500.0,109375.0,0.35,Outlet
Kohl's,1189833,2021-05-17,West,California,Los Angeles,Men's Apparel,60.0,600,360000.0,198000.00000000003,0.55,Outlet
Kohl's,1189833,2021-05-18,West,California,Los Angeles,Women's Apparel,65.0,650,422500.0,84500.0,0.2,Outlet
Kohl's,1189833,2021-05-19,West,California,Los Angeles,Men's Street Footwear,50.0,825,412500.0,165000.0,0.4,Outlet
Kohl's,1189833,2021-05-20,West,California,Los Angeles,Men's Athletic Footwear,55.00000000000001,825,453750.00000000006,113437.50000000001,0.25,Outlet
Kohl's,1189833,2021-05-21,West,California,Los Angeles,Women's Street Footwear,50.0,675,337500.0,135000.0,0.4,Outlet
Kohl's,1189833,2021-05-22,West,California,Los Angeles,Women's Athletic Footwear,50.0,650,325000.0,113750.0,0.35,Outlet
Kohl's,1189833,2021-05-23,West,California,Los Angeles,Men's Apparel,60.0,600,360000.0,198000.00000000003,0.55,Outlet
Kohl's,1189833,2021-05-24,West,California,Los Angeles,Women's Apparel,65.0,700,455000.0,91000.0,0.2,Outlet
Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,50.0,900,450000.0,180000.0,0.4,Outlet
Kohl's,1189833,2021-05-26,West,California,Los Angeles,Men's Athletic Footwear,55.00000000000001,900,495000.00000000006,123750.00000000001,0.25,Outlet
Kohl's,1189833,2021-05-27,West,California,Los Angeles,Women's Street Footwear,50.0,700,350000.0,140000.0,0.4,Outlet
Kohl's,1189833,2021-05-28,West,California,Los Angeles,Women's Athletic Footwear,50.0,700,350000.0,122499.99999999999,0.35,Outlet
Kohl's,1189833,2021-05-29,West,California,Los Angeles,Men's Apparel,60.0,625,375000.0,206250.00000000003,0.55,Outlet
Kohl's,1189833,2021-05-30,West,California,Los Angeles,Women's Apparel,65.0,725,471250.0,94250.0,0.2,Outlet
Kohl's,1189833,2021-03-11,West,California,Los Angeles,Men's Apparel,49.0,145,7105.0,4689.3,0.66,Online
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,41.0,182,7462.0,2313.22,0.31,Online
Kohl's,1189833,2021-03-13,West,California,Los Angeles,Men's Street Footwear,34.0,225,7650.0,4054.5,0.53,Online
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,43.0,195,8385.0,3354.0,0.4,Online
Kohl's,1189833,2021-03-15,West,California,Los Angeles,Women's Street Footwear,44.0,169,7436.0,3718.0,0.5,Online
Kohl's,1189833,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,41.0,152,6232.0,3053.68,0.49,Online
Kohl's,1189833,2021-03-17,West,California,Los Angeles,Men's Apparel,46.0,113,5198.0,3534.6400000000003,0.68,Online
Kohl's,1189833,2021-03-18,West,California,Los Angeles,Women's Apparel,41.0,176,7216.0,2164.8,0.30000000000000004,Online
Kohl's,1189833,2021-03-19,West,California,Los Angeles,Men's Street Footwear,32.0,216,6912.0,3456.0,0.5,Online
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,41.0,195,7995.0,2798.25,0.35,Online
Kohl's,1189833,2021-03-21,West,California,Los Angeles,Women's Street Footwear,42.0,169,7098.0,3903.9,0.55,Online
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,41.0,154,6314.0,2841.2999999999997,0.44999999999999996,Online
Kohl's,1189833,2021-03-23,West,California,Los Angeles,Men's Apparel,46.0,106,4876.0,3315.6800000000003,0.68,Online
