Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Kohl's,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Apparel,70.0,300,210000.0,84000.0,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Street Footwear,65.0,450,292500.0,102375.0,0.35,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Athletic Footwear,55.00000000000001,325,178750.00000000003,62562.50000000001,0.35,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Street Footwear,55.00000000000001,320,176000.00000000003,70400.00000000001,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,55.00000000000001,300,165000.00000000003,66000.00000000001,0.4,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Apparel,65.0,275,178750.0,53625.0,0.3,In-store
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Apparel,70.0,375,262500.0,105000.0,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Street Footwear,65.0,600,390000.0,136500.0,0.35,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,55.00000000000001,400,220000.00000000003,77000.0,0.35,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Street Footwear,55.00000000000001,375,206250.00000000003,82500.00000000001,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,55.00000000000001,325,178750.00000000003,71500.00000000001,0.4,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Apparel,65.0,325,211250.0,63375.0,0.3,In-store
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,70.0,425,297500.0,119000.0,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,35.0,475,166250.0,58187.49999999999,0.35,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35.0,275,96250.0,33687.5,0.35,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Street Footwear,25.000000000000007,275,68750.00000000001,27500.000000000007,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Athletic Footwear,30.0,125,37500.0,15000.0,0.4,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,45.0,175,78750.0,23625.0,0.3,In-store
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Apparel,35.0,275,96250.0,38500.0,0.4,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,35.0,525,183750.0,64312.49999999999,0.35,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Athletic Footwear,35.0,175,61250.0,21437.5,0.35,In-store
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Women's Street Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
Kohl's,1185732,2021-10-15,Northeast,Delaware,Wilmington,Women's Apparel,63.0,78,4914.0,2702.7000000000003,0.55,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Street Footwear,60.0,135,8100.0,3807.0,0.47,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Athletic Footwear,53.0,85,4505.0,2072.2999999999997,0.45999999999999996,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Street Footwear,52.0,86,4472.0,2280.7200000000003,0.51,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Athletic Footwear,51.0,84,4284.0,2270.52,0.53,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Men's Apparel,60.0,72,4320.0,1728.0,0.4,Online
Kohl's,1185732,2021-11-14,Northeast,Delaware,Wilmington,Women's Apparel,64.0,98,6272.0,3449.6000000000004,0.55,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Street Footwear,62.0,168,10416.0,4895.5199999999995,0.47,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Athletic Footwear,50.0,100,5000.0,2400.0,0.48,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Street Footwear,50.0,109,5450.0,2943.0,0.54,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Athletic Footwear,53.0,98,5194.0,2804.76,0.54,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Men's Apparel,61.0,91,5551.0,2220.4,0.4,Online
Kohl's,1185732,2021-12-13,Northeast,Delaware,Wilmington,Women's Apparel,65.0,123,7995.0,3997.5,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Street Footwear,32.0,138,4416.0,2208.0,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Athletic Footwear,33.0,77,2541.0,1194.27,0.47,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Street Footwear,24.0,72,1728.0,881.28,0.51,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Athletic Footwear,27.0,38,1026.0,513.0,0.5,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Men's Apparel,41.0,47,1927.0,770.8000000000001,0.4,Online
Kohl's,1185732,2021-01-10,Northeast,Delaware,Wilmington,Women's Apparel,33.0,69,2277.0,1252.3500000000001,0.55,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Street Footwear,34.0,147,4998.0,2399.04,0.48,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Men's Athletic Footwear,32.0,53,1696.0,848.0,0.5,Online
Kohl's,1185732,2021-02-08,Northeast,Delaware,Wilmington,Women's Street Footwear,24.0,63,1512.0,771.12,0.51,Online
