Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,40.0,250,100000.0,40000.0,0.4,Online
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Men's Apparel,45.000000000000014,175,78750.00000000003,27562.500000000007,0.35,Online
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Apparel,40.0,375,150000.0,37500.0,0.25,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Street Footwear,40.0,525,210000.0,84000.0,0.4,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50.0,375,187500.0,75000.0,0.4,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Street Footwear,50.0,375,187500.0,65625.0,0.35,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,250,125000.0,50000.0,0.4,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,150,82500.00000000001,28875.000000000004,0.35,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Apparel,50.0,350,175000.0,43750.0,0.25,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Street Footwear,50.0,525,262500.0,105000.0,0.4,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.00000000000001,325,178750.00000000003,71500.00000000001,0.4,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,375,206250.00000000003,72187.5,0.35,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,275,137500.0,55000.0,0.4,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,175,96250.00000000001,33687.5,0.35,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Women's Apparel,70.0,350,245000.0,61250.0,0.25,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Street Footwear,50.0,550,275000.0,110000.0,0.4,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.00000000000001,400,220000.00000000003,88000.00000000001,0.4,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,425,233750.00000000003,81812.5,0.35,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,325,162500.0,65000.0,0.4,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,225,123750.00000000001,43312.5,0.35,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Women's Apparel,70.0,400,280000.0,70000.0,0.25,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Street Footwear,50.0,675,337500.0,135000.0,0.4,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.00000000000001,525,288750.00000000006,115500.00000000003,0.4,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,525,288750.00000000006,101062.50000000001,0.35,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,400,200000.0,80000.0,0.4,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,275,151250.00000000003,52937.50000000001,0.35,Online
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Women's Apparel,70.0,575,402500.0,100625.0,0.25,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Men's Street Footwear,50.0,725,362500.0,145000.0,0.4,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,55.00000000000001,575,316250.00000000006,126500.00000000003,0.4,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,525,288750.00000000006,101062.50000000001,0.35,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,50.0,425,212500.0,85000.0,0.4,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,475,261250.00000000003,91437.5,0.35,Online
Sports Direct,1128299,2021-07-12,Southeast,Georgia,Atlanta,Women's Apparel,70.0,475,332500.0,83125.0,0.25,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Men's Street Footwear,55.00000000000001,675,371250.00000000006,148500.00000000003,0.4,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,60.00000000000001,625,375000.00000000006,150000.00000000003,0.4,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,500,275000.00000000006,96250.00000000001,0.35,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,55.00000000000001,450,247500.00000000003,99000.00000000001,0.4,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Men's Apparel,65.0,450,292500.0,102375.0,0.35,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Apparel,70.0,425,297500.0,74375.0,0.25,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Men's Street Footwear,45.000000000000014,600,270000.00000000006,108000.00000000003,0.4,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50.000000000000014,600,300000.00000000006,120000.00000000003,0.4,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Women's Street Footwear,45.000000000000014,450,202500.00000000006,70875.00000000001,0.35,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Women's Athletic Footwear,45.000000000000014,400,180000.00000000006,72000.00000000003,0.4,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,400,220000.00000000003,77000.0,0.35,Online
Sports Direct,1128299,2021-09-14,Southeast,Georgia,Atlanta,Women's Apparel,60.00000000000001,450,270000.00000000006,67500.00000000001,0.25,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Men's Street Footwear,45.000000000000014,525,236250.0000000001,94500.00000000004,0.4,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,50.000000000000014,525,262500.00000000006,105000.00000000003,0.4,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Women's Street Footwear,45.000000000000014,350,157500.00000000006,55125.000000000015,0.35,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,45.000000000000014,325,146250.00000000006,58500.00000000003,0.4,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Men's Apparel,55.00000000000001,300,165000.00000000003,57750.00000000001,0.35,Online
Sports Direct,1128299,2021-10-13,Southeast,Georgia,Atlanta,Women's Apparel,70.0,350,245000.0,61250.0,0.25,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Men's Street Footwear,55.00000000000001,525,288750.00000000006,115500.00000000003,0.4,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,60.00000000000001,575,345000.00000000006,138000.00000000003,0.4,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Women's Street Footwear,55.00000000000001,425,233750.00000000003,81812.5,0.35,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,55.00000000000001,400,220000.00000000003,88000.00000000001,0.4,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Men's Apparel,65.0,350,227500.0,79625.0,0.35,Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Women's Apparel,70.0,475,332500.0,83125.0,0.25,Online
Sports Direct,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Street Footwear,55.00000000000001,675,371250.00000000006,148500.00000000003,0.4,Online
Sports Direct,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,60.00000000000001,675,405000.00000000006,162000.00000000003,0.4,Online
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Athletic Footwear,36.0,63,2268.0,1179.3600000000001,0.52,Online
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Men's Apparel,41.0,51,2091.0,1003.68,0.48,Online
Sports Direct,1128299,2021-02-13,Southeast,Georgia,Atlanta,Women's Apparel,37.0,98,3626.0,1305.36,0.36,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Street Footwear,37.0,137,5069.0,2534.5,0.5,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Athletic Footwear,46.0,101,4646.0,2462.38,0.53,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Street Footwear,49.0,113,5537.0,2713.13,0.49,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Athletic Footwear,47.0,73,3431.0,1784.1200000000001,0.52,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Men's Apparel,51.0,39,1989.0,934.8299999999999,0.47,Online
Sports Direct,1128299,2021-03-12,Southeast,Georgia,Atlanta,Women's Apparel,48.0,95,4560.0,1641.6,0.36,Online
Sports Direct,1128299,2021-04-13,Southeast,Georgia,Atlanta,Men's Street Footwear,45.0,142,6390.0,3258.9,0.51,Online
