Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Sports Direct,1185732,2021-02-04,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,30.0,525,157500.0,63000.0,0.4,Online
Sports Direct,1185732,2021-02-04,Southeast,North Carolina,Charlotte,Men's Apparel,45.0,600,270000.0,94500.0,0.35,Online
Sports Direct,1185732,2021-02-04,Southeast,North Carolina,Charlotte,Women's Apparel,30.0,700,210000.0,105000.0,0.5,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,30.0,920,276000.0,110400.0,0.4,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,30.0,600,180000.0,62999.99999999999,0.35,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,20.0,625,125000.0,50000.0,0.4,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,24.999999999999993,475,118749.99999999997,47499.99999999999,0.4,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Men's Apparel,40.00000000000001,525,210000.00000000003,73500.0,0.35,Online
Sports Direct,1185732,2021-03-02,Southeast,North Carolina,Charlotte,Women's Apparel,30.0,625,187500.0,93750.0,0.5,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,30.0,875,262500.0,105000.0,0.4,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,30.0,575,172500.0,60374.99999999999,0.35,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Women's Street Footwear,20.0,575,115000.0,46000.0,0.4,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,24.999999999999993,500,124999.99999999997,49999.99999999999,0.4,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Men's Apparel,45.0,525,236250.0,82687.5,0.35,Online
Sports Direct,1185732,2021-04-03,Southeast,North Carolina,Charlotte,Women's Apparel,35.0,675,236250.0,118125.0,0.5,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Street Footwear,45.0,945,425250.0,170100.0,0.4,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,45.0,650,292500.0,102375.0,0.35,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Women's Street Footwear,40.0,625,250000.0,100000.0,0.4,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,40.0,575,230000.0,92000.0,0.4,Online
Sports Direct,1185732,2021-05-02,Southeast,North Carolina,Charlotte,Men's Apparel,49.99999999999999,600,299999.99999999994,104999.99999999997,0.35,Online
