Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,236250.0,70875.0,0.3,Outlet
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,320000.0,160000.0,0.5,Outlet
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,277500.0,97125.0,0.35,Outlet
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000.0,129499.99999999999,0.35,Outlet
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,271250.0,94937.5,0.35,Outlet
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,270000.0,81000.0,0.3,Outlet
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,380000.0,190000.0,0.5,Outlet
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,320000.0,112000.0,0.35,Outlet
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000.0,135000.0,0.45,Outlet
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000,500000.0,250000.0,0.5,Outlet
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,315000.0,94500.0,0.3,Outlet
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,487500.0,243750.0,0.5,Outlet
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,370000.0,129499.99999999999,0.35,Outlet
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250.0,145687.5,0.35,Outlet
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000.0,117000.0,0.45,Outlet
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,450000.0,225000.0,0.5,Outlet
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,140625.0,0.45,Outlet
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,281250.0,84375.0,0.3,Outlet
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,375000.0,131250.0,0.35,Outlet
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000.0,135000.0,0.45,Outlet
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,258750.0,77625.0,0.3,Outlet
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.00000000000001,750,412500.00000000006,206250.00000000003,0.5,Outlet
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,412500.0,144375.0,0.35,Outlet
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500.0,151875.0,0.45,Outlet
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000.0,157500.0,0.45,Outlet
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.00000000000001,900,495000.00000000006,247500.00000000003,0.5,Outlet
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,42.0,147,6174.0,2593.08,0.42,Online
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,39.0,232,9048.0,5519.28,0.61,Online
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,29.0,268,7772.0,3730.56,0.48,Online
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,38.0,259,9842.0,4527.32,0.45999999999999996,Online
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,33.0,225,7425.0,3564.0,0.48,Online
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,39.0,189,7371.0,4275.18,0.5800000000000001,Online
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,42.0,168,7056.0,2822.4,0.4,Online
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,37.0,276,10212.0,6433.56,0.63,Online
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,39.0,238,9282.0,4362.54,0.47,Online
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,42.0,238,9996.0,4498.2,0.44999999999999996,Online
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,37.0,232,8584.0,4206.16,0.49,Online
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,38.0,203,7714.0,4396.9800000000005,0.5700000000000001,Online
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,41.0,169,6929.0,3118.0499999999997,0.44999999999999996,Online
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,47.0,250,11750.0,7520.0,0.64,Online
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,37.0,238,8806.0,3962.7,0.44999999999999996,Online
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,42.0,238,9996.0,4598.16,0.45999999999999996,Online
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319,11803.0,5311.349999999999,0.44999999999999996,Online
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,36.0,210,7560.0,4536.0,0.6,Online
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,41.0,196,8036.0,3214.4,0.4,Online
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,47.0,293,13771.0,8675.73,0.63,Online
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,37.0,268,9916.0,4858.84,0.49,Online
