Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,30.000000000000004,125,37500.00000000001,13125.000000000002,0.35,In-store
West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Men's Apparel,44.99999999999999,200,89999.99999999999,26999.999999999996,0.3,In-store
West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Women's Apparel,19.999999999999996,300,59999.99999999999,24000.0,0.4,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Men's Street Footwear,25.000000000000007,520,130000.00000000004,52000.00000000002,0.4,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,25.000000000000007,225,56250.000000000015,22500.000000000007,0.4,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Women's Street Footwear,15.000000000000002,275,41250.00000000001,14437.500000000002,0.35,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,19.999999999999996,125,24999.999999999996,8749.999999999998,0.35,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Men's Apparel,35.0,175,61250.0,18375.0,0.3,In-store
West Gear,1185732,2021-03-09,Midwest,Indiana,Indianapolis,Women's Apparel,25.000000000000007,275,68750.00000000001,27500.000000000007,0.4,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Men's Street Footwear,25.000000000000007,500,125000.00000000003,50000.000000000015,0.4,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,25.000000000000007,200,50000.000000000015,20000.000000000007,0.4,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,15.000000000000002,200,30000.000000000004,10500.0,0.35,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,19.999999999999996,125,24999.999999999996,8749.999999999998,0.35,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Men's Apparel,65.0,150,97500.0,29250.0,0.3,In-store
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Women's Apparel,50.0,275,137500.0,55000.0,0.4,In-store
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Men's Street Footwear,60.0,545,327000.0,130800.0,0.4,In-store
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,40.0,250,100000.0,40000.0,0.4,In-store
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Women's Street Footwear,35.0,225,78750.0,27562.5,0.35,In-store
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Women's Athletic Footwear,35.0,175,61250.0,21437.5,0.35,In-store
West Gear,1185732,2021-05-11,Midwest,Indiana,Indianapolis,Men's Apparel,44.99999999999999,200,89999.99999999999,26999.999999999996,0.3,In-store
