Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,2020-01-06,West,Nevada,Las Vegas,Men's Apparel,50.0,250,125000.0,68750.0,0.55,Outlet
West Gear,1128299,2020-01-07,West,Nevada,Las Vegas,Women's Apparel,45.0,475,213750.0,42750.0,0.2,Outlet
West Gear,1128299,2020-01-08,West,Nevada,Las Vegas,Men's Street Footwear,35.0,525,183750.0,73500.0,0.4,Outlet
West Gear,1128299,2020-01-09,West,Nevada,Las Vegas,Men's Athletic Footwear,45.0,425,191250.0,47812.5,0.25,Outlet
West Gear,1128299,2020-01-10,West,Nevada,Las Vegas,Women's Street Footwear,45.0,425,191250.0,76500.0,0.4,Outlet
West Gear,1128299,2020-01-11,West,Nevada,Las Vegas,Women's Athletic Footwear,45.0,275,123750.0,43312.5,0.35,Outlet
West Gear,1128299,2020-01-12,West,Nevada,Las Vegas,Men's Apparel,50.0,200,100000.0,55000.00000000001,0.55,Outlet
West Gear,1128299,2020-01-13,West,Nevada,Las Vegas,Women's Apparel,45.0,400,180000.0,36000.0,0.2,Outlet
West Gear,1128299,2020-01-14,West,Nevada,Las Vegas,Men's Street Footwear,45.0,550,247500.0,99000.0,0.4,Outlet
West Gear,1128299,2020-01-15,West,Nevada,Las Vegas,Men's Athletic Footwear,54.99999999999999,400,219999.99999999997,54999.99999999999,0.25,Outlet
West Gear,1128299,2020-01-16,West,Nevada,Las Vegas,Women's Street Footwear,54.99999999999999,400,219999.99999999997,88000.0,0.4,Outlet
West Gear,1128299,2020-01-17,West,Nevada,Las Vegas,Women's Athletic Footwear,54.99999999999999,300,164999.99999999997,57749.999999999985,0.35,Outlet
West Gear,1128299,2020-01-18,West,Nevada,Las Vegas,Men's Apparel,60.0,175,105000.0,57750.00000000001,0.55,Outlet
West Gear,1128299,2020-01-19,West,Nevada,Las Vegas,Women's Apparel,54.99999999999999,375,206249.99999999997,41250.0,0.2,Outlet
West Gear,1128299,2020-01-20,West,Nevada,Las Vegas,Men's Street Footwear,60.0,550,330000.0,132000.0,0.4,Outlet
West Gear,1128299,2020-01-21,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,350,227500.0,56875.0,0.25,Outlet
West Gear,1128299,2020-01-22,West,Nevada,Las Vegas,Women's Street Footwear,65.0,400,260000.0,104000.0,0.4,Outlet
West Gear,1128299,2020-01-23,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,300,180000.0,62999.99999999999,0.35,Outlet
West Gear,1128299,2020-01-24,West,Nevada,Las Vegas,Men's Apparel,65.0,200,130000.0,71500.0,0.55,Outlet
West Gear,1128299,2020-01-25,West,Nevada,Las Vegas,Women's Apparel,80.0,350,280000.0,56000.0,0.2,Outlet
West Gear,1128299,2020-01-26,West,Nevada,Las Vegas,Men's Street Footwear,60.0,550,330000.0,148500.0,0.45,Outlet
West Gear,1128299,2020-01-27,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,400,260000.0,78000.0,0.3,Outlet
West Gear,1128299,2020-01-28,West,Nevada,Las Vegas,Women's Street Footwear,65.0,400,260000.0,117000.0,0.45,Outlet
West Gear,1128299,2020-01-29,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,300,180000.0,72000.0,0.39999999999999997,Outlet
West Gear,1128299,2020-01-30,West,Nevada,Las Vegas,Men's Apparel,65.0,200,130000.0,78000.00000000001,0.6000000000000001,Outlet
West Gear,1128299,2020-01-31,West,Nevada,Las Vegas,Women's Apparel,80.0,450,360000.0,90000.0,0.25,Outlet
West Gear,1128299,2020-02-01,West,Nevada,Las Vegas,Men's Street Footwear,60.0,700,420000.0,189000.0,0.45,Outlet
West Gear,1128299,2020-02-02,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,550,357500.0,107250.0,0.3,Outlet
West Gear,1128299,2020-02-03,West,Nevada,Las Vegas,Women's Street Footwear,65.0,550,357500.0,160875.0,0.45,Outlet
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,425,255000.0,101999.99999999999,0.39999999999999997,Outlet
West Gear,1128299,2020-02-05,West,Nevada,Las Vegas,Men's Apparel,65.0,300,195000.0,117000.00000000001,0.6000000000000001,Outlet
West Gear,1128299,2020-02-06,West,Nevada,Las Vegas,Women's Apparel,80.0,600,480000.0,120000.0,0.25,Outlet
West Gear,1128299,2020-02-07,West,Nevada,Las Vegas,Men's Street Footwear,60.0,750,450000.0,180000.0,0.4,Outlet
West Gear,1128299,2020-02-08,West,Nevada,Las Vegas,Men's Athletic Footwear,65.0,600,390000.0,97500.0,0.25,Outlet
West Gear,1128299,2020-02-09,West,Nevada,Las Vegas,Women's Street Footwear,65.0,550,357500.0,143000.0,0.4,In-store
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Women's Athletic Footwear,60.0,450,270000.0,94500.0,0.35,In-store
West Gear,1128299,2020-02-11,West,Nevada,Las Vegas,Men's Apparel,65.0,500,325000.0,178750.0,0.55,In-store
West Gear,1128299,2020-02-12,West,Nevada,Las Vegas,Women's Apparel,80.0,500,400000.0,80000.0,0.2,In-store
West Gear,1128299,2020-02-13,West,Nevada,Las Vegas,Men's Street Footwear,65.0,700,455000.0,182000.0,0.4,In-store
West Gear,1128299,2020-02-14,West,Nevada,Las Vegas,Men's Athletic Footwear,70.0,650,455000.0,113750.0,0.25,In-store
West Gear,1128299,2020-02-15,West,Nevada,Las Vegas,Women's Street Footwear,65.0,525,341250.0,136500.0,0.4,In-store
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Women's Athletic Footwear,65.0,475,308750.0,108062.5,0.35,In-store
West Gear,1128299,2020-02-17,West,Nevada,Las Vegas,Men's Apparel,75.0,475,356250.0,195937.50000000003,0.55,In-store
West Gear,1128299,2020-02-18,West,Nevada,Las Vegas,Women's Apparel,80.0,400,320000.0,64000.0,0.2,In-store
West Gear,1128299,2020-02-19,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,600,360000.00000000006,126000.00000000003,0.35000000000000003,In-store
West Gear,1128299,2020-02-20,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00000000000001,600,390000.00000000006,78000.00000000001,0.2,In-store
West Gear,1128299,2020-02-21,West,Nevada,Las Vegas,Women's Street Footwear,60.00000000000001,450,270000.00000000006,94500.00000000003,0.35000000000000003,In-store
West Gear,1128299,2020-02-22,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00000000000001,400,240000.00000000003,72000.0,0.3,In-store
West Gear,1128299,2020-02-23,West,Nevada,Las Vegas,Men's Apparel,70.0,400,280000.0,140000.00000000003,0.5000000000000001,In-store
West Gear,1128299,2020-02-24,West,Nevada,Las Vegas,Women's Apparel,75.00000000000001,450,337500.00000000006,50625.000000000015,0.15000000000000002,In-store
West Gear,1128299,2020-02-25,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,550,330000.00000000006,115500.00000000003,0.35000000000000003,In-store
West Gear,1128299,2020-02-26,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00000000000001,550,357500.00000000006,71500.00000000001,0.2,In-store
West Gear,1128299,2020-02-27,West,Nevada,Las Vegas,Women's Street Footwear,60.00000000000001,375,225000.00000000003,78750.00000000001,0.35000000000000003,In-store
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00000000000001,350,210000.00000000003,63000.00000000001,0.3,In-store
West Gear,1128299,2020-03-01,West,Nevada,Las Vegas,Men's Apparel,70.0,325,227500.0,113750.00000000003,0.5000000000000001,In-store
West Gear,1128299,2020-03-02,West,Nevada,Las Vegas,Women's Apparel,75.00000000000001,375,281250.00000000006,42187.500000000015,0.15000000000000002,In-store
West Gear,1128299,2020-03-03,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,575,345000.00000000006,120750.00000000003,0.35000000000000003,In-store
West Gear,1128299,2020-03-04,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00000000000001,575,373750.00000000006,74750.00000000001,0.2,In-store
West Gear,1128299,2020-03-05,West,Nevada,Las Vegas,Women's Street Footwear,60.00000000000001,425,255000.00000000003,89250.00000000001,0.35000000000000003,In-store
West Gear,1128299,2020-03-06,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00000000000001,400,240000.00000000003,72000.0,0.3,In-store
West Gear,1128299,2020-03-07,West,Nevada,Las Vegas,Men's Apparel,70.0,350,245000.0,122500.00000000003,0.5000000000000001,In-store
West Gear,1128299,2020-03-08,West,Nevada,Las Vegas,Women's Apparel,75.00000000000001,475,356250.00000000006,53437.500000000015,0.15000000000000002,In-store
West Gear,1128299,2020-03-09,West,Nevada,Las Vegas,Men's Street Footwear,60.00000000000001,675,405000.00000000006,141750.00000000003,0.35000000000000003,In-store
West Gear,1128299,2020-03-10,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00000000000001,675,438750.0000000001,87750.00000000003,0.2,In-store
