Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Apparel,30.000000000000004,400,120000.00000000001,48000.00000000001,0.4,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,25.00000000000001,550,137500.00000000006,55000.00000000003,0.4,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.000000000000014,375,56250.00000000005,19687.50000000002,0.35,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.000000000000018,320,80000.00000000006,32000.000000000025,0.4,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Athletic Footwear,55.000000000000014,375,206250.00000000006,82500.00000000003,0.4,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Apparel,75.00000000000001,350,262500.00000000006,91875.00000000001,0.35,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Apparel,75.0,450,337500.0,135000.0,0.4,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Men's Street Footwear,70.0,700,490000.0,196000.0,0.4,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Men's Athletic Footwear,60.00000000000001,500,300000.00000000006,105000.00000000001,0.35,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Street Footwear,60.00000000000001,450,270000.00000000006,108000.00000000003,0.4,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Athletic Footwear,60.00000000000001,400,240000.00000000003,96000.00000000001,0.4,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Men's Apparel,70.0,400,280000.0,98000.0,0.35,Online
West Gear,1197831,2021-12-19,South,Arkansas,Little Rock,Women's Apparel,75.0,500,375000.0,150000.0,0.4,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Street Footwear,25.000000000000007,575,143750.00000000003,57500.000000000015,0.4,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Athletic Footwear,25.000000000000007,375,93750.00000000003,32812.50000000001,0.35,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.000000000000007,375,56250.00000000003,22500.000000000015,0.4,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Athletic Footwear,20.0,225,45000.0,18000.0,0.4,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Men's Apparel,35.0,275,96250.0,33687.5,0.35,Online
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Apparel,25.000000000000007,375,93750.00000000003,37500.000000000015,0.4,Online
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Street Footwear,25.000000000000007,625,156250.00000000006,62500.00000000003,0.4,Online
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Athletic Footwear,25.000000000000007,275,68750.00000000001,24062.500000000004,0.35,Online
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.000000000000007,325,48750.00000000002,19500.00000000001,0.4,Online
West Gear,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Apparel,29.0,104,3016.0,1598.48,0.53,Online
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Street Footwear,24.0,143,3432.0,1716.0,0.5,Online
