Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Street Footwear,35.0,375,131250.0,32812.5,0.25,Outlet
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Athletic Footwear,45.0,375,168750.0,33750.0,0.2,Outlet
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Street Footwear,45.0,375,168750.0,42187.5,0.25,Outlet
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Women's Athletic Footwear,45.0,225,101250.0,25312.5,0.25,Outlet
West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Athletic Footwear,40.0,200,80000.0,28000.0,0.35,In-store
West Gear,1128299,2021-02-24,West,Oregon,Portland,Men's Apparel,45.00000000000001,125,56250.00000000001,22500.000000000004,0.4,In-store
West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Apparel,40.0,325,130000.0,39000.0,0.3,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Men's Street Footwear,40.0,475,190000.0,66500.0,0.35,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Men's Athletic Footwear,50.0,325,162500.0,56875.0,0.35,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Women's Street Footwear,54.99999999999999,350,192499.99999999997,67374.99999999999,0.35,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Women's Athletic Footwear,50.0,250,125000.0,43750.0,0.35,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Men's Apparel,55.00000000000001,100,55000.00000000001,22000.000000000004,0.4,In-store
West Gear,1128299,2021-03-23,West,Oregon,Portland,Women's Apparel,50.0,300,150000.0,45000.0,0.3,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Men's Street Footwear,55.00000000000001,475,261250.00000000003,91437.5,0.35,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Men's Athletic Footwear,60.00000000000001,275,165000.00000000003,57750.00000000001,0.35,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Women's Street Footwear,60.00000000000001,325,195000.00000000003,68250.0,0.35,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Women's Athletic Footwear,45.00000000000001,225,101250.00000000001,35437.5,0.35,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Men's Apparel,50.000000000000014,125,62500.000000000015,25000.000000000007,0.4,In-store
West Gear,1128299,2021-04-24,West,Oregon,Portland,Women's Apparel,65.00000000000001,300,195000.00000000003,58500.00000000001,0.3,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Men's Street Footwear,50.0,500,250000.0,87500.0,0.35,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Men's Athletic Footwear,55.00000000000001,350,192500.00000000003,67375.0,0.35,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Women's Street Footwear,55.00000000000001,350,192500.00000000003,67375.0,0.35,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Women's Athletic Footwear,50.0,275,137500.0,48125.0,0.35,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Men's Apparel,44.99999999999999,175,78749.99999999999,31499.999999999996,0.4,In-store
West Gear,1128299,2021-05-25,West,Oregon,Portland,Women's Apparel,60.0,525,315000.0,94500.0,0.3,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Men's Street Footwear,54.99999999999999,775,426249.99999999994,149187.49999999997,0.35,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Men's Athletic Footwear,64.99999999999999,650,422499.9999999999,147874.99999999994,0.35,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Women's Street Footwear,80.0,650,520000.0,182000.0,0.35,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Women's Athletic Footwear,80.0,525,420000.0,147000.0,0.35,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Men's Apparel,90.0,400,360000.0,144000.0,0.4,In-store
West Gear,1128299,2021-06-24,West,Oregon,Portland,Women's Apparel,105.0,700,735000.0,220500.0,0.3,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Street Footwear,85.0,850,722500.0,252874.99999999997,0.35,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Athletic Footwear,90.0,700,630000.0,220500.0,0.35,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Street Footwear,90.0,650,585000.0,204750.0,0.35,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Athletic Footwear,85.0,550,467500.0,163625.0,0.35,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Apparel,90.0,600,540000.0,216000.0,0.4,In-store
West Gear,1128299,2021-07-23,West,Oregon,Portland,Women's Apparel,105.0,600,630000.0,189000.0,0.3,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Men's Street Footwear,90.0,800,720000.0,251999.99999999997,0.35,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Men's Athletic Footwear,80.0,775,620000.0,217000.0,0.35,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Women's Street Footwear,70.0,650,455000.0,159250.0,0.35,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Women's Athletic Footwear,70.0,425,297500.0,104125.0,0.35,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Men's Apparel,70.0,425,297500.0,119000.0,0.4,In-store
West Gear,1128299,2021-08-24,West,Oregon,Portland,Women's Apparel,75.0,250,187500.0,56250.0,0.3,In-store
