Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.00000000000001,575,316250.00000000006,158125.00000000003,0.5,Outlet
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,387500.0,58125.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.00000000001,0.35000000000000003,Outlet
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500.0,72500.0,0.2,Outlet
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,362500.0,126875.00000000001,0.35000000000000003,Outlet
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500.0,86250.0,0.3,Outlet
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,350000.0,52500.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,425000.0,148750.0,0.35000000000000003,Outlet
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000.0,84000.0,0.2,Outlet
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,420000.0,147000.0,0.35000000000000003,Outlet
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000.0,108000.0,0.3,Outlet
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,325000.0,162500.0,0.5,Outlet
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,420000.0,63000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,525000.0,183750.00000000003,0.35000000000000003,Outlet
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750.0,87750.0,0.2,Outlet
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,471250.0,164937.50000000003,0.35000000000000003,Outlet
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000.0,112500.0,0.3,Outlet
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,341250.0,170625.0,0.5,Outlet
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,560000.0,84000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,540000.0,216000.0,0.4,Outlet
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500.0,121875.0,0.25,Outlet
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,487500.0,195000.0,0.4,Outlet
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000.0,136500.0,0.35,Outlet
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,357500.0,196625.00000000003,0.55,Outlet
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,116000.0,0.2,Outlet
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,585000.0,234000.0,0.4,Outlet
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250.0,134062.5,0.25,Outlet
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,214500.0,0.4,Outlet
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,373750.0,205562.50000000003,0.55,Outlet
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,700000.0,140000.0,0.2,Outlet
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,1025,615000.0,215250.00000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750.0,113750.0,0.2,Outlet
West Gear,1128299,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,187687.50000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000.0,130500.0,0.3,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,503750.0,251875.0,0.5,Outlet
West Gear,1128299,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775,620000.0,93000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975,633750.0,221812.50000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925,647500.0,129500.0,0.2,Outlet
West Gear,1128299,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800,520000.0,182000.00000000003,0.35000000000000003,Outlet
West Gear,1128299,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750,487500.0,146250.0,0.3,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750,562500.0,281250.0,0.5,Outlet
West Gear,1128299,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,87000.00000000001,0.15000000000000002,Outlet
West Gear,1128299,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,508750.00000000006,152625.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,555000.0000000001,83250.00000000001,0.15,Outlet
West Gear,1128299,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
West Gear,1128299,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,398750.00000000006,99687.5,0.24999999999999997,Outlet
West Gear,1128299,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725,471250.0,212062.50000000003,0.45000000000000007,Outlet
West Gear,1128299,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,1128299,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,385000.00000000006,115500.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,371250.00000000006,92812.5,0.24999999999999997,Outlet
West Gear,1128299,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45000000000000007,Outlet
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700,490000.0,49000.0,0.1,Outlet
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,398750.00000000006,119625.00000000003,0.30000000000000004,Outlet
West Gear,1128299,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,385000.00000000006,96250.0,0.24999999999999997,Outlet
West Gear,1128299,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45000000000000007,Outlet
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.00000000000001,975,536250.0000000001,160875.00000000006,0.30000000000000004,Outlet
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,975,585000.0000000001,87750.00000000001,0.15,Outlet
West Gear,1128299,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
West Gear,1128299,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,775,426250.00000000006,106562.5,0.24999999999999997,Outlet
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,700,455000.0,204750.00000000003,0.45000000000000007,Outlet
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,800,560000.0,56000.0,0.1,Outlet
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,51.0,161,8211.0,5172.93,0.63,Online
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,49.0,233,11417.0,2854.25,0.25,Online
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,37.0,223,8251.0,4125.5,0.5,Online
West Gear,1128299,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,49.0,210,10290.0,3189.9,0.31,Online
West Gear,1128299,2020-11-09,West,California,San Francisco,Women's Street Footwear,49.0,196,9604.0,4705.96,0.49000000000000005,Online
West Gear,1128299,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,47.0,150,7050.0,2961.0,0.42,Online
West Gear,1128299,2020-11-11,West,California,San Francisco,Men's Apparel,50.0,140,7000.0,4270.0,0.61,Online
West Gear,1128299,2020-11-12,West,California,San Francisco,Women's Apparel,46.0,182,8372.0,2344.1600000000003,0.28,Online
West Gear,1128299,2020-11-13,West,California,San Francisco,Men's Street Footwear,49.0,230,11270.0,5071.500000000001,0.45000000000000007,Online
West Gear,1128299,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,58.0,175,10150.0,3045.0000000000005,0.30000000000000004,Online
West Gear,1128299,2020-11-15,West,California,San Francisco,Women's Street Footwear,55.0,203,11165.0,5247.55,0.47000000000000003,Online
West Gear,1128299,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,58.0,174,10092.0,4339.5599999999995,0.43,Online
West Gear,1128299,2020-12-23,West,California,San Francisco,Men's Apparel,62.0,145,8990.0,5663.7,0.63,Online
West Gear,1128299,2020-12-24,West,California,San Francisco,Women's Apparel,54.0,210,11340.0,3061.8,0.27,Online
West Gear,1128299,2020-12-25,West,California,San Francisco,Men's Street Footwear,56.0,228,12768.0,6000.96,0.47000000000000003,Online
West Gear,1128299,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,62.0,203,12586.0,3775.8000000000006,0.30000000000000004,Online
West Gear,1128299,2020-12-27,West,California,San Francisco,Women's Street Footwear,64.0,210,13440.0,6720.0,0.5,Online
West Gear,1128299,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,54.0,188,10152.0,4162.32,0.41,Online
West Gear,1128299,2020-12-29,West,California,San Francisco,Men's Apparel,59.0,152,8968.0,5829.2,0.65,Online
West Gear,1128299,2020-12-30,West,California,San Francisco,Women's Apparel,72.0,203,14616.0,3946.32,0.27,Online
West Gear,1128299,2020-12-31,West,California,San Francisco,Men's Street Footwear,56.0,252,14112.0,7056.0,0.5,Online
West Gear,1128299,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,64.0,225,14400.0,5184.0,0.36,Online
West Gear,1128299,2021-01-02,West,California,San Francisco,Women's Street Footwear,60.0,218,13080.0,6670.8,0.51,Online
West Gear,1128299,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,56.0,182,10192.0,4586.4,0.44999999999999996,Online
West Gear,1128299,2021-01-04,West,California,San Francisco,Men's Apparel,60.0,154,9240.0,6098.400000000001,0.66,Online
West Gear,1128299,2021-01-05,West,California,San Francisco,Women's Apparel,72.0,189,13608.0,4490.64,0.33,Online
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,56.0,273,15288.0,7644.0,0.5,Online
West Gear,1128299,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,63.0,248,15624.0,5780.88,0.37,Online
West Gear,1128299,2021-01-08,West,California,San Francisco,Women's Street Footwear,64.0,206,13184.0,7251.200000000001,0.55,Online
West Gear,1128299,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,59.0,210,12390.0,6071.099999999999,0.49,Online
West Gear,1128299,2021-01-10,West,California,San Francisco,Men's Apparel,62.0,155,9610.0,6342.6,0.66,Online
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,72.0,219,15768.0,5518.799999999999,0.35,Online
