y_real,y_pred_local
52,20.0
275,350.0
206,370.0
155,160.0
182,73.0
182,136.0
375,600.0
65,73.0
175,550.0
725,104.0
250,22.0
50,34.0
650,128.0
231,198.33333333333334
475,150.0
138,50.0
105,75.0
925,400.0
311,136.0
350,192.5
125,87.5
252,425.0
120,75.0
25,266.6666666666667
98,90.0
300,343.75
100,88.0
500,350.0
250,150.0
300,200.0
203,143.0
575,87.5
80,61.0
275,287.5
275,350.0
75,87.0
70,70.0
221,137.5
202,52.0
325,279.1666666666667
317,136.0
1045,158.0
112,200.0
495,136.0
168,150.0
123,75.0
119,200.0
61,75.0
525,475.0
116,200.0
700,52.0
200,200.0
35,48.0
168,212.5
83,181.0
238,160.0
116,120.0
49,225.0
500,100.0
450,22.0
203,200.0
119,87.5
225,212.5
155,125.0
475,400.0
1220,450.0
203,675.0
44,73.0
350,400.0
245,104.0
325,400.0
575,650.0
550,250.0
175,87.5
99,275.0
54,62.5
56,120.0
163,81.0
425,400.0
75,46.5
225,300.0
325,84.0
525,87.5
375,231.0
204,181.25
350,525.0
29,26.0
56,56.0
525,475.0
70,87.0
675,73.0
650,137.5
123,325.0
263,150.0
279,120.0
135,84.0
236,475.0
250,475.0
56,158.0
625,137.5
145,150.0
500,400.0
98,73.0
263,182.0
150,158.0
500,120.0
150,375.0
600,230.0
84,113.0
100,287.5
350,87.0
275,46.5
300,325.0
111,181.25
325,400.0
200,287.5
600,158.0
51,58.0
52,43.0
91,125.0
216,88.0
189,88.0
224,119.0
165,325.0
240,475.0
124,75.0
231,275.0
545,650.0
325,475.0
120,102.0
115,38.0
225,225.0
725,134.5
90,87.0
162,675.0
163,136.0
350,475.0
450,475.0
225,387.5
200,300.0
131,72.0
125,393.75
111,73.0
825,87.0
87,73.0
203,160.0
105,189.0
169,150.0
181,102.0
91,65.0
38,200.0
850,200.0
60,59.0
26,73.0
575,87.0
289,490.0
400,90.0
104,500.0
72,78.0
123,112.0
925,275.0
70,125.0
108,39.0
203,675.0
218,98.0
105,88.0
750,200.0
900,200.0
75,81.0
202,137.5
120,26.0
61,325.0
47,75.0
175,87.5
248,200.0
87,48.0
90,73.0
85,275.0
119,450.0
106,268.75
150,375.0
225,137.5
56,100.0
68,287.5
149,52.0
173,150.0
600,475.0
125,400.0
900,230.0
100,287.5
750,250.0
125,225.0
116,168.75
550,650.0
225,287.5
150,62.5
150,73.0
375,87.5
250,275.0
113,47.0
475,191.33333333333334
275,212.5
208,158.0
198,262.5
133,75.0
145,62.5
725,87.0
203,96.0
112,102.0
59,52.0
239,212.5
525,740.0
94,193.75
50,79.16666666666667
575,522.5
182,182.0
425,50.0
825,200.0
325,138.0
75,266.6666666666667
105,87.0
300,475.0
475,287.5
125,87.5
775,475.0
600,250.0
109,65.0
232,370.0
500,287.5
225,175.0
525,570.0
450,475.0
140,51.0
825,475.0
140,200.0
143,84.0
250,22.0
65,65.0
500,250.0
400,475.0
196,225.0
96,181.25
145,90.0
138,64.0
925,600.0
128,325.0
175,175.0
525,87.0
124,275.0
111,102.0
248,675.0
38,38.0
39,189.0
36,48.0
105,142.0
150,287.5
300,120.0
221,137.5
126,87.0
38,61.0
250,475.0
900,150.0
98,98.0
39,62.5
675,325.0
111,149.0
450,73.0
225,70.0
420,370.0
325,250.0
87,113.0
500,136.0
109,75.0
150,230.0
207,104.0
69,58.0
149,275.0
117,38.0
400,125.0
30,56.0
149,675.0
150,600.0
150,325.0
250,287.5
204,162.5
75,52.0
175,150.0
193,181.25
147,158.0
225,300.0
175,150.0
91,98.0
100,162.5
125,65.0
150,250.0
425,325.0
725,102.0
375,475.0
500,700.0
325,250.0
210,56.0
315,137.5
120,138.0
240,112.5
81,98.0
136,200.0
650,102.0
225,337.5
75,150.0
58,50.0
333,150.0
475,400.0
120,70.0
30,200.0
68,54.0
160,62.5
155,150.0
550,287.5
58,51.0
575,65.0
113,22.0
114,168.75
725,400.0
30,44.0
625,400.0
116,102.0
200,350.0
775,300.0
203,90.0
119,181.25
475,200.0
250,150.0
221,136.0
91,38.0
700,262.5
123,87.5
88,325.0
126,78.0
95,52.0
550,450.0
91,50.0
425,150.0
575,84.0
104,61.0
63,33.0
475,300.0
36,44.0
700,65.0
450,400.0
700,375.0
79,337.5
675,250.0
147,162.5
144,96.0
116,375.0
550,250.0
350,537.5
300,200.0
223,675.0
93,193.75
320,300.0
173,200.0
670,570.0
475,212.5
192,725.0
275,175.0
189,675.0
175,350.0
163,104.0
158,181.25
51,27.0
216,94.0
425,400.0
275,475.0
130,73.0
1125,650.0
174,65.0
210,181.25
325,250.0
325,300.0
44,59.0
825,200.0
120,450.0
63,102.0
575,120.0
132,370.0
375,200.0
154,46.0
350,300.0
90,73.0
278,87.0
179,181.25
175,50.0
300,250.0
96,200.0
45,43.0
68,275.0
210,225.0
77,48.0
400,58.0
62,75.0
170,181.25
450,350.0
120,200.0
84,102.0
425,295.0
133,51.0
250,250.0
725,250.0
375,175.0
208,104.0
300,475.0
450,362.5
219,88.0
147,200.0
213,137.5
95,136.0
53,43.0
174,375.0
400,87.0
175,43.0
319,136.0
135,325.0
243,73.0
138,150.0
132,87.5
109,162.5
184,725.0
400,300.0
98,20.0
125,287.5
96,137.5
150,350.0
248,200.0
98,136.0
135,102.0
400,275.0
36,54.0
196,79.16666666666667
78,72.0
145,87.0
175,350.0
200,400.0
90,100.0
650,120.0
163,61.0
450,450.0
825,88.0
78,125.0
400,400.0
400,370.0
182,350.0
150,475.0
475,450.0
252,56.0
240,137.5
125,84.0
450,47.0
600,650.0
124,675.0
79,325.0
85,75.0
1020,160.0
176,136.0
75,75.0
300,250.0
107,181.25
200,475.0
200,87.5
300,475.0
350,133.0
91,61.0
925,193.75
350,475.0
98,75.0
68,125.0
700,192.5
150,150.0
625,600.0
850,375.0
91,73.0
650,300.0
550,350.0
375,275.0
66,212.5
65,50.0
287,370.0
94,168.75
142,26.0
54,56.0
41,98.0
120,75.0
111,525.0
275,475.0
140,425.0
264,350.0
425,150.0
525,475.0
78,200.0
112,63.0
42,48.0
228,75.0
137,112.5
102,275.0
91,102.0
425,308.3333333333333
69,102.0
325,150.0
87,64.0
400,450.0
38,58.0
58,56.0
169,119.0
293,182.0
700,181.25
203,325.0
271,275.0
85,46.0
158,173.0
325,533.3333333333334
91,150.0
112,88.0
188,91.0
233,75.0
58,90.0
289,79.16666666666667
250,475.0
119,56.0
117,73.0
65,56.0
50,266.6666666666667
425,193.75
450,350.0
525,450.0
254,56.0
125,48.0
300,50.0
87,51.0
525,160.0
150,27.0
87,73.0
116,52.0
53,59.0
119,65.0
225,300.0
247,675.0
125,200.0
275,63.0
84,90.0
175,162.5
350,400.0
725,600.0
68,53.0
210,133.33333333333334
117,88.0
800,84.0
68,137.5
106,113.0
475,416.6666666666667
900,102.0
48,87.5
725,300.0
120,136.0
161,425.0
425,150.0
161,63.0
68,61.0
250,46.0
91,75.0
375,400.0
225,318.75
98,89.0
725,570.0
58,58.0
116,725.0
208,337.5
26,47.0
100,362.5
124,22.0
41,22.0
625,212.5
70,75.0
900,102.0
575,337.5
65,46.0
625,375.0
525,425.0
83,22.0
170,150.0
113,200.0
248,475.0
95,105.0
375,200.0
825,150.0
218,136.0
36,48.0
525,650.0
95,119.0
825,136.0
182,675.0
123,150.0
675,230.0
145,100.0
68,200.0
88,65.0
145,48.0
200,362.5
120,158.0
158,136.0
175,87.5
300,275.0
250,25.0
225,268.75
600,200.0
1075,200.0
56,150.0
200,475.0
275,187.5
122,200.0
200,200.0
56,48.0
128,52.0
950,200.0
450,48.0
122,136.0
325,412.5
700,475.0
31,56.0
54,56.0
425,175.0
90,102.0
126,62.0
700,128.0
173,120.0
275,50.0
36,26.0
147,73.0
75,75.0
142,225.0
217,200.0
775,400.0
800,570.0
145,64.0
175,175.0
550,200.0
189,112.0
91,75.0
575,690.0
300,87.0
520,650.0
500,73.0
116,87.0
215,136.0
196,136.0
44,102.0
175,475.0
135,150.0
150,350.0
275,341.6666666666667
65,287.5
300,250.0
350,68.0
38,102.0
47,56.0
150,65.0
525,104.0
98,75.0
143,150.0
1000,200.0
112,87.0
105,65.0
575,87.0
315,137.5
91,158.0
175,200.0
231,600.0
196,136.0
400,350.0
125,150.0
125,275.0
81,70.0
90,75.0
83,73.0
200,48.0
94,119.0
575,218.75
62,120.0
201,675.0
625,98.0
50,56.0
725,725.0
231,200.0
96,87.0
175,317.5
140,189.0
375,200.0
158,50.0
475,141.0
223,162.5
425,275.0
145,168.75
53,46.0
100,275.0
138,168.0
175,87.5
300,412.5
119,87.0
675,84.0
325,150.0
152,120.0
204,168.75
175,287.5
125,158.0
500,700.0
248,87.0
375,350.0
84,84.0
142,65.0
45,250.0
119,70.0
119,50.0
180,375.0
116,158.0
550,87.0
95,150.0
150,266.6666666666667
74,102.0
225,88.0
125,375.0
298,450.0
91,98.0
288,193.75
575,150.0
225,175.0
113,27.0
775,136.0
600,137.5
175,287.5
281,168.75
194,425.0
138,75.0
53,50.0
208,88.0
625,275.0
650,287.5
225,343.75
203,88.0
925,192.5
147,87.0
450,125.0
101,125.0
158,120.0
224,158.0
54,59.0
375,600.0
350,115.0
525,600.0
49,84.0
186,450.0
60,51.0
123,69.0
45,59.0
105,73.0
60,33.0
173,370.0
160,102.0
111,150.0
152,65.0
156,158.0
375,218.75
75,168.75
74,84.0
200,75.0
58,98.0
1025,112.0
128,143.0
91,84.0
825,650.0
233,102.0
111,125.0
150,181.25
182,150.0
400,300.0
224,125.0
125,120.0
198,262.5
725,100.0
675,73.0
117,155.0
140,104.0
232,98.0
233,104.0
300,475.0
700,275.0
113,200.0
194,112.0
44,325.0
800,275.0
109,49.0
182,59.0
225,225.0
83,20.0
160,134.0
270,26.0
263,136.0
375,98.0
350,287.5
250,393.75
165,158.0
147,70.0
61,84.0
65,54.0
200,22.0
149,104.0
143,59.0
575,537.5
68,325.0
400,400.0
104,104.0
775,475.0
131,160.0
128,230.0
99,162.5
53,43.0
150,79.16666666666667
175,287.5
140,125.0
98,94.0
225,50.0
152,87.0
56,43.0
176,87.0
101,102.0
525,350.0
500,450.0
51,70.0
189,600.0
40,75.0
325,400.0
74,62.5
145,189.0
250,46.5
350,300.0
50,26.0
169,98.0
475,84.0
75,46.5
900,650.0
875,200.0
94,87.0
63,55.0
400,200.0
181,375.0
248,200.0
261,375.0
149,27.0
575,475.0
215,200.0
182,134.0
850,275.0
225,250.0
49,65.0
176,75.0
111,64.0
69,63.0
520,149.0
149,375.0
450,268.75
525,158.0
38,33.0
650,141.0
99,275.0
525,350.0
101,33.0
149,141.0
175,317.5
400,537.5
206,350.0
51,225.0
950,490.0
125,27.0
155,56.0
775,52.0
169,75.0
875,375.0
200,27.0
62,112.5
275,44.0
275,341.6666666666667
149,136.0
500,475.0
86,113.0
178,325.0
300,175.0
116,120.0
350,250.0
173,73.0
210,112.5
33,35.5
350,52.0
293,90.0
575,450.0
58,56.0
325,412.5
275,87.5
192,79.16666666666667
175,87.5
105,62.5
131,87.0
600,250.0
1075,650.0
94,112.0
