y_real,y_pred_local
52,75.0
275,225.0
206,168.0
155,167.0
182,181.5
182,700.0
375,400.0
65,189.0
175,378.5
725,597.5
250,287.5
50,50.0
650,570.0
231,113.0
475,128.0
138,85.0
105,78.0
925,475.0
311,169.0
350,925.0
125,98.0
252,450.0
120,80.0
25,333.3333333333333
98,137.0
300,875.0
100,105.0
500,275.0
250,154.5
300,128.0
203,167.0
575,98.0
80,73.66666666666667
275,124.0
275,275.0
75,285.0
70,119.0
221,135.0
202,87.0
325,312.5
317,94.0
1045,378.5
112,800.0
495,675.0
168,88.0
123,85.0
119,113.0
61,61.0
525,117.0
116,300.0
700,350.0
200,128.0
35,167.0
168,163.0
83,91.0
238,218.0
116,116.0
49,167.0
500,74.0
450,287.5
203,145.0
119,91.0
225,163.0
155,131.0
475,300.0
1220,306.0
203,179.0
44,189.0
350,299.5
245,210.0
325,124.0
575,675.0
550,174.0
175,98.0
99,149.0
54,105.0
56,116.0
163,169.0
425,124.0
75,53.0
225,100.0
325,333.3333333333333
525,85.0
375,325.0
204,116.0
350,625.0
29,39.0
56,100.0
525,350.0
70,210.0
675,325.0
650,85.0
123,123.0
263,525.0
279,116.0
135,88.0
236,179.0
250,450.0
56,85.0
625,135.0
145,137.0
500,475.0
98,95.0
263,75.0
150,181.0
500,116.0
150,168.0
600,248.0
84,75.0
100,150.0
350,375.0
275,225.0
300,147.33333333333334
111,106.0
325,525.0
200,250.0
600,378.5
51,75.0
52,167.0
91,80.0
216,216.0
189,105.0
224,194.0
165,93.0
240,192.0
124,74.0
231,149.0
545,350.0
325,350.0
120,450.0
115,53.0
225,375.0
725,725.0
90,94.0
162,124.0
163,189.0
350,450.0
450,350.0
225,275.0
200,375.0
131,59.0
125,350.0
111,95.0
825,375.0
87,325.0
203,203.0
105,131.0
169,152.0
181,425.0
91,196.0
38,113.0
850,224.0
60,91.0
26,292.0
575,101.0
289,238.0
400,275.0
104,525.0
72,88.0
123,123.0
925,149.0
70,55.666666666666664
108,300.0
203,178.5
218,625.0
105,105.0
750,224.0
900,128.0
75,169.0
202,140.0
120,87.0
61,93.0
47,55.666666666666664
175,221.0
248,248.0
87,87.0
90,120.0
85,149.0
119,189.0
106,147.0
150,850.0
225,135.0
56,450.0
68,85.0
149,105.0
173,123.0
600,124.0
125,325.0
900,248.0
100,300.0
750,450.0
125,250.0
116,107.0
550,675.0
225,375.0
150,175.0
150,263.0
375,221.0
250,140.5
113,85.5
475,245.0
275,163.0
208,208.0
198,128.0
133,169.0
145,305.0
725,101.0
203,150.0
112,208.0
59,88.0
239,163.0
525,441.5
94,149.0
50,102.0
575,124.0
182,75.0
425,312.5
825,224.0
325,475.0
75,333.3333333333333
105,188.0
300,350.0
475,117.0
125,98.0
775,800.0
600,375.0
109,229.5
232,230.0
500,175.0
225,325.0
525,350.0
450,450.0
140,87.0
825,200.0
140,128.0
143,91.0
250,250.0
65,285.0
500,525.0
400,350.0
196,87.0
96,116.0
145,275.0
138,74.0
925,300.0
128,128.0
175,325.0
525,375.0
124,149.0
111,225.0
248,179.0
38,53.0
39,97.5
36,131.0
105,176.0
150,150.0
300,132.0
221,135.0
126,126.0
38,88.0
250,350.0
900,128.0
98,113.0
39,80.0
675,93.0
111,500.0
450,625.0
225,124.0
420,230.0
325,300.0
87,75.0
500,675.0
109,68.0
150,248.0
207,210.0
69,88.0
149,149.0
117,87.0
400,300.0
30,98.0
149,124.0
150,300.0
150,93.0
250,300.0
204,113.0
75,105.0
175,425.0
193,119.0
147,378.5
225,400.0
175,128.0
91,94.0
100,113.0
125,225.0
150,95.0
425,600.0
725,450.0
375,117.0
500,300.0
325,300.0
210,100.0
315,135.0
120,189.0
240,116.0
81,75.0
136,173.0
650,425.0
225,128.0
75,74.0
58,85.0
333,90.0
475,475.0
120,119.0
30,120.0
68,235.5
160,112.0
155,155.0
550,150.0
58,87.0
575,525.0
113,52.5
114,149.0
725,275.0
30,91.0
625,850.0
116,75.0
200,275.0
775,325.0
203,203.0
119,119.0
475,128.0
250,875.0
221,189.0
91,53.0
700,128.0
123,98.0
88,128.0
126,88.0
95,98.0
550,306.0
91,87.0
425,124.0
575,225.0
104,119.0
63,88.0
475,325.0
36,92.5
700,350.0
450,299.5
700,700.0
79,128.0
675,375.0
147,173.5
144,537.5
116,400.0
550,300.0
350,362.5
300,256.0
223,178.5
93,149.0
320,375.0
173,875.0
670,350.0
475,140.0
192,135.0
275,362.5
189,94.0
175,225.0
163,210.0
158,88.0
51,74.0
216,88.0
425,325.0
275,350.0
130,147.0
1125,124.0
174,88.0
210,116.0
325,525.0
325,375.0
44,88.0
825,128.0
120,238.0
63,215.0
575,116.0
132,230.0
375,128.0
154,53.0
350,375.0
90,300.0
278,285.0
179,119.0
175,275.0
300,325.0
96,113.0
45,167.0
68,149.0
210,300.0
77,167.0
400,175.0
62,179.0
170,119.0
450,375.0
120,128.0
84,450.0
425,350.0
133,81.5
250,292.0
725,128.0
375,475.0
208,156.0
300,450.0
450,333.3333333333333
219,105.0
147,120.0
213,135.0
95,700.0
53,75.0
174,174.0
400,625.0
175,250.0
319,189.0
135,79.0
243,285.0
138,525.0
132,85.0
109,131.0
184,178.5
400,375.0
98,75.0
125,150.0
96,113.0
150,225.0
248,128.0
98,142.0
135,75.0
400,225.0
36,126.0
196,111.0
78,87.0
145,210.0
175,275.0
200,325.0
90,74.0
650,116.0
163,124.0
450,200.0
825,475.0
78,55.666666666666664
400,300.0
400,230.0
182,113.0
150,337.5
475,255.0
252,137.0
240,131.0
125,88.0
450,312.5
600,537.5
124,124.0
79,128.0
85,94.0
1020,350.0
176,675.0
75,74.0
300,325.0
107,119.0
200,337.5
200,85.0
300,117.0
350,475.0
91,236.0
925,149.0
350,450.0
98,169.0
68,74.0
700,128.0
150,550.0
625,625.0
850,850.0
91,263.0
650,189.0
550,225.0
375,300.0
66,163.0
65,80.0
287,230.0
94,111.0
142,87.0
54,98.0
41,113.0
120,142.0
111,131.0
275,117.0
140,94.0
264,128.0
425,114.0
525,221.0
78,131.0
112,85.5
42,87.0
228,80.0
137,181.5
102,149.0
91,215.0
425,333.3333333333333
69,119.0
325,128.0
87,74.0
400,306.0
38,75.0
58,100.0
169,100.0
293,113.0
700,107.0
203,75.0
271,149.0
85,53.0
158,113.0
325,475.0
91,155.0
112,248.0
188,248.0
233,85.0
58,275.0
289,111.0
250,250.0
119,100.0
117,300.0
65,137.0
50,333.3333333333333
425,152.0
450,375.0
525,306.0
254,169.0
125,300.0
300,337.5
87,87.0
525,350.0
150,140.5
87,255.0
116,98.0
53,91.0
119,88.0
225,225.0
247,182.0
125,128.0
275,312.5
84,271.5
175,113.0
350,525.0
725,300.0
68,75.0
210,90.0
117,128.0
800,117.0
68,135.0
106,147.0
475,238.0
900,425.0
48,98.0
725,325.0
120,700.0
161,119.0
425,198.0
161,85.5
68,88.0
250,225.0
91,54.0
375,525.0
225,175.0
98,238.0
725,350.0
58,75.0
116,128.0
208,256.0
26,85.5
100,333.3333333333333
124,48.5
41,52.5
625,163.0
70,54.5
900,425.0
575,128.0
65,53.0
625,625.0
525,450.0
83,48.5
170,114.0
113,114.0
248,196.0
95,95.0
375,128.0
825,114.0
218,189.0
36,167.0
525,378.5
95,142.0
825,675.0
182,182.0
123,137.0
675,248.0
145,74.0
68,116.0
88,63.0
145,167.0
200,333.3333333333333
120,117.0
158,94.0
175,98.0
300,275.0
250,225.0
225,210.0
600,248.0
1075,128.0
56,75.0
200,337.5
