y_real,y_pred_local
52,91.0
275,300.0
206,179.0
155,167.0
182,80.0
182,178.0
375,65.0
65,80.0
175,152.0
725,167.0
250,91.0
50,70.0
650,167.0
231,112.0
475,105.0
138,80.0
105,83.0
925,325.0
311,113.0
350,91.0
125,90.0
252,105.0
120,70.0
25,300.0
98,98.0
300,98.0
100,65.0
500,175.0
250,104.0
300,112.0
203,167.0
575,78.0
80,72.0
275,275.0
275,175.0
75,83.0
70,70.0
221,72.0
202,98.0
325,300.0
317,178.0
1045,152.0
112,104.0
495,113.0
168,167.0
123,70.0
119,112.0
61,70.0
525,275.0
116,75.0
700,94.0
200,91.0
35,68.0
168,104.0
83,70.0
238,167.0
116,78.0
49,68.0
500,85.0
450,91.0
203,104.0
119,98.0
225,104.0
155,70.0
475,325.0
1220,113.0
203,184.0
44,80.0
350,325.0
245,167.0
325,325.0
575,475.0
550,287.5
175,90.0
99,102.0
54,70.0
56,78.0
163,70.0
425,325.0
75,70.0
225,74.0
325,98.0
525,90.0
375,70.0
204,104.0
350,325.0
29,68.0
56,74.0
525,337.5
70,94.0
675,80.0
650,90.0
123,72.0
263,65.0
279,70.0
135,98.0
236,184.0
250,275.0
56,80.0
625,107.0
145,167.0
500,325.0
98,75.0
263,178.0
150,178.0
500,78.0
150,65.0
600,102.0
84,75.0
100,225.0
350,83.0
275,70.0
300,300.0
111,104.0
325,325.0
200,225.0
600,152.0
51,70.0
52,68.0
91,70.0
216,105.0
189,65.0
224,90.0
165,72.0
240,184.0
124,53.0
231,102.0
545,550.0
325,337.5
120,90.0
115,70.0
225,322.5
725,152.0
90,83.0
162,184.0
163,113.0
350,275.0
450,337.5
225,275.0
200,322.5
131,98.0
125,275.0
111,75.0
825,98.0
87,80.0
203,167.0
105,101.0
169,167.0
181,105.0
91,72.0
38,112.0
850,102.0
60,91.0
26,80.0
575,98.0
289,120.0
400,72.0
104,112.0
72,72.0
123,65.0
925,102.0
70,53.0
108,72.0
203,184.0
218,98.0
105,65.0
750,102.0
900,91.0
75,70.0
202,113.0
120,68.0
61,72.0
47,53.0
175,90.0
248,102.0
87,68.0
90,75.0
85,102.0
119,98.0
106,61.0
150,65.0
225,107.0
56,68.0
68,80.0
149,98.0
173,65.0
600,337.5
125,175.0
900,102.0
100,225.0
750,90.0
125,68.0
116,44.0
550,475.0
225,44.0
150,225.0
150,75.0
375,90.0
250,300.0
113,53.0
475,91.0
275,104.0
208,152.0
198,123.0
133,98.0
145,70.0
725,98.0
203,90.0
112,90.0
59,98.0
239,104.0
525,550.0
94,102.0
50,53.0
575,475.0
182,178.0
425,44.0
825,102.0
325,80.0
75,300.0
105,83.0
300,337.5
475,275.0
125,90.0
775,337.5
600,83.0
109,94.0
232,179.0
500,225.0
225,287.5
525,550.0
450,275.0
140,44.0
825,120.0
140,98.0
143,98.0
250,53.0
65,98.0
500,287.5
400,337.5
196,68.0
96,104.0
145,72.0
138,91.0
925,65.0
128,72.0
175,287.5
525,83.0
124,102.0
111,105.0
248,184.0
38,70.0
39,101.0
36,68.0
105,65.0
150,225.0
300,78.0
221,107.0
126,98.0
38,74.0
250,300.0
900,105.0
98,98.0
39,70.0
675,72.0
111,152.0
450,75.0
225,70.0
420,179.0
325,287.5
87,75.0
500,113.0
109,70.0
150,102.0
207,167.0
69,98.0
149,102.0
117,68.0
400,68.0
30,84.0
149,184.0
150,65.0
150,72.0
250,225.0
204,112.0
75,98.0
175,105.0
193,104.0
147,152.0
225,322.5
175,105.0
91,98.0
100,112.0
125,44.0
150,98.0
425,94.0
725,90.0
375,275.0
500,65.0
325,287.5
210,74.0
315,107.0
120,80.0
240,78.0
81,98.0
136,107.0
650,105.0
225,98.0
75,85.0
58,80.0
333,104.0
475,325.0
120,70.0
30,112.0
68,75.0
160,70.0
155,44.0
550,225.0
58,44.0
575,72.0
113,53.0
114,53.0
725,300.0
30,53.0
625,325.0
116,105.0
200,175.0
775,70.0
203,123.0
119,104.0
475,98.0
250,105.0
221,113.0
91,70.0
700,98.0
123,78.0
88,72.0
126,72.0
95,98.0
550,113.0
91,94.0
425,44.0
575,98.0
104,74.0
63,74.0
475,70.0
36,53.0
700,98.0
450,325.0
700,98.0
79,123.0
675,98.0
147,112.0
144,90.0
116,65.0
550,287.5
350,325.0
300,102.0
223,184.0
93,102.0
320,322.5
173,98.0
670,550.0
475,104.0
192,72.0
275,325.0
189,178.0
175,300.0
163,167.0
158,104.0
51,91.0
216,167.0
425,175.0
275,337.5
130,80.0
1125,475.0
174,74.0
210,104.0
325,287.5
325,322.5
44,74.0
825,98.0
120,120.0
63,61.0
575,78.0
132,179.0
375,91.0
154,70.0
350,322.5
90,75.0
278,83.0
179,104.0
175,175.0
300,287.5
96,112.0
45,68.0
68,102.0
210,68.0
77,68.0
400,70.0
62,70.0
170,104.0
450,83.0
120,98.0
84,90.0
425,98.0
133,44.0
250,287.5
725,105.0
375,325.0
208,167.0
300,275.0
450,300.0
219,65.0
147,104.0
213,72.0
95,178.0
53,70.0
174,65.0
400,98.0
175,68.0
319,113.0
135,72.0
243,80.0
138,65.0
132,90.0
109,112.0
184,184.0
400,322.5
98,91.0
125,225.0
96,112.0
150,300.0
248,65.0
98,113.0
135,90.0
400,98.0
36,80.0
196,53.0
78,98.0
145,94.0
175,175.0
200,175.0
90,85.0
650,78.0
163,98.0
450,120.0
825,98.0
78,53.0
400,325.0
400,179.0
182,83.0
150,275.0
475,150.0
252,74.0
240,112.0
125,98.0
450,53.0
600,550.0
124,184.0
79,72.0
85,83.0
1020,167.0
176,113.0
75,53.0
300,287.5
107,104.0
200,275.0
200,90.0
300,275.0
350,83.0
91,123.0
925,102.0
350,275.0
98,98.0
68,53.0
700,91.0
150,105.0
625,150.0
850,150.0
91,80.0
650,322.5
550,300.0
375,75.0
66,123.0
65,91.0
287,179.0
94,53.0
142,68.0
54,84.0
41,98.0
120,98.0
111,101.0
275,275.0
140,105.0
264,98.0
425,105.0
525,179.0
78,91.0
112,98.0
42,68.0
228,70.0
137,80.0
102,102.0
91,61.0
425,98.0
69,105.0
325,105.0
87,91.0
400,113.0
38,70.0
58,83.0
169,61.0
293,178.0
700,104.0
203,72.0
271,102.0
85,70.0
158,178.0
325,275.0
91,83.0
112,98.0
188,98.0
233,80.0
58,72.0
289,53.0
250,300.0
119,74.0
117,75.0
65,74.0
50,300.0
425,78.0
450,83.0
525,150.0
254,70.0
125,68.0
300,94.0
87,44.0
525,167.0
150,91.0
87,75.0
116,98.0
53,91.0
119,53.0
225,225.0
247,184.0
125,91.0
275,98.0
84,123.0
175,112.0
350,325.0
725,65.0
68,70.0
210,44.0
117,65.0
800,61.0
68,107.0
106,152.0
475,120.0
900,105.0
48,78.0
725,70.0
120,178.0
161,105.0
425,105.0
161,98.0
68,74.0
250,70.0
91,70.0
375,325.0
225,225.0
98,94.0
