y_real,y_pred_local
52,375.0
275,126.0
206,425.0
155,425.0
182,225.0
182,175.0
375,175.0
65,175.0
175,175.0
725,425.0
250,375.0
50,375.0
650,425.0
231,375.0
475,175.0
138,225.0
105,375.0
925,46.0
311,175.0
350,175.0
125,175.0
252,175.0
120,375.0
25,126.0
98,175.0
300,175.0
100,175.0
500,123.0
250,425.0
300,175.0
203,425.0
575,175.0
80,375.0
275,46.0
275,123.0
75,375.0
70,175.0
221,375.0
202,425.0
325,126.0
317,175.0
1045,175.0
112,425.0
495,175.0
168,425.0
123,375.0
119,375.0
61,375.0
525,109.0
116,175.0
700,375.0
200,175.0
35,375.0
168,425.0
83,175.0
238,425.0
116,375.0
49,375.0
500,375.0
450,375.0
203,425.0
119,425.0
225,425.0
155,375.0
475,46.0
1220,175.0
203,425.0
44,175.0
350,46.0
245,425.0
325,46.0
575,46.0
550,46.0
175,175.0
99,375.0
54,375.0
56,375.0
163,175.0
425,46.0
75,375.0
225,375.0
325,425.0
525,175.0
375,175.0
204,425.0
350,46.0
29,175.0
56,375.0
525,46.0
70,375.0
675,225.0
650,175.0
123,375.0
263,175.0
279,375.0
135,425.0
236,425.0
250,46.0
56,225.0
625,375.0
145,425.0
500,46.0
98,175.0
263,175.0
150,175.0
500,375.0
150,175.0
600,175.0
84,175.0
100,46.0
350,175.0
275,375.0
300,126.0
111,425.0
325,46.0
200,109.0
600,175.0
51,375.0
52,375.0
91,375.0
216,175.0
189,175.0
224,175.0
165,375.0
240,425.0
124,225.0
231,375.0
545,46.0
325,46.0
120,175.0
115,375.0
225,94.0
725,175.0
90,375.0
162,425.0
163,175.0
350,46.0
450,46.0
225,98.0
200,46.0
131,425.0
125,98.0
111,175.0
825,175.0
87,225.0
203,425.0
105,375.0
169,425.0
181,175.0
91,375.0
38,375.0
850,175.0
60,375.0
26,175.0
575,175.0
289,425.0
400,375.0
104,175.0
72,375.0
123,175.0
925,375.0
70,225.0
108,375.0
203,425.0
218,175.0
105,175.0
750,175.0
900,175.0
75,175.0
202,375.0
120,175.0
61,375.0
47,225.0
175,175.0
248,175.0
87,175.0
90,175.0
85,375.0
119,175.0
106,375.0
150,175.0
225,375.0
56,175.0
68,225.0
149,425.0
173,175.0
600,46.0
125,113.0
900,175.0
100,46.0
750,175.0
125,375.0
116,225.0
550,46.0
225,225.0
150,46.0
150,175.0
375,175.0
250,113.0
113,225.0
475,375.0
275,425.0
208,175.0
198,175.0
133,175.0
145,375.0
725,175.0
203,175.0
112,175.0
59,425.0
239,425.0
525,46.0
94,375.0
50,225.0
575,46.0
182,175.0
