y_real,y_pred_local
52,69.0
275,175.0
206,144.0
155,137.0
182,41.0
182,122.0
375,63.0
65,32.5
175,131.0
725,144.0
250,69.0
50,50.5
650,137.0
231,47.0
475,32.5
138,44.0
105,65.0
925,300.0
311,88.0
350,48.0
125,51.0
252,65.0
120,50.5
25,300.0
98,48.0
300,84.0
100,63.0
500,150.0
250,81.0
300,63.0
203,137.0
575,50.5
80,61.0
275,125.0
275,150.0
75,65.0
70,25.5
221,61.0
202,81.0
325,300.0
317,122.0
1045,131.0
112,81.0
495,88.0
168,137.0
123,50.5
119,47.0
61,50.5
525,275.0
116,32.5
700,61.0
200,48.0
35,50.5
168,81.0
83,25.5
238,137.0
116,50.5
49,50.5
500,69.0
450,69.0
203,81.0
119,81.0
225,84.0
155,50.5
475,233.33333333333334
1220,88.0
203,137.0
44,32.5
350,300.0
245,144.0
325,300.0
575,400.0
550,133.33333333333334
175,51.0
99,51.0
54,50.5
56,50.5
163,25.5
425,300.0
75,50.5
225,47.0
325,81.0
525,25.5
375,25.5
204,81.0
350,300.0
29,25.5
56,47.0
525,212.5
70,51.0
675,41.0
650,25.5
123,61.0
263,63.0
279,50.5
135,81.0
236,137.0
250,212.5
56,44.0
625,61.0
145,137.0
500,300.0
98,32.5
263,131.0
150,131.0
500,50.5
150,63.0
600,65.0
84,32.5
100,125.0
350,48.0
275,50.5
300,300.0
111,81.0
325,233.33333333333334
200,187.5
600,131.0
51,50.5
52,50.5
91,50.5
216,65.0
189,63.0
224,65.0
165,61.0
240,137.0
124,69.0
231,65.0
545,525.0
325,212.5
120,65.0
115,50.5
225,175.0
725,131.0
90,65.0
162,137.0
163,88.0
350,212.5
450,212.5
225,275.0
200,197.5
131,81.0
125,275.0
111,32.5
825,48.0
87,41.0
203,137.0
105,47.0
169,137.0
181,65.0
91,61.0
38,47.0
850,65.0
60,91.0
26,32.5
575,48.0
289,131.0
400,61.0
104,63.0
72,61.0
123,63.0
925,51.0
70,69.0
108,61.0
203,137.0
218,84.0
105,63.0
750,65.0
900,48.0
75,25.5
202,61.0
120,51.0
61,61.0
47,69.0
175,25.5
248,65.0
87,50.5
90,32.5
85,65.0
119,84.0
106,51.0
150,63.0
225,61.0
56,50.5
68,44.0
149,81.0
173,63.0
600,212.5
125,175.0
900,65.0
100,187.5
750,65.0
125,50.5
116,44.0
550,400.0
225,44.0
150,187.5
150,32.5
375,25.5
250,300.0
113,69.0
475,69.0
275,84.0
208,131.0
198,84.0
133,63.0
145,50.5
725,48.0
203,65.0
112,65.0
59,81.0
239,81.0
525,525.0
94,81.0
50,91.0
575,400.0
182,131.0
425,44.0
825,65.0
325,32.5
75,300.0
105,48.0
300,212.5
475,125.0
125,51.0
775,212.5
600,48.0
109,51.0
232,144.0
500,187.5
225,150.0
525,550.0
450,212.5
140,44.0
825,131.0
140,84.0
143,81.0
250,69.0
65,84.0
500,133.33333333333334
400,212.5
196,51.0
96,81.0
145,61.0
138,69.0
925,63.0
128,61.0
175,150.0
525,48.0
124,51.0
111,65.0
248,137.0
38,50.5
39,91.0
36,50.5
105,63.0
150,125.0
300,50.5
221,61.0
126,48.0
38,47.0
250,325.0
900,32.5
98,84.0
39,50.5
675,61.0
111,131.0
450,32.5
225,25.5
420,144.0
325,133.33333333333334
87,32.5
500,88.0
109,50.5
150,65.0
207,144.0
69,81.0
149,65.0
117,51.0
400,51.0
30,25.5
149,137.0
150,63.0
150,61.0
250,187.5
204,47.0
75,81.0
175,32.5
193,81.0
147,131.0
225,197.5
175,32.5
91,84.0
100,47.0
125,44.0
150,48.0
425,61.0
725,65.0
375,275.0
500,63.0
325,133.33333333333334
210,47.0
315,61.0
120,32.5
240,50.5
81,84.0
136,61.0
650,65.0
225,84.0
75,69.0
58,44.0
333,81.0
475,300.0
120,25.5
30,47.0
68,32.5
160,50.5
155,44.0
550,125.0
58,44.0
575,61.0
113,69.0
114,47.0
725,175.0
30,91.0
625,233.33333333333334
116,65.0
200,150.0
775,25.5
203,84.0
119,81.0
475,52.0
250,32.5
221,88.0
91,50.5
700,84.0
123,50.5
88,61.0
126,61.0
95,81.0
550,88.0
91,81.0
425,44.0
575,81.0
104,47.0
63,47.0
475,25.5
36,69.0
700,84.0
450,300.0
700,48.0
79,84.0
675,48.0
147,47.0
144,65.0
116,63.0
550,133.33333333333334
350,325.0
300,65.0
223,137.0
93,81.0
320,197.5
173,84.0
670,550.0
475,84.0
192,61.0
275,325.0
189,122.0
175,325.0
163,144.0
158,81.0
51,69.0
216,137.0
425,175.0
275,212.5
130,41.0
1125,400.0
174,47.0
210,81.0
325,133.33333333333334
325,197.5
44,47.0
825,84.0
120,131.0
63,65.0
575,50.5
132,144.0
375,48.0
154,50.5
350,197.5
90,32.5
278,65.0
179,81.0
175,150.0
300,133.33333333333334
96,47.0
45,50.5
68,51.0
210,50.5
77,50.5
400,50.5
62,50.5
170,81.0
450,65.0
120,84.0
84,65.0
425,52.0
133,44.0
250,133.33333333333334
725,32.5
375,300.0
208,144.0
300,212.5
450,300.0
219,63.0
147,81.0
213,61.0
95,122.0
53,50.5
174,63.0
400,48.0
175,50.5
319,88.0
135,61.0
243,41.0
138,63.0
132,25.5
109,47.0
184,137.0
400,197.5
98,69.0
125,125.0
96,47.0
150,175.0
248,63.0
98,88.0
135,65.0
400,81.0
36,32.5
196,47.0
78,81.0
145,51.0
175,150.0
200,175.0
90,69.0
650,50.5
163,84.0
450,131.0
825,52.0
78,69.0
400,233.33333333333334
400,144.0
182,65.0
150,275.0
475,88.0
252,47.0
240,47.0
125,81.0
450,69.0
600,550.0
124,137.0
79,61.0
85,65.0
1020,137.0
176,88.0
75,69.0
300,133.33333333333334
107,81.0
200,275.0
200,25.5
300,275.0
350,65.0
91,84.0
925,81.0
350,212.5
98,63.0
68,69.0
700,48.0
150,32.5
625,88.0
850,88.0
91,32.5
650,197.5
550,325.0
375,32.5
66,84.0
65,69.0
287,144.0
94,47.0
142,51.0
54,25.5
41,84.0
120,63.0
111,47.0
275,275.0
140,65.0
264,84.0
425,41.0
525,137.0
78,65.0
112,81.0
42,50.5
228,50.5
137,41.0
102,51.0
91,65.0
425,81.0
69,65.0
325,32.5
87,69.0
400,88.0
38,50.5
58,65.0
169,65.0
293,131.0
700,81.0
203,61.0
271,51.0
85,50.5
158,131.0
325,275.0
91,44.0
112,84.0
188,84.0
233,41.0
58,61.0
289,47.0
250,325.0
119,47.0
117,32.5
65,47.0
50,300.0
425,50.5
450,48.0
525,88.0
254,25.5
125,50.5
300,81.0
87,44.0
525,137.0
150,69.0
87,32.5
116,81.0
53,91.0
119,47.0
225,187.5
247,137.0
125,48.0
275,81.0
84,84.0
175,47.0
350,233.33333333333334
725,63.0
68,50.5
210,44.0
117,63.0
800,51.0
68,61.0
106,144.0
475,131.0
900,65.0
48,50.5
725,25.5
120,122.0
161,65.0
425,32.5
161,81.0
68,47.0
250,50.5
91,50.5
375,233.33333333333334
225,187.5
98,51.0
725,550.0
58,50.5
116,61.0
208,51.0
26,69.0
100,300.0
124,69.0
41,69.0
625,84.0
70,69.0
900,65.0
575,84.0
65,50.5
625,63.0
525,65.0
83,69.0
170,41.0
113,65.0
248,137.0
95,32.5
375,84.0
825,41.0
218,88.0
36,50.5
525,525.0
95,65.0
825,88.0
182,137.0
123,137.0
675,65.0
145,69.0
68,81.0
88,69.0
145,50.5
200,300.0
120,41.0
158,122.0
175,50.5
300,51.0
250,175.0
225,51.0
600,65.0
1075,63.0
56,50.5
200,275.0
275,50.5
122,32.5
200,65.0
56,50.5
128,81.0
950,48.0
450,50.5
122,122.0
325,325.0
700,212.5
31,25.5
54,25.5
425,50.5
90,65.0
126,81.0
700,137.0
173,50.5
275,81.0
36,51.0
147,32.5
75,50.5
142,81.0
217,48.0
775,122.0
800,550.0
145,69.0
175,150.0
550,65.0
189,48.0
91,65.0
575,550.0
300,65.0
520,525.0
500,32.5
116,48.0
215,122.0
196,88.0
44,65.0
175,137.0
135,137.0
150,150.0
275,275.0
65,44.0
300,133.33333333333334
350,84.0
38,65.0
47,65.0
150,61.0
525,144.0
98,63.0
143,48.0
1000,65.0
112,48.0
105,84.0
575,48.0
315,61.0
91,131.0
175,48.0
231,88.0
196,88.0
400,150.0
125,137.0
125,51.0
81,25.5
90,50.5
83,41.0
200,50.5
94,65.0
575,81.0
62,50.5
201,137.0
625,84.0
50,25.5
725,61.0
231,63.0
96,48.0
175,300.0
140,47.0
375,52.0
158,44.0
475,137.0
223,44.0
425,61.0
145,44.0
53,50.5
100,300.0
138,48.0
175,25.5
300,325.0
119,48.0
675,81.0
325,32.5
152,50.5
204,44.0
175,187.5
125,131.0
500,550.0
248,48.0
375,65.0
84,51.0
142,61.0
45,41.0
119,25.5
119,44.0
180,32.5
116,131.0
550,48.0
95,63.0
150,300.0
74,65.0
225,65.0
125,32.5
298,88.0
91,84.0
288,51.0
575,69.0
225,150.0
113,69.0
775,122.0
600,25.5
175,187.5
281,44.0
194,65.0
138,81.0
53,69.0
208,88.0
625,63.0
650,125.0
225,84.0
203,63.0
925,48.0
147,65.0
450,51.0
101,91.0
158,50.5
224,131.0
54,47.0
375,63.0
350,44.0
525,63.0
49,51.0
186,131.0
60,44.0
123,81.0
45,91.0
105,41.0
60,47.0
173,144.0
160,65.0
111,137.0
152,47.0
156,131.0
375,81.0
75,47.0
74,81.0
200,187.5
58,84.0
1025,144.0
128,137.0
91,81.0
825,525.0
233,65.0
111,50.5
150,81.0
182,137.0
400,47.0
224,69.0
125,50.5
198,84.0
725,50.5
675,41.0
117,144.0
140,144.0
232,84.0
233,122.0
300,212.5
700,84.0
113,61.0
194,88.0
44,25.5
800,51.0
109,47.0
182,47.0
225,51.0
83,69.0
160,88.0
270,51.0
263,122.0
375,84.0
350,125.0
250,275.0
165,131.0
147,25.5
61,51.0
65,65.0
200,69.0
149,144.0
143,91.0
575,133.33333333333334
68,25.5
400,300.0
104,144.0
775,212.5
131,137.0
128,65.0
99,47.0
53,50.5
150,91.0
175,187.5
140,69.0
98,44.0
225,44.0
152,48.0
56,50.5
176,65.0
101,65.0
525,150.0
500,122.0
51,25.5
189,48.0
40,50.5
325,300.0
74,50.5
145,47.0
250,50.5
350,197.5
50,25.5
169,84.0
475,81.0
75,25.5
900,400.0
875,65.0
94,51.0
63,69.0
400,65.0
181,63.0
248,81.0
261,88.0
149,69.0
575,212.5
215,48.0
182,88.0
850,51.0
225,52.0
49,47.0
176,72.0
111,69.0
69,81.0
520,131.0
149,32.5
450,81.0
525,131.0
38,47.0
650,137.0
99,51.0
525,325.0
101,50.5
149,137.0
175,300.0
400,325.0
206,48.0
51,50.5
950,131.0
125,69.0
155,25.5
775,81.0
169,65.0
875,63.0
200,69.0
62,50.5
275,61.0
275,275.0
149,88.0
500,212.5
86,48.0
178,61.0
300,325.0
116,50.5
350,133.33333333333334
173,32.5
210,50.5
33,47.0
350,61.0
293,84.0
575,122.0
58,50.5
325,325.0
275,50.5
192,91.0
175,25.5
105,50.5
131,41.0
600,32.5
1075,400.0
94,63.0
150,187.5
300,84.0
255,88.0
75,65.0
250,175.0
825,65.0
124,84.0
25,69.0
275,32.5
725,125.0
34,50.5
675,400.0
65,47.0
250,133.33333333333334
175,50.5
223,65.0
85,81.0
420,131.0
225,65.0
248,48.0
625,131.0
195,81.0
425,44.0
158,41.0
111,51.0
179,69.0
34,69.0
1000,175.0
131,137.0
122,131.0
168,65.0
95,65.0
232,84.0
450,63.0
675,137.0
675,131.0
600,144.0
210,65.0
145,81.0
136,88.0
263,137.0
475,84.0
203,137.0
350,50.5
152,25.5
175,187.5
825,41.0
163,48.0
0,47.0
233,131.0
225,325.0
550,233.33333333333334
26,50.5
196,88.0
125,175.0
34,69.0
41,61.0
275,32.5
102,65.0
59,50.5
47,51.0
325,63.0
175,32.5
181,41.0
106,50.5
200,150.0
194,81.0
225,300.0
80,44.0
56,65.0
240,47.0
181,65.0
725,47.0
625,52.0
160,84.0
225,69.0
38,50.5
130,25.5
225,325.0
625,300.0
65,47.0
975,48.0
247,61.0
500,81.0
60,50.5
147,51.0
142,72.0
470,525.0
275,133.33333333333334
20,69.0
112,47.0
109,137.0
325,133.33333333333334
200,81.0
425,51.0
231,48.0
27,44.0
51,44.0
50,50.5
44,50.5
278,47.0
200,69.0
68,69.0
105,144.0
225,212.5
81,81.0
500,63.0
131,51.0
173,137.0
72,50.5
256,137.0
400,25.5
65,81.0
700,47.0
81,81.0
275,197.5
109,84.0
69,81.0
400,197.5
74,69.0
210,44.0
150,50.5
209,144.0
91,25.5
800,41.0
275,175.0
225,187.5
600,197.5
150,51.0
240,144.0
175,61.0
113,69.0
675,137.0
101,65.0
375,300.0
425,25.5
145,61.0
350,325.0
116,81.0
136,69.0
225,175.0
187,137.0
264,81.0
54,65.0
109,137.0
90,81.0
150,125.0
975,65.0
134,88.0
58,50.5
98,69.0
272,81.0
206,131.0
47,47.0
250,325.0
167,131.0
105,41.0
74,61.0
128,84.0
225,81.0
190,41.0
65,47.0
625,197.5
116,81.0
825,144.0
189,88.0
575,65.0
202,63.0
90,81.0
272,131.0
160,47.0
100,50.5
450,233.33333333333334
350,275.0
250,325.0
250,65.0
77,47.0
194,137.0
145,144.0
100,300.0
475,63.0
374,91.0
111,84.0
325,63.0
215,65.0
83,84.0
425,32.5
123,84.0
140,81.0
70,81.0
200,125.0
73,63.0
259,65.0
94,50.5
83,65.0
200,25.5
475,47.0
52,50.5
150,175.0
275,63.0
42,50.5
250,125.0
167,137.0
600,63.0
233,137.0
425,65.0
138,65.0
800,63.0
225,84.0
72,81.0
124,81.0
156,65.0
500,131.0
184,137.0
137,63.0
300,197.5
245,63.0
250,275.0
238,137.0
94,63.0
300,81.0
600,50.5
153,137.0
273,65.0
69,65.0
74,50.5
120,65.0
300,81.0
175,144.0
325,325.0
