y_real,y_pred_local
52,135.0
275,362.5
206,233.0
155,140.0
182,232.0
182,775.0
375,762.5
65,232.0
175,750.0
725,240.0
250,135.0
50,88.0
650,181.0
231,305.0
475,762.5
138,305.0
105,184.0
925,196.0
311,208.0
350,775.0
125,475.0
252,762.5
120,68.0
25,450.0
98,176.0
300,775.0
100,762.5
500,275.0
250,240.0
300,762.5
203,140.0
575,133.0
80,188.0
275,762.5
275,275.0
75,223.0
70,762.5
221,140.0
202,233.0
325,113.0
317,264.0
1045,750.0
112,240.0
495,196.0
168,140.0
123,88.0
119,305.0
61,88.0
525,225.0
116,775.0
700,140.0
200,762.5
35,147.0
168,184.0
83,762.5
238,255.0
116,147.0
49,147.0
500,135.0
450,135.0
203,233.0
119,140.0
225,184.0
155,147.0
475,762.5
1220,196.0
203,136.0
44,232.0
350,775.0
245,240.0
325,750.0
575,196.0
550,762.5
175,475.0
99,184.0
54,147.0
56,147.0
163,208.0
425,750.0
75,147.0
225,305.0
325,88.0
525,762.5
375,762.5
204,162.0
350,775.0
29,142.0
56,305.0
525,762.5
70,240.0
675,184.0
650,762.5
123,188.0
263,762.5
279,147.0
135,162.0
236,128.0
250,133.0
56,305.0
625,140.0
145,128.0
500,196.0
98,142.0
263,264.0
150,264.0
500,147.0
150,762.5
600,133.0
84,264.0
100,196.0
350,925.0
275,68.0
300,113.0
111,135.0
325,762.5
200,225.0
600,750.0
51,147.0
52,147.0
91,68.0
216,762.5
189,762.5
224,232.0
165,140.0
240,140.0
124,112.0
231,232.0
545,775.0
325,762.5
120,133.0
115,147.0
225,250.0
725,750.0
90,184.0
162,136.0
163,142.0
350,133.0
450,762.5
225,156.0
200,775.0
131,162.0
125,450.0
111,142.0
825,675.0
87,184.0
203,255.0
105,145.0
169,136.0
181,196.0
91,128.0
38,305.0
850,762.5
60,124.0
26,475.0
575,775.0
289,232.0
400,188.0
104,762.5
72,140.0
123,762.5
925,184.0
70,112.0
108,188.0
203,181.0
218,775.0
105,762.5
750,762.5
900,925.0
75,208.0
202,255.0
120,195.0
61,140.0
47,112.0
175,762.5
248,762.5
87,209.0
90,142.0
85,232.0
119,142.0
106,184.0
150,762.5
225,140.0
56,133.0
68,305.0
149,162.0
173,762.5
600,762.5
125,400.0
900,133.0
100,475.0
750,133.0
125,147.0
116,162.0
550,196.0
225,305.0
150,133.0
150,264.0
375,762.5
250,113.0
113,112.0
475,124.0
275,184.0
208,232.0
198,232.0
133,208.0
145,147.0
725,775.0
203,232.0
112,209.0
59,255.0
239,184.0
525,750.0
94,240.0
50,88.0
575,762.5
182,264.0
425,305.0
825,762.5
325,475.0
75,450.0
105,223.0
300,762.5
475,762.5
125,475.0
775,762.5
600,925.0
109,184.0
232,240.0
500,133.0
225,250.0
525,450.0
450,133.0
140,305.0
825,750.0
140,264.0
143,140.0
250,112.0
65,232.0
500,762.5
400,762.5
196,209.0
96,162.0
145,188.0
138,135.0
925,762.5
128,128.0
175,250.0
525,925.0
124,184.0
111,142.0
248,136.0
38,147.0
39,124.0
36,147.0
105,762.5
150,196.0
300,147.0
221,140.0
126,176.0
38,305.0
250,156.0
900,475.0
98,264.0
39,68.0
675,140.0
111,184.0
450,775.0
225,762.5
420,240.0
325,775.0
87,264.0
500,196.0
109,88.0
150,133.0
207,240.0
69,162.0
149,232.0
117,209.0
400,475.0
30,142.0
149,136.0
150,762.5
150,128.0
250,475.0
204,305.0
75,162.0
175,475.0
193,135.0
147,750.0
225,925.0
175,475.0
91,264.0
100,145.0
125,162.0
150,176.0
425,140.0
725,133.0
375,225.0
500,762.5
325,775.0
210,305.0
315,140.0
120,232.0
240,147.0
81,264.0
136,140.0
650,196.0
225,750.0
75,135.0
58,305.0
333,233.0
475,196.0
120,762.5
30,305.0
68,264.0
160,147.0
155,305.0
550,196.0
58,305.0
575,140.0
113,112.0
114,162.0
725,362.5
30,116.0
625,762.5
116,195.0
200,275.0
775,762.5
203,232.0
119,135.0
475,196.0
250,775.0
221,142.0
91,147.0
700,750.0
123,133.0
