y_real,y_pred_local
52,63.0
275,625.0
206,209.0
155,68.0
182,218.0
182,993.75
375,825.0
65,200.0
175,522.3333333333334
725,68.0
250,63.0
50,587.5
650,181.5
231,196.0
475,825.0
138,33.0
105,233.0
925,833.3333333333334
311,311.0
350,825.0
125,700.0
252,700.0
120,182.0
25,587.5
98,200.0
300,800.0
100,206.0
500,700.0
250,775.0
300,100.0
203,997.5
575,675.0
80,181.5
275,775.0
275,700.0
75,84.0
70,78.0
221,182.0
202,209.0
325,225.0
317,243.0
1045,522.3333333333334
112,775.0
495,176.0
168,138.0
123,162.0
119,196.0
61,162.0
525,579.3333333333334
116,762.5
700,687.5
200,250.0
35,188.0
168,233.0
83,725.0
238,209.0
116,188.0
49,625.0
500,181.5
450,181.5
203,209.0
119,587.5
225,700.0
155,775.0
475,950.0
1220,891.6666666666666
203,162.0
44,200.0
350,800.0
245,208.0
325,522.3333333333334
575,891.6666666666666
550,825.0
175,700.0
99,188.0
54,775.0
56,625.0
163,195.0
425,522.3333333333334
75,209.0
225,193.0
325,587.5
525,725.0
375,725.0
204,189.0
350,800.0
29,95.0
56,193.0
525,700.0
70,208.0
675,700.0
650,775.0
123,162.0
263,244.0
279,208.0
135,189.0
236,162.0
250,791.6666666666666
56,176.0
625,687.5
145,20.0
500,833.3333333333334
98,278.0
263,232.0
150,280.0
500,625.0
150,825.0
600,135.0
84,202.0
100,325.0
350,84.0
275,687.5
300,181.5
111,181.5
325,250.0
200,125.0
600,522.3333333333334
51,33.0
52,625.0
91,687.5
216,725.0
189,950.0
224,200.0
165,587.5
240,274.0
124,162.0
231,579.3333333333334
545,993.75
325,700.0
120,791.6666666666666
115,209.0
225,698.3333333333334
725,522.3333333333334
90,233.0
162,181.5
163,244.5
350,791.6666666666666
450,700.0
225,225.0
200,825.0
131,216.0
125,687.5
111,278.0
825,833.3333333333334
87,84.0
203,68.0
105,700.0
169,181.5
181,176.0
91,587.5
38,196.0
850,700.0
60,700.0
26,750.0
575,102.0
289,218.0
400,162.0
104,250.0
72,138.0
123,244.0
925,579.3333333333334
70,181.5
108,181.5
203,181.5
218,800.0
105,950.0
750,700.0
900,503.0
75,240.0
202,209.0
120,95.0
61,587.5
47,181.5
175,825.0
248,196.0
87,225.0
90,225.0
85,218.0
119,225.0
106,188.0
150,825.0
225,687.5
56,675.0
68,176.0
149,762.5
173,244.0
600,775.0
125,325.0
900,791.6666666666666
100,700.0
750,791.6666666666666
125,625.0
116,625.0
550,650.0
225,700.0
150,675.0
150,225.0
375,825.0
250,181.5
113,63.0
475,700.0
275,84.0
208,200.0
198,200.0
133,311.0
145,775.0
725,825.0
203,200.0
112,225.0
59,59.0
239,233.0
525,522.3333333333334
94,181.0
50,587.5
575,1137.5
182,232.0
425,91.0
825,700.0
325,750.0
75,587.5
105,84.0
300,700.0
475,825.0
125,700.0
775,825.0
600,503.0
109,208.0
232,775.0
500,675.0
225,700.0
525,450.0
450,791.6666666666666
140,210.0
825,522.3333333333334
140,243.0
143,20.0
250,181.5
65,84.0
500,250.0
400,700.0
196,189.0
96,189.0
145,162.0
138,181.5
925,950.0
128,162.0
175,700.0
525,503.0
124,188.0
111,244.5
248,162.0
38,68.0
39,700.0
36,189.0
105,244.0
150,891.6666666666666
300,95.0
221,687.5
126,225.0
38,77.0
250,225.0
900,750.0
98,100.0
39,687.5
675,587.5
111,579.3333333333334
450,762.5
225,196.0
420,68.0
325,762.5
87,225.0
500,176.0
109,181.5
150,791.6666666666666
207,33.0
69,169.0
149,218.0
117,189.0
400,700.0
30,95.0
149,181.5
150,950.0
150,587.5
250,700.0
204,196.0
75,762.5
175,750.0
193,162.0
147,522.3333333333334
225,503.0
175,84.0
91,243.0
100,77.0
125,91.0
150,278.0
425,687.5
725,791.6666666666666
375,579.3333333333334
500,950.0
325,762.5
210,193.0
315,687.5
120,200.0
240,188.0
81,100.0
136,687.5
650,176.0
225,84.0
75,181.5
58,182.0
333,209.0
475,833.3333333333334
120,196.0
30,725.0
68,225.0
160,209.0
155,700.0
550,325.0
58,210.0
575,587.5
113,181.5
114,216.0
725,625.0
30,587.5
625,825.0
116,232.0
200,700.0
775,725.0
203,282.0
119,181.5
475,100.0
250,762.5
221,244.5
91,209.0
700,522.3333333333334
123,675.0
88,162.0
126,138.0
95,176.0
550,891.6666666666666
91,209.0
425,91.0
575,762.5
104,196.0
63,77.0
475,725.0
36,20.0
700,700.0
450,800.0
700,825.0
79,282.0
675,833.3333333333334
147,625.0
144,791.6666666666666
116,825.0
550,950.0
350,700.0
300,891.6666666666666
223,181.5
93,775.0
320,833.3333333333334
173,225.0
670,997.5
475,84.0
192,162.0
275,700.0
189,243.0
175,762.5
163,33.0
158,181.5
51,181.5
216,274.0
425,725.0
275,700.0
130,218.0
1125,1137.5
174,169.0
210,169.0
325,250.0
325,833.3333333333334
44,169.0
825,800.0
120,200.0
63,218.0
575,625.0
132,775.0
375,833.3333333333334
154,687.5
350,825.0
90,762.5
278,698.3333333333334
179,587.5
175,700.0
300,833.3333333333334
96,196.0
45,625.0
68,208.0
210,675.0
77,95.0
400,775.0
62,182.0
170,587.5
450,698.3333333333334
120,232.0
84,791.6666666666666
425,833.3333333333334
133,210.0
250,300.0
725,833.3333333333334
375,833.3333333333334
208,209.0
300,791.6666666666666
450,700.0
219,950.0
147,162.0
213,210.0
95,993.75
53,208.0
174,825.0
400,825.0
175,95.0
319,200.0
135,181.5
243,700.0
138,244.0
132,200.0
109,169.0
184,181.5
400,825.0
98,181.5
125,891.6666666666666
96,625.0
150,625.0
248,825.0
98,326.0
135,232.0
400,762.5
36,200.0
196,189.0
78,209.0
145,33.0
175,325.0
200,725.0
90,181.5
650,625.0
163,522.3333333333334
450,117.0
825,833.3333333333334
78,181.5
400,950.0
400,68.0
182,698.3333333333334
150,775.0
475,1075.0
252,196.0
240,169.0
125,169.0
450,63.0
600,579.3333333333334
124,162.0
79,162.0
85,202.0
1020,997.5
176,891.6666666666666
75,63.0
300,833.3333333333334
107,587.5
200,287.5
200,775.0
300,579.3333333333334
350,698.3333333333334
91,84.0
925,775.0
350,287.5
98,311.0
68,162.0
700,825.0
150,250.0
625,1075.0
850,825.0
91,248.0
650,950.0
550,225.0
375,762.5
66,218.0
65,63.0
287,775.0
94,169.0
142,196.0
54,95.0
41,100.0
120,100.0
111,700.0
275,579.3333333333334
140,243.0
264,225.0
425,700.0
525,68.0
78,202.0
112,181.5
42,225.0
228,687.5
137,218.0
102,188.0
91,135.0
425,587.5
69,200.0
325,833.3333333333334
87,63.0
400,891.6666666666666
38,33.0
58,202.0
169,218.0
293,280.0
700,762.5
203,181.5
271,188.0
85,687.5
158,280.0
325,775.0
91,176.0
112,100.0
188,225.0
233,233.0
58,63.0
289,587.5
250,225.0
119,33.0
117,762.5
65,196.0
50,587.5
425,675.0
450,503.0
525,1137.5
254,240.0
125,675.0
300,775.0
87,210.0
525,68.0
150,63.0
87,225.0
116,176.0
53,20.0
119,169.0
225,125.0
247,181.5
125,825.0
275,63.0
84,218.0
175,625.0
350,425.0
725,122.0
68,209.0
210,210.0
117,206.0
800,579.3333333333334
68,687.5
106,117.0
475,579.3333333333334
900,891.6666666666666
48,225.0
725,725.0
120,993.75
161,225.0
425,750.0
161,181.5
68,77.0
250,687.5
91,162.0
375,250.0
225,775.0
98,208.0
725,450.0
58,33.0
116,162.0
208,188.0
26,63.0
100,75.0
124,181.5
41,63.0
625,700.0
70,181.5
900,891.6666666666666
575,522.3333333333334
65,68.0
625,825.0
525,791.6666666666666
83,63.0
170,218.0
113,209.0
248,274.0
95,278.0
375,100.0
825,700.0
218,244.5
36,175.0
525,450.0
95,223.0
825,891.6666666666666
182,181.5
123,162.0
675,135.0
145,181.5
68,587.5
88,181.5
145,188.0
200,700.0
120,182.0
158,243.0
175,95.0
300,700.0
250,625.0
225,208.0
600,825.0
1075,250.0
56,181.0
200,775.0
275,687.5
122,225.0
200,700.0
56,95.0
128,176.0
950,503.0
450,95.0
122,225.0
325,775.0
700,725.0
31,200.0
54,891.6666666666666
425,675.0
90,200.0
126,209.0
700,181.5
173,208.0
275,775.0
36,189.0
147,102.0
75,687.5
142,182.0
217,503.0
775,993.75
800,997.5
145,700.0
175,700.0
550,725.0
189,950.0
91,233.0
575,450.0
300,698.3333333333334
520,522.3333333333334
500,84.0
