y_real,y_pred_local
52,54.0
275,200.0
206,116.0
155,91.0
182,135.0
182,145.0
375,174.0
65,135.0
175,145.0
725,116.0
250,54.0
50,45.0
650,113.0
231,89.5
475,174.0
138,89.5
105,165.0
925,600.0
311,174.0
350,165.0
125,145.0
252,145.0
120,45.0
25,200.0
98,174.0
300,145.0
100,174.0
500,200.0
250,116.0
300,174.0
203,91.0
575,145.0
80,113.0
275,600.0
275,200.0
75,165.0
70,174.0
221,105.0
202,116.0
325,200.0
317,145.0
1045,145.0
112,116.0
495,174.0
168,91.0
123,45.0
119,89.5
61,45.0
525,500.0
116,145.0
700,105.0
200,174.0
35,135.0
168,135.0
83,174.0
238,91.0
116,135.0
49,135.0
500,54.0
450,54.0
203,116.0
119,91.0
225,135.0
155,45.0
475,600.0
1220,174.0
203,113.0
44,135.0
350,500.0
245,116.0
325,500.0
575,600.0
550,600.0
175,145.0
99,135.0
54,45.0
56,135.0
163,174.0
425,500.0
75,45.0
225,89.5
325,91.0
525,174.0
375,174.0
204,91.0
350,500.0
29,174.0
56,89.5
525,500.0
70,116.0
675,135.0
650,174.0
123,113.0
263,174.0
279,45.0
135,91.0
236,113.0
250,500.0
56,89.5
625,105.0
145,113.0
500,600.0
98,174.0
263,145.0
150,145.0
500,135.0
150,174.0
600,145.0
84,145.0
100,600.0
350,165.0
275,45.0
300,200.0
111,113.0
325,600.0
200,150.0
600,145.0
51,45.0
52,135.0
91,45.0
216,174.0
189,174.0
224,135.0
165,105.0
240,91.0
124,54.0
231,135.0
545,500.0
325,500.0
120,145.0
115,45.0
225,550.0
725,145.0
90,165.0
162,113.0
163,174.0
350,500.0
450,500.0
225,350.0
200,500.0
131,91.0
125,350.0
111,174.0
825,174.0
87,135.0
203,91.0
105,54.0
169,113.0
181,174.0
91,105.0
38,54.0
850,145.0
60,54.0
26,145.0
575,165.0
289,135.0
400,113.0
104,174.0
72,105.0
123,174.0
925,135.0
70,54.0
108,113.0
203,113.0
218,145.0
105,174.0
750,145.0
900,165.0
75,174.0
202,105.0
120,145.0
61,105.0
47,54.0
175,174.0
248,174.0
87,145.0
90,174.0
85,135.0
119,174.0
106,135.0
150,174.0
225,105.0
56,145.0
68,89.5
149,91.0
173,174.0
600,600.0
125,350.0
900,145.0
100,500.0
750,145.0
125,135.0
116,54.0
550,600.0
225,89.5
150,150.0
150,145.0
375,174.0
250,350.0
113,54.0
475,54.0
275,135.0
208,135.0
198,135.0
133,174.0
145,45.0
725,165.0
