y_real,y_pred_local
52,72.0
275,225.0
206,19.0
155,19.0
182,425.0
182,425.0
375,425.0
65,425.0
175,425.0
725,75.0
250,72.0
50,23.0
650,23.0
231,225.0
475,425.0
138,225.0
105,225.0
925,425.0
311,425.0
350,425.0
125,225.0
252,425.0
120,68.0
25,72.0
98,425.0
300,425.0
100,425.0
500,225.0
250,225.0
300,425.0
203,19.0
575,225.0
80,23.0
275,225.0
275,225.0
75,425.0
70,225.0
221,128.0
202,225.0
325,72.0
317,425.0
1045,425.0
112,225.0
495,425.0
168,23.0
123,23.0
119,225.0
61,23.0
525,425.0
116,425.0
700,128.0
200,425.0
35,225.0
168,225.0
83,225.0
238,19.0
116,225.0
49,225.0
500,72.0
450,72.0
203,225.0
119,72.0
225,425.0
155,68.0
475,425.0
1220,425.0
203,23.0
44,425.0
350,425.0
245,75.0
325,425.0
575,425.0
550,425.0
175,225.0
99,111.0
54,68.0
56,225.0
163,225.0
425,425.0
75,68.0
225,225.0
325,72.0
525,225.0
375,225.0
204,56.0
350,425.0
29,225.0
56,225.0
525,425.0
70,111.0
675,425.0
650,225.0
123,23.0
263,425.0
279,68.0
135,56.0
236,23.0
250,425.0
56,225.0
625,128.0
145,23.0
500,425.0
98,425.0
263,425.0
150,425.0
500,225.0
150,425.0
600,425.0
84,425.0
100,225.0
350,425.0
275,68.0
300,72.0
111,72.0
325,425.0
200,225.0
600,425.0
51,68.0
52,225.0
91,68.0
216,425.0
189,425.0
224,425.0
165,23.0
240,23.0
124,72.0
231,425.0
545,425.0
325,425.0
120,425.0
115,68.0
225,425.0
725,425.0
90,225.0
162,23.0
163,425.0
350,425.0
450,425.0
225,23.0
200,425.0
131,225.0
125,128.0
111,425.0
825,425.0
87,425.0
203,19.0
105,56.0
169,23.0
181,425.0
91,23.0
38,225.0
850,425.0
60,72.0
26,425.0
575,425.0
289,425.0
400,23.0
104,425.0
72,23.0
123,425.0
925,425.0
70,72.0
108,23.0
203,23.0
218,425.0
105,425.0
750,425.0
900,425.0
75,225.0
202,128.0
120,225.0
61,23.0
47,72.0
175,225.0
248,425.0
87,225.0
90,425.0
85,425.0
119,425.0
106,111.0
150,425.0
225,128.0
56,225.0
68,225.0
149,225.0
173,425.0
600,425.0
125,225.0
900,425.0
100,225.0
750,425.0
125,225.0
116,225.0
550,425.0
225,225.0
150,225.0
150,425.0
375,225.0
250,72.0
113,72.0
475,72.0
275,425.0
208,425.0
198,425.0
133,425.0
145,68.0
725,425.0
203,425.0
112,425.0
59,225.0
239,225.0
525,425.0
94,111.0
50,72.0
575,425.0
182,425.0
425,225.0
825,425.0
325,425.0
75,72.0
105,425.0
300,425.0
475,225.0
125,225.0
775,425.0
600,425.0
109,111.0
232,75.0
500,225.0
225,425.0
525,19.0
450,425.0
140,225.0
825,425.0
140,425.0
143,72.0
250,72.0
65,425.0
500,425.0
400,425.0
196,225.0
96,56.0
145,23.0
138,72.0
925,425.0
128,23.0
175,425.0
525,425.0
124,111.0
111,425.0
248,23.0
38,68.0
39,72.0
36,225.0
105,425.0
150,225.0
300,225.0
221,128.0
126,425.0
38,225.0
250,72.0
900,425.0
98,425.0
39,68.0
675,23.0
111,425.0
450,425.0
225,225.0
420,75.0
325,425.0
87,425.0
500,425.0
109,23.0
150,425.0
207,75.0
69,56.0
149,425.0
117,225.0
400,225.0
30,225.0
149,23.0
150,425.0
150,23.0
250,225.0
204,225.0
75,225.0
175,425.0
193,72.0
147,425.0
225,425.0
175,425.0
91,425.0
100,225.0
125,225.0
150,425.0
425,128.0
725,425.0
375,425.0
500,425.0
325,425.0
210,225.0
315,128.0
120,425.0
240,68.0
81,425.0
136,128.0
650,425.0
225,425.0
75,72.0
58,225.0
333,225.0
475,425.0
120,225.0
30,225.0
68,425.0
160,68.0
155,225.0
550,225.0
58,225.0
575,23.0
113,72.0
114,225.0
725,225.0
30,72.0
625,425.0
116,425.0
200,225.0
775,225.0
203,425.0
119,72.0
475,425.0
250,425.0
221,425.0
91,68.0
700,425.0
123,225.0
88,23.0
126,23.0
95,225.0
550,425.0
91,128.0
425,225.0
575,225.0
104,225.0
63,225.0
475,225.0
36,72.0
700,425.0
450,425.0
700,425.0
79,425.0
675,425.0
147,225.0
144,425.0
116,425.0
550,425.0
350,425.0
300,425.0
223,23.0
93,111.0
320,425.0
173,425.0
670,19.0
475,425.0
192,23.0
275,425.0
189,425.0
175,225.0
163,75.0
158,72.0
51,72.0
216,23.0
425,225.0
275,425.0
130,425.0
1125,425.0
174,56.0
210,56.0
325,425.0
325,425.0
44,56.0
825,425.0
120,425.0
63,425.0
575,225.0
132,75.0
375,425.0
154,68.0
350,425.0
90,425.0
278,425.0
179,72.0
175,225.0
300,425.0
96,225.0
45,225.0
68,111.0
210,225.0
77,225.0
400,68.0
62,68.0
170,72.0
450,425.0
120,425.0
84,425.0
425,425.0
133,225.0
250,425.0
725,425.0
375,425.0
208,19.0
300,425.0
450,72.0
219,425.0
147,72.0
213,23.0
95,425.0
53,68.0
174,425.0
400,425.0
175,225.0
319,425.0
135,23.0
243,425.0
138,425.0
132,225.0
109,56.0
184,23.0
400,425.0
98,72.0
125,225.0
96,225.0
150,225.0
248,425.0
98,425.0
135,425.0
400,225.0
36,425.0
196,56.0
78,225.0
145,111.0
175,225.0
200,225.0
90,72.0
650,225.0
163,425.0
450,425.0
825,425.0
78,72.0
400,425.0
400,75.0
182,425.0
150,111.0
475,425.0
252,225.0
240,56.0
125,56.0
450,72.0
600,425.0
124,23.0
79,23.0
85,225.0
1020,19.0
176,425.0
75,72.0
300,425.0
107,72.0
200,111.0
200,225.0
300,425.0
350,425.0
91,425.0
925,111.0
350,425.0
98,425.0
68,72.0
700,425.0
150,425.0
625,425.0
850,425.0
91,425.0
650,425.0
550,225.0
375,425.0
66,425.0
65,72.0
287,75.0
94,56.0
142,225.0
54,225.0
41,425.0
120,425.0
111,56.0
275,425.0
140,425.0
264,425.0
425,425.0
525,19.0
78,225.0
112,72.0
42,225.0
228,68.0
137,425.0
102,111.0
91,425.0
425,72.0
69,425.0
325,425.0
87,72.0
400,425.0
38,68.0
58,225.0
169,425.0
293,425.0
700,225.0
203,23.0
271,111.0
85,68.0
158,425.0
325,111.0
91,225.0
112,425.0
188,425.0
233,225.0
58,23.0
289,56.0
250,72.0
119,225.0
117,425.0
65,225.0
50,72.0
425,225.0
450,425.0
525,425.0
254,225.0
125,225.0
300,111.0
87,225.0
525,19.0
150,72.0
87,425.0
116,225.0
53,72.0
119,56.0
225,68.0
247,23.0
125,425.0
275,72.0
84,425.0
175,225.0
350,425.0
725,425.0
68,68.0
210,225.0
117,425.0
800,425.0
68,128.0
106,75.0
475,425.0
900,425.0
48,225.0
725,225.0
120,425.0
161,425.0
425,425.0
161,72.0
68,225.0
250,68.0
91,23.0
375,425.0
225,68.0
98,111.0
725,19.0
58,68.0
116,23.0
208,111.0
26,72.0
100,72.0
124,72.0
41,72.0
625,425.0
70,72.0
900,425.0
575,425.0
65,68.0
625,425.0
525,425.0
83,72.0
170,425.0
113,425.0
248,19.0
95,425.0
375,425.0
825,425.0
218,425.0
36,225.0
525,425.0
95,425.0
825,425.0
182,23.0
123,23.0
675,425.0
145,72.0
68,56.0
88,72.0
145,225.0
200,72.0
120,225.0
158,425.0
175,225.0
300,225.0
250,225.0
225,111.0
600,425.0
1075,425.0
56,68.0
200,111.0
275,68.0
122,425.0
200,425.0
56,225.0
128,225.0
950,425.0
450,225.0
122,425.0
325,225.0
700,425.0
31,225.0
54,225.0
425,225.0
90,425.0
126,128.0
700,23.0
173,68.0
275,111.0
36,225.0
147,425.0
75,68.0
142,225.0
217,425.0
775,425.0
800,19.0
145,72.0
175,425.0
550,425.0
189,425.0
91,225.0
575,75.0
300,425.0
520,425.0
500,425.0
