y_real,y_pred_local
52,53.0
275,125.0
206,133.0
155,133.0
182,50.5
182,146.0
375,98.0
65,50.5
175,134.5
725,112.0
250,53.0
50,39.0
650,124.0
231,61.0
475,50.5
138,50.5
105,61.0
925,350.0
311,146.0
350,61.0
125,34.0
252,87.0
120,44.5
25,133.33333333333334
98,61.0
300,98.0
100,98.0
500,187.5
250,61.0
300,98.0
203,133.0
575,51.0
80,47.0
275,125.0
275,187.5
75,61.0
70,34.0
221,75.0
202,61.0
325,133.33333333333334
317,146.0
1045,134.5
112,61.0
495,146.0
168,137.0
123,39.0
119,61.0
61,39.0
525,300.0
116,50.5
700,63.0
200,61.0
35,60.0
168,66.0
83,34.0
238,133.0
116,60.0
49,60.0
500,50.0
450,53.0
203,61.0
119,61.0
225,66.0
155,38.0
475,350.0
1220,146.0
203,137.0
44,50.5
350,350.0
245,112.0
325,262.5
575,520.0
550,187.5
175,34.0
99,87.0
54,38.0
56,60.0
163,34.0
425,262.5
75,38.0
225,61.0
325,61.0
525,34.0
375,34.0
204,61.0
350,350.0
29,34.0
56,61.0
525,300.0
70,78.0
675,50.5
650,34.0
123,77.0
263,98.0
279,42.0
135,61.0
236,137.0
250,300.0
56,50.5
625,63.0
145,137.0
500,350.0
98,50.5
263,134.5
150,134.5
500,60.0
150,98.0
600,87.0
84,50.5
100,125.0
350,61.0
275,44.5
300,100.0
111,68.0
325,350.0
200,137.5
600,134.5
51,38.0
52,60.0
91,44.5
216,87.0
189,98.0
224,87.0
165,75.0
240,137.0
124,23.0
231,87.0
545,537.5
325,300.0
120,87.0
115,38.0
225,225.0
725,134.5
90,61.0
162,124.0
163,146.0
350,300.0
450,300.0
225,175.0
200,225.0
131,61.0
125,250.0
111,50.5
825,61.0
87,50.5
203,133.0
105,54.0
169,124.0
181,87.0
91,77.0
38,61.0
850,87.0
60,54.0
26,50.5
575,61.0
289,134.5
400,77.0
104,98.0
72,75.0
123,98.0
925,87.0
70,28.0
108,47.0
203,124.0
218,98.0
105,98.0
750,87.0
900,61.0
75,34.0
202,63.0
120,34.0
61,75.0
47,28.0
175,34.0
248,87.0
87,51.0
90,50.5
85,87.0
119,98.0
106,87.0
150,98.0
225,63.0
56,51.0
68,50.5
149,61.0
173,98.0
600,300.0
125,225.0
900,87.0
100,187.5
750,87.0
125,60.0
116,31.0
550,520.0
225,50.5
150,187.5
150,50.5
375,34.0
250,187.5
113,44.0
475,49.0
275,66.0
208,134.5
198,89.5
133,98.0
145,38.0
725,61.0
203,87.0
112,87.0
59,61.0
239,66.0
525,537.5
94,78.0
50,34.0
575,520.0
182,134.5
425,50.5
825,87.0
325,50.5
75,133.33333333333334
105,61.0
300,300.0
475,125.0
125,34.0
775,300.0
600,61.0
109,78.0
232,112.0
500,187.5
225,187.5
525,500.0
450,300.0
140,50.5
825,134.5
140,98.0
143,61.0
250,28.0
65,66.0
500,187.5
400,300.0
196,34.0
96,61.0
145,77.0
138,49.0
925,98.0
128,77.0
175,187.5
525,61.0
124,87.0
111,87.0
248,137.0
38,38.0
39,54.0
36,51.0
105,98.0
150,125.0
300,60.0
221,63.0
126,61.0
38,68.0
250,250.0
900,50.5
98,89.5
39,44.5
675,77.0
111,112.0
450,50.5
225,34.0
420,112.0
325,187.5
87,50.5
500,146.0
109,39.0
150,87.0
207,112.0
69,61.0
149,87.0
117,34.0
400,34.0
30,34.0
149,124.0
150,98.0
150,77.0
250,187.5
204,68.0
75,61.0
175,50.5
193,68.0
147,134.5
225,225.0
175,50.5
91,98.0
100,39.0
125,31.0
150,61.0
425,63.0
725,87.0
375,300.0
500,98.0
325,187.5
210,61.0
315,63.0
120,50.5
240,42.0
81,98.0
136,63.0
650,87.0
225,89.5
75,50.0
58,50.5
333,61.0
475,350.0
120,34.0
30,61.0
68,50.5
160,38.0
155,50.5
550,125.0
58,50.5
575,77.0
113,28.0
114,31.0
725,175.0
30,23.0
625,350.0
116,87.0
200,187.5
775,34.0
203,66.0
119,68.0
475,98.0
250,50.5
221,146.0
91,38.0
700,89.5
123,51.0
88,77.0
126,75.0
95,61.0
550,146.0
91,63.0
425,50.5
575,61.0
104,68.0
63,68.0
475,34.0
36,23.0
700,66.0
450,350.0
700,61.0
79,66.0
675,61.0
147,68.0
144,87.0
116,98.0
550,187.5
350,225.0
300,87.0
223,124.0
93,78.0
320,225.0
173,98.0
670,500.0
475,66.0
192,77.0
275,225.0
189,146.0
175,225.0
163,112.0
158,68.0
51,50.0
216,137.0
425,225.0
275,300.0
130,50.5
1125,520.0
174,54.0
210,61.0
325,187.5
325,225.0
44,54.0
825,98.0
120,134.5
63,87.0
575,60.0
132,112.0
375,61.0
154,44.5
350,225.0
90,50.5
278,61.0
179,61.0
175,187.5
300,187.5
96,61.0
45,60.0
68,78.0
210,51.0
77,60.0
400,38.0
62,44.5
170,61.0
450,61.0
120,98.0
84,87.0
425,98.0
133,50.5
250,187.5
725,50.5
375,350.0
208,112.0
300,300.0
450,187.5
219,98.0
147,68.0
213,75.0
95,146.0
53,42.0
174,98.0
400,61.0
175,60.0
319,146.0
135,49.0
243,50.5
138,98.0
132,34.0
109,54.0
184,124.0
400,225.0
98,53.0
125,125.0
96,39.0
150,125.0
248,98.0
98,146.0
135,87.0
400,61.0
36,50.5
196,34.0
78,61.0
145,78.0
175,187.5
200,225.0
90,53.0
650,60.0
163,89.5
450,134.5
825,98.0
78,28.0
400,350.0
400,112.0
182,61.0
150,225.0
475,146.0
252,61.0
240,54.0
125,61.0
450,23.0
600,400.0
124,124.0
79,77.0
85,61.0
1020,133.0
176,146.0
75,38.0
300,187.5
107,61.0
200,225.0
200,34.0
300,300.0
350,61.0
91,89.5
925,78.0
350,300.0
98,98.0
68,23.0
700,61.0
150,50.5
625,146.0
850,146.0
91,50.5
650,225.0
550,225.0
375,50.5
66,66.0
65,65.0
287,112.0
94,34.0
142,34.0
54,34.0
41,89.5
120,98.0
111,54.0
275,300.0
140,87.0
264,98.0
425,50.5
525,133.0
78,61.0
112,68.0
42,51.0
228,44.5
137,50.5
102,87.0
91,87.0
425,61.0
69,87.0
325,50.5
87,49.0
400,146.0
38,38.0
58,61.0
169,87.0
293,134.5
700,61.0
203,49.0
271,87.0
85,44.5
158,134.5
325,225.0
91,50.5
112,98.0
188,98.0
233,50.5
58,77.0
289,34.0
250,250.0
119,61.0
117,50.5
65,61.0
50,133.33333333333334
425,51.0
450,61.0
525,146.0
254,34.0
125,51.0
300,78.0
87,50.5
525,133.0
150,50.0
87,50.5
116,61.0
53,54.0
119,34.0
225,162.5
247,136.0
125,61.0
275,68.0
84,66.0
175,39.0
350,350.0
725,98.0
68,38.0
210,50.5
117,98.0
800,87.0
68,63.0
106,112.0
475,112.0
900,87.0
48,51.0
725,34.0
120,146.0
161,87.0
425,50.5
161,68.0
68,68.0
250,44.5
91,39.0
375,350.0
225,150.0
98,78.0
725,500.0
58,38.0
116,77.0
208,87.0
26,44.0
100,187.5
124,50.0
41,50.0
625,66.0
70,28.0
900,87.0
575,89.5
65,44.5
625,98.0
525,87.0
83,50.0
170,50.5
113,61.0
248,133.0
95,50.5
375,98.0
825,50.5
218,146.0
36,51.0
525,537.5
95,87.0
825,146.0
182,136.0
123,137.0
675,87.0
145,53.0
68,61.0
88,28.0
145,60.0
200,187.5
120,50.5
158,146.0
175,51.0
300,34.0
250,125.0
225,78.0
600,87.0
1075,98.0
56,38.0
200,225.0
275,44.5
122,50.5
200,87.0
56,60.0
128,61.0
950,61.0
450,51.0
122,146.0
325,225.0
700,300.0
31,34.0
54,34.0
425,51.0
90,87.0
126,63.0
700,124.0
173,42.0
275,78.0
36,34.0
147,50.5
75,44.5
142,66.0
217,61.0
775,146.0
800,500.0
145,49.0
175,187.5
550,87.0
189,61.0
91,61.0
575,500.0
300,61.0
520,537.5
500,50.5
116,61.0
215,146.0
196,146.0
44,87.0
175,137.0
135,137.0
150,187.5
275,275.0
65,50.5
300,187.5
350,89.5
38,87.0
47,61.0
150,77.0
525,112.0
98,98.0
143,61.0
1000,87.0
112,61.0
105,66.0
575,61.0
315,63.0
91,112.0
175,61.0
231,146.0
196,146.0
400,187.5
125,137.0
125,87.0
81,34.0
90,39.0
83,50.5
200,51.0
94,87.0
575,78.0
62,60.0
201,124.0
625,98.0
50,34.0
725,47.0
231,98.0
96,61.0
175,187.5
140,54.0
375,98.0
158,50.5
475,124.0
223,50.5
425,47.0
145,50.5
53,44.5
100,100.0
138,61.0
175,34.0
300,225.0
119,61.0
675,61.0
325,50.5
152,60.0
204,50.5
175,187.5
125,112.0
500,500.0
248,61.0
375,61.0
84,78.0
142,77.0
45,50.5
119,34.0
119,50.5
180,50.5
116,134.5
550,61.0
95,98.0
150,133.33333333333334
74,87.0
225,87.0
125,50.5
298,146.0
91,89.5
288,78.0
575,53.0
225,187.5
113,50.0
775,146.0
600,34.0
175,187.5
281,50.5
194,87.0
138,61.0
53,53.0
208,146.0
625,98.0
650,125.0
225,98.0
203,98.0
925,61.0
147,61.0
450,34.0
101,34.0
158,42.0
224,134.5
54,54.0
375,98.0
350,31.0
525,98.0
49,78.0
186,134.5
60,50.5
123,66.0
45,54.0
105,50.5
60,68.0
173,133.0
160,87.0
111,137.0
152,31.0
156,134.5
375,78.0
75,34.0
74,61.0
200,187.5
58,98.0
1025,112.0
128,137.0
91,68.0
825,537.5
233,87.0
111,39.0
150,61.0
182,137.0
400,61.0
224,50.0
125,60.0
198,89.5
725,51.0
675,50.5
117,133.0
140,133.0
232,89.5
233,146.0
300,300.0
700,66.0
113,63.0
194,146.0
44,34.0
800,87.0
109,34.0
182,54.0
225,34.0
83,28.0
160,146.0
270,34.0
263,146.0
375,98.0
350,125.0
250,250.0
165,134.5
147,34.0
61,87.0
65,87.0
200,53.0
149,112.0
143,54.0
575,187.5
68,34.0
400,350.0
104,112.0
775,300.0
131,133.0
128,87.0
99,39.0
53,42.0
150,34.0
175,187.5
140,50.0
98,50.5
225,50.5
152,61.0
56,42.0
176,61.0
101,87.0
525,187.5
500,146.0
51,34.0
189,61.0
40,44.5
325,350.0
74,38.0
145,54.0
250,38.0
350,225.0
50,34.0
169,98.0
475,61.0
75,34.0
900,520.0
875,87.0
94,78.0
63,49.0
400,87.0
181,98.0
248,61.0
261,146.0
149,50.0
575,300.0
215,61.0
182,146.0
850,87.0
225,98.0
49,31.0
176,98.0
111,49.0
69,68.0
520,112.0
149,50.5
450,78.0
525,112.0
38,68.0
650,124.0
99,87.0
525,225.0
101,44.5
149,124.0
175,187.5
400,225.0
206,61.0
51,51.0
950,112.0
125,38.0
155,34.0
775,61.0
169,61.0
875,98.0
200,38.0
