y_real,y_pred_local
52,130.0
275,375.0
206,263.0
155,263.0
182,140.0
182,219.0
375,625.0
65,500.0
175,500.0
725,745.0
250,130.0
50,98.0
650,223.0
231,157.0
475,625.0
138,116.0
105,210.0
925,188.0
311,850.0
350,219.0
125,135.0
252,135.0
120,132.0
25,475.0
98,219.0
300,219.0
100,625.0
500,745.0
250,745.0
300,625.0
203,263.0
575,135.0
80,122.0
275,450.0
275,745.0
75,475.0
70,450.0
221,150.0
202,150.0
325,208.0
317,219.0
1045,500.0
112,745.0
495,850.0
168,263.0
123,104.0
119,157.0
61,136.0
525,400.0
116,219.0
700,150.0
200,625.0
35,135.0
168,210.0
83,450.0
238,263.0
116,135.0
49,400.0
500,130.0
450,130.0
203,150.0
119,150.0
225,750.0
155,362.5
475,625.0
1220,850.0
203,238.0
44,500.0
350,221.0
245,116.0
325,500.0
575,850.0
550,625.0
175,135.0
99,210.0
54,362.5
56,400.0
163,450.0
425,500.0
75,132.0
225,143.0
325,150.0
525,450.0
375,450.0
204,150.0
350,221.0
29,135.0
56,143.0
525,135.0
70,116.0
675,450.0
650,450.0
123,140.0
263,625.0
279,117.0
135,150.0
236,238.0
250,135.0
56,116.0
625,150.0
145,238.0
500,188.0
98,219.0
263,219.0
150,219.0
500,400.0
150,625.0
600,135.0
84,219.0
100,450.0
350,500.0
275,132.0
300,287.5
111,147.0
325,625.0
200,400.0
600,500.0
51,116.0
52,400.0
91,132.0
216,450.0
189,625.0
224,135.0
165,150.0
240,263.0
124,116.0
231,400.0
545,221.0
325,135.0
120,135.0
115,132.0
225,475.0
725,500.0
90,210.0
162,238.0
163,219.0
350,135.0
450,135.0
225,387.5
200,221.0
131,150.0
125,325.0
111,219.0
825,188.0
87,450.0
203,263.0
105,157.0
169,238.0
181,450.0
91,150.0
38,157.0
850,135.0
60,136.0
26,500.0
575,219.0
289,289.0
400,140.0
104,625.0
72,150.0
123,625.0
925,400.0
70,85.0
108,122.0
203,223.0
218,219.0
105,625.0
750,135.0
900,500.0
75,450.0
202,150.0
120,135.0
61,150.0
47,85.0
175,450.0
248,450.0
87,135.0
90,219.0
85,135.0
119,219.0
106,210.0
150,625.0
225,150.0
56,135.0
68,116.0
149,150.0
173,625.0
600,450.0
125,745.0
900,135.0
100,135.0
750,135.0
125,400.0
116,149.0
550,850.0
225,745.0
150,135.0
150,219.0
375,450.0
250,287.5
113,116.0
475,130.0
275,750.0
208,500.0
198,500.0
133,625.0
145,362.5
725,219.0
203,135.0
112,135.0
59,150.0
239,210.0
525,500.0
94,116.0
50,149.0
575,850.0
182,219.0
425,745.0
825,135.0
325,500.0
75,475.0
105,500.0
300,135.0
475,450.0
125,135.0
775,450.0
600,500.0
109,117.0
232,745.0
500,135.0
225,450.0
525,325.0
450,135.0
140,149.0
825,500.0
140,219.0
143,150.0
250,85.0
65,750.0
500,625.0
400,135.0
196,135.0
96,150.0
145,140.0
138,130.0
925,625.0
128,140.0
175,450.0
525,500.0
124,210.0
111,135.0
248,238.0
38,132.0
39,136.0
36,135.0
105,625.0
150,450.0
300,400.0
221,150.0
126,219.0
38,157.0
250,287.5
900,500.0
98,219.0
39,132.0
675,150.0
111,750.0
450,219.0
225,450.0
420,745.0
325,221.0
87,219.0
500,850.0
109,104.0
150,135.0
207,116.0
69,150.0
149,135.0
117,135.0
400,135.0
30,135.0
149,223.0
150,625.0
150,150.0
250,135.0
204,157.0
75,150.0
175,500.0
193,147.0
147,500.0
225,500.0
175,500.0
91,219.0
100,157.0
125,149.0
150,219.0
425,150.0
725,135.0
375,400.0
500,625.0
325,221.0
210,143.0
315,150.0
120,500.0
240,210.0
81,219.0
136,150.0
650,450.0
225,500.0
75,130.0
58,116.0
333,150.0
475,188.0
120,450.0
30,745.0
68,219.0
160,132.0
155,745.0
550,450.0
58,149.0
575,150.0
113,98.0
114,149.0
725,425.0
30,136.0
625,625.0
116,135.0
200,745.0
775,450.0
203,140.0
119,147.0
475,188.0
250,219.0
221,219.0
91,132.0
700,500.0
123,135.0
88,140.0
126,150.0
95,116.0
550,850.0
91,150.0
425,745.0
575,150.0
104,157.0
63,157.0
475,450.0
36,136.0
700,750.0
450,221.0
700,625.0
79,140.0
675,188.0
147,157.0
144,135.0
116,625.0
550,625.0
350,750.0
300,450.0
223,223.0
93,475.0
320,188.0
173,219.0
670,325.0
475,750.0
192,140.0
275,750.0
189,219.0
175,375.0
163,116.0
158,136.0
51,130.0
216,263.0
425,745.0
275,135.0
130,140.0
1125,850.0
174,157.0
210,150.0
325,625.0
325,188.0
44,157.0
825,219.0
120,500.0
63,135.0
575,400.0
132,745.0
375,188.0
154,132.0
350,221.0
90,219.0
278,475.0
179,150.0
175,745.0
300,188.0
96,157.0
45,400.0
68,117.0
210,135.0
77,135.0
400,362.5
62,132.0
170,150.0
450,475.0
120,219.0
84,135.0
425,188.0
133,149.0
250,500.0
725,188.0
375,188.0
208,263.0
300,135.0
450,475.0
219,625.0
147,147.0
213,150.0
95,219.0
53,117.0
174,625.0
400,219.0
175,400.0
319,219.0
135,122.0
243,450.0
138,625.0
132,135.0
109,157.0
184,223.0
400,221.0
98,130.0
125,450.0
96,157.0
150,375.0
248,625.0
98,850.0
135,135.0
400,150.0
36,500.0
196,149.0
78,150.0
145,116.0
175,745.0
200,745.0
90,130.0
650,400.0
163,500.0
450,500.0
825,188.0
78,85.0
400,625.0
400,745.0
182,475.0
150,475.0
475,850.0
252,157.0
240,157.0
125,150.0
450,116.0
600,750.0
