y_real,y_pred_local
52,223.0
275,475.0
206,180.0
155,180.0
182,192.0
182,192.0
375,194.0
65,192.0
175,192.0
725,180.0
250,223.0
50,111.0
650,209.0
231,128.0
475,194.0
138,192.0
105,192.0
925,162.0
311,194.0
350,192.0
125,168.0
252,168.0
120,111.0
25,475.0
98,194.0
300,192.0
100,194.0
500,325.0
250,180.0
300,194.0
203,180.0
575,168.0
80,166.0
275,162.0
275,325.0
75,192.0
70,168.0
221,180.0
202,180.0
325,625.0
317,192.0
1045,192.0
112,180.0
495,194.0
168,180.0
123,111.0
119,128.0
61,111.0
525,325.0
116,192.0
700,180.0
200,194.0
35,168.0
168,192.0
83,168.0
238,180.0
116,168.0
49,168.0
500,209.0
450,223.0
203,180.0
119,180.0
225,192.0
155,111.0
475,162.0
1220,194.0
203,166.0
44,192.0
350,162.0
245,192.0
325,325.0
575,162.0
550,131.0
175,168.0
99,168.0
54,111.0
56,168.0
163,168.0
425,325.0
75,111.0
225,192.0
325,180.0
525,168.0
375,168.0
204,180.0
350,162.0
29,168.0
56,192.0
525,162.0
70,168.0
675,192.0
650,168.0
123,166.0
263,194.0
279,168.0
135,180.0
236,180.0
250,325.0
56,192.0
625,180.0
145,180.0
500,162.0
98,194.0
263,192.0
150,192.0
500,168.0
150,194.0
600,168.0
84,192.0
100,162.0
350,192.0
275,111.0
300,675.0
111,166.0
325,162.0
200,325.0
600,192.0
51,168.0
52,168.0
91,111.0
216,168.0
189,194.0
224,168.0
165,180.0
240,180.0
124,166.0
231,168.0
545,162.0
325,162.0
120,168.0
115,111.0
225,325.0
725,192.0
90,192.0
162,166.0
163,194.0
350,325.0
450,162.0
225,625.0
200,162.0
131,180.0
125,600.0
111,194.0
825,194.0
87,192.0
203,180.0
105,128.0
169,166.0
181,168.0
91,180.0
38,128.0
850,168.0
60,128.0
26,192.0
575,192.0
289,192.0
400,166.0
104,194.0
72,180.0
123,194.0
925,168.0
70,223.0
108,209.0
203,166.0
218,192.0
105,194.0
750,168.0
900,192.0
75,168.0
202,180.0
120,168.0
61,180.0
47,223.0
175,168.0
248,168.0
87,168.0
90,194.0
85,168.0
119,192.0
106,168.0
150,194.0
225,180.0
56,168.0
68,192.0
149,180.0
173,194.0
600,162.0
125,325.0
900,168.0
100,162.0
750,168.0
125,168.0
116,180.0
550,162.0
225,180.0
150,325.0
150,192.0
375,168.0
250,675.0
113,166.0
475,128.0
275,192.0
208,192.0
198,192.0
133,194.0
145,111.0
725,192.0
203,168.0
112,168.0
59,180.0
239,192.0
525,325.0
94,168.0
50,180.0
575,162.0
182,192.0
425,180.0
825,168.0
325,192.0
75,475.0
105,192.0
300,162.0
475,625.0
125,168.0
775,131.0
600,192.0
109,168.0
232,180.0
500,325.0
225,325.0
525,600.0
450,325.0
140,180.0
825,192.0
140,192.0
143,180.0
250,223.0
65,192.0
500,162.0
400,162.0
196,168.0
96,180.0
145,166.0
138,162.0
925,194.0
128,180.0
175,325.0
525,192.0
124,168.0
111,168.0
248,166.0
38,111.0
39,128.0
36,168.0
105,194.0
150,162.0
300,168.0
221,180.0
126,192.0
38,128.0
250,675.0
900,192.0
98,192.0
39,111.0
675,180.0
111,192.0
450,192.0
225,168.0
420,180.0
325,162.0
87,192.0
500,194.0
109,111.0
150,168.0
207,192.0
69,180.0
149,168.0
117,168.0
400,168.0
30,168.0
149,166.0
150,194.0
150,180.0
250,162.0
