y_real,y_pred_local
52,263.0
275,1000.0
206,327.5
155,300.0
182,251.0
182,313.0
375,305.0
65,251.0
175,317.0
725,300.0
250,263.0
50,261.0
650,300.0
231,305.0
475,1050.0
138,243.0
105,257.0
925,1000.0
311,319.0
350,931.25
125,879.1666666666666
252,270.0
120,384.0
25,1000.0
98,290.0
300,966.6666666666666
100,305.0
500,1000.0
250,320.0
300,1050.0
203,300.0
575,879.1666666666666
80,261.0
275,900.0
275,1000.0
75,262.0
70,237.5
221,384.0
202,243.0
325,1000.0
317,317.0
1045,317.0
112,320.0
495,319.0
168,300.0
123,380.0
119,305.0
61,380.0
525,850.0
116,290.0
700,261.0
200,1050.0
35,247.0
168,320.0
83,237.5
238,300.0
116,280.0
49,261.0
500,314.0
450,263.0
203,333.0
119,243.0
225,320.0
155,300.3333333333333
475,1000.0
1220,1248.75
203,380.0
44,251.0
350,1000.0
245,300.0
325,1000.0
575,1225.0
550,1000.0
175,879.1666666666666
99,329.0
54,300.3333333333333
56,278.0
163,237.5
425,1000.0
75,261.0
225,249.5
325,243.0
525,879.1666666666666
375,237.5
204,380.0
350,1000.0
29,215.0
56,249.5
525,1000.0
70,261.0
675,206.0
650,879.1666666666666
123,380.0
263,305.0
279,300.3333333333333
135,243.0
236,380.0
250,1000.0
56,243.0
625,315.0
145,300.0
500,1000.0
98,290.0
263,317.0
150,317.0
500,288.0
150,305.0
600,908.3333333333334
84,290.0
100,900.0
350,290.0
275,261.0
300,1000.0
111,380.0
325,1000.0
200,850.0
600,317.0
51,261.0
52,261.0
91,320.0
216,270.0
189,305.0
224,259.0
165,380.0
240,380.0
124,264.5
231,329.0
545,1225.0
325,1000.0
120,259.0
115,261.0
225,850.0
725,317.0
90,257.0
162,380.0
163,325.0
350,1000.0
450,1000.0
225,1000.0
200,1000.0
131,243.0
125,1000.0
111,290.0
825,290.0
87,206.0
203,300.0
105,336.5
169,300.0
181,270.0
91,261.0
38,305.0
850,993.75
60,263.0
26,290.0
575,290.0
289,400.0
400,261.0
104,305.0
72,261.0
123,305.0
925,329.0
70,264.5
108,261.0
203,380.0
218,290.0
105,305.0
750,993.75
900,931.25
75,237.5
202,327.5
120,243.0
61,380.0
47,264.5
175,879.1666666666666
248,993.75
87,243.0
90,290.0
85,329.0
119,290.0
106,261.0
150,305.0
225,315.0
56,243.0
68,243.0
149,243.0
173,305.0
600,1000.0
125,1000.0
900,908.3333333333334
100,900.0
750,259.0
125,261.0
116,270.0
550,1225.0
225,243.0
150,900.0
150,290.0
375,879.1666666666666
250,1000.0
113,243.0
475,263.0
275,320.0
208,336.0
198,352.0
133,305.0
145,300.3333333333333
725,290.0
203,259.0
112,259.0
59,243.0
239,320.0
525,1225.0
94,329.0
50,264.5
575,1225.0
182,317.0
425,243.0
825,993.75
325,290.0
75,1000.0
105,262.0
300,1000.0
475,900.0
125,879.1666666666666
775,1000.0
600,290.0
109,261.0
232,390.0
500,900.0
225,850.0
525,1000.0
450,1000.0
140,243.0
825,1210.0
140,966.6666666666666
143,243.0
250,243.0
65,260.0
500,1000.0
400,1000.0
196,243.0
96,380.0
145,261.0
138,263.0
925,305.0
128,380.0
175,850.0
525,290.0
124,329.0
111,270.0
248,380.0
38,261.0
39,315.0
36,259.0
105,305.0
150,900.0
300,288.0
221,320.0
126,290.0
38,263.0
250,1000.0
900,893.75
98,290.0
39,320.0
675,380.0
111,300.0
450,290.0
225,237.5
420,390.0
325,1000.0
87,290.0
500,319.0
109,380.0
150,908.3333333333334
207,300.0
69,243.0
149,329.0
117,243.0
400,243.0
30,237.0
149,380.0
150,305.0
150,380.0
250,900.0
204,305.0
75,243.0
175,893.75
193,380.0
147,317.0
225,1000.0
175,893.75
91,290.0
100,295.0
125,243.0
150,290.0
425,261.0
725,259.0
375,850.0
500,305.0
325,1000.0
210,249.5
315,315.0
120,251.0
240,281.0
81,290.0
136,320.0
650,270.0
225,966.6666666666666
75,314.0
58,243.0
333,333.0
475,1000.0
120,237.5
30,933.3333333333334
68,290.0
160,327.5
155,324.0
550,900.0
58,243.0
575,261.0
113,243.0
114,289.0
725,1000.0
30,243.0
625,1000.0
116,287.5
200,1000.0
775,237.5
203,290.0
119,380.0
475,1050.0
250,893.75
221,325.0
91,261.0
700,966.6666666666666
123,879.1666666666666
88,380.0
126,261.0
95,243.0
550,1248.75
91,261.0
425,324.0
575,243.0
104,263.0
63,263.0
475,237.5
36,243.0
700,238.0
450,1000.0
700,305.0
79,352.0
675,290.0
147,288.0
144,259.0
116,305.0
550,1000.0
350,850.0
300,993.75
223,380.0
93,329.0
320,1000.0
173,966.6666666666666
670,1000.0
475,320.0
192,380.0
275,850.0
189,317.0
175,1000.0
163,300.0
158,380.0
51,263.0
216,300.0
425,1000.0
275,1000.0
130,251.0
1125,1225.0
174,263.0
210,380.0
325,1000.0
325,1000.0
44,263.0
825,966.6666666666666
120,400.0
63,247.0
575,288.0
132,390.0
375,1050.0
154,261.0
350,1000.0
90,290.0
278,262.0
179,380.0
175,1000.0
300,1000.0
96,305.0
45,261.0
68,329.0
210,243.0
77,247.0
400,261.0
62,384.0
170,380.0
450,257.0
120,966.6666666666666
84,259.0
425,290.0
133,243.0
250,1000.0
725,1050.0
375,1000.0
208,300.0
300,1000.0
450,1000.0
219,305.0
147,380.0
213,380.0
95,313.0
53,261.0
174,305.0
400,290.0
175,261.0
319,319.0
135,380.0
243,236.5
138,305.0
132,879.1666666666666
109,336.5
184,380.0
400,1000.0
98,263.0
125,900.0
96,295.0
150,1000.0
248,1050.0
98,319.0
135,287.5
400,243.0
36,251.0
196,248.0
78,243.0
145,261.0
175,1000.0
200,1000.0
90,314.0
650,288.0
163,290.0
450,1210.0
825,290.0
78,264.5
400,1000.0
400,390.0
182,262.0
150,1000.0
475,1248.75
252,249.5
240,336.5
125,243.0
450,243.0
600,850.0
124,380.0
79,380.0
85,257.0
1020,300.0
176,319.0
75,264.5
300,1000.0
107,380.0
200,1000.0
200,879.1666666666666
300,850.0
350,257.0
91,238.0
925,329.0
350,1000.0
98,305.0
68,264.5
700,931.25
150,1050.0
625,319.0
850,319.0
91,290.0
650,1000.0
550,1000.0
375,290.0
66,352.0
65,263.0
287,390.0
94,289.0
142,243.0
54,237.0
41,290.0
120,286.0
111,336.5
275,850.0
140,270.0
264,966.6666666666666
425,816.6666666666666
525,315.0
78,933.3333333333334
112,243.0
42,243.0
228,315.0
137,251.0
102,329.0
91,247.0
425,243.0
69,270.0
325,1050.0
87,263.0
400,1248.75
38,261.0
58,249.5
169,247.0
293,317.0
700,336.5
203,380.0
271,329.0
85,261.0
