y_real,y_pred_local
52,100.0
275,7.0
206,370.0
155,475.0
182,150.0
182,450.0
375,200.0
65,150.0
175,450.0
725,370.0
250,100.0
50,75.0
650,475.0
231,200.0
475,150.0
138,150.0
105,200.0
925,65.0
311,450.0
350,200.0
125,87.5
252,275.0
120,75.0
25,19.666666666666668
98,200.0
300,200.0
100,200.0
500,38.0
250,150.0
300,200.0
203,475.0
575,87.5
80,150.0
275,27.0
275,38.0
75,200.0
70,87.5
221,137.5
202,150.0
325,25.0
317,450.0
1045,450.0
112,150.0
495,450.0
168,475.0
123,75.0
119,200.0
61,75.0
525,80.0
116,150.0
700,137.5
200,200.0
35,120.0
168,212.5
83,87.5
238,475.0
116,120.0
49,120.0
500,100.0
450,100.0
203,150.0
119,181.25
225,212.5
155,62.5
475,65.0
1220,450.0
203,475.0
44,150.0
350,65.0
245,370.0
325,88.0
575,117.0
550,38.0
175,87.5
99,275.0
54,62.5
56,120.0
163,87.5
425,88.0
75,62.5
225,200.0
325,181.25
525,87.5
375,87.5
204,181.25
350,65.0
29,87.5
56,200.0
525,80.0
70,193.75
675,150.0
650,87.5
123,150.0
263,200.0
279,120.0
135,181.25
236,475.0
250,80.0
56,150.0
625,137.5
145,475.0
500,65.0
98,150.0
263,450.0
150,450.0
500,120.0
150,200.0
600,275.0
84,150.0
100,27.0
350,200.0
275,75.0
300,23.0
111,181.25
325,65.0
200,26.0
600,450.0
51,62.5
52,120.0
91,62.5
216,275.0
189,200.0
224,275.0
165,150.0
240,475.0
124,75.0
231,275.0
545,117.0
325,80.0
120,275.0
115,62.5
225,60.0
725,450.0
90,200.0
162,475.0
163,450.0
350,80.0
450,80.0
225,41.0
200,60.0
131,181.25
125,63.0
111,150.0
825,200.0
87,150.0
203,475.0
105,117.5
169,475.0
181,275.0
91,150.0
38,200.0
850,275.0
60,117.5
26,150.0
575,200.0
289,490.0
400,150.0
104,200.0
72,150.0
123,200.0
925,275.0
70,75.0
108,150.0
203,475.0
218,200.0
105,200.0
750,275.0
900,200.0
75,87.5
202,137.5
120,87.5
61,150.0
47,75.0
175,87.5
248,275.0
87,87.5
90,150.0
85,275.0
119,200.0
106,275.0
150,200.0
225,137.5
56,87.5
68,150.0
149,181.25
173,200.0
600,80.0
125,60.0
900,275.0
100,27.0
750,275.0
125,120.0
116,66.66666666666667
550,117.0
225,150.0
150,27.0
150,150.0
375,87.5
250,25.0
113,75.0
475,125.0
275,212.5
208,450.0
198,337.5
133,200.0
145,62.5
725,200.0
203,275.0
112,275.0
59,181.25
239,212.5
525,117.0
94,193.75
50,79.16666666666667
575,117.0
182,450.0
425,150.0
825,275.0
325,150.0
75,19.666666666666668
105,200.0
300,80.0
475,27.0
125,87.5
775,80.0
600,200.0
109,275.0
232,370.0
500,27.0
225,38.0
525,107.0
450,80.0
140,150.0
825,450.0
140,200.0
143,181.25
250,75.0
65,212.5
500,38.0
400,80.0
196,87.5
96,181.25
145,150.0
138,125.0
925,200.0
128,150.0
175,38.0
525,200.0
124,275.0
111,275.0
248,475.0
38,62.5
39,117.5
36,87.5
105,200.0
150,27.0
300,120.0
221,137.5
126,200.0
38,162.5
250,64.0
900,150.0
98,337.5
39,62.5
675,150.0
111,490.0
450,150.0
225,87.5
420,370.0
325,38.0
87,150.0
500,450.0
109,75.0
150,275.0
207,370.0
69,181.25
149,275.0
117,87.5
400,87.5
30,87.5
149,475.0
150,200.0
150,150.0
250,27.0
204,162.5
75,181.25
175,150.0
193,181.25
147,450.0
225,60.0
175,150.0
91,200.0
100,162.5
125,66.66666666666667
150,200.0
425,137.5
725,275.0
375,80.0
500,200.0
325,38.0
210,200.0
315,137.5
120,150.0
240,120.0
81,200.0
136,137.5
650,275.0
225,337.5
75,125.0
58,150.0
333,150.0
475,65.0
120,87.5
30,200.0
68,150.0
160,62.5
155,150.0
550,27.0
58,150.0
575,150.0
113,75.0
114,66.66666666666667
725,63.0
30,79.16666666666667
625,65.0
116,275.0
200,38.0
775,87.5
203,337.5
119,181.25
475,200.0
250,150.0
221,450.0
91,62.5
700,337.5
123,87.5
88,150.0
126,150.0
95,150.0
550,450.0
91,193.75
425,150.0
575,181.25
104,162.5
63,162.5
475,87.5
36,79.16666666666667
700,212.5
450,65.0
700,200.0
79,337.5
675,200.0
147,162.5
144,275.0
116,200.0
550,38.0
350,53.5
300,275.0
223,475.0
93,193.75
320,60.0
173,200.0
670,107.0
475,212.5
192,150.0
275,53.5
189,450.0
175,39.0
163,370.0
158,181.25
51,125.0
216,475.0
425,60.0
275,80.0
130,150.0
1125,117.0
174,162.5
210,181.25
325,38.0
325,60.0
44,162.5
825,200.0
120,450.0
63,275.0
575,120.0
132,370.0
375,200.0
154,62.5
350,60.0
90,150.0
278,200.0
179,181.25
175,38.0
300,38.0
96,200.0
45,120.0
68,275.0
210,87.5
77,120.0
400,62.5
62,75.0
170,181.25
450,200.0
120,200.0
84,275.0
425,200.0
133,66.66666666666667
250,38.0
725,150.0
375,65.0
208,370.0
300,80.0
450,26.0
219,200.0
147,181.25
213,137.5
95,450.0
53,120.0
174,200.0
400,200.0
175,120.0
319,450.0
135,150.0
243,150.0
138,200.0
132,87.5
109,162.5
184,475.0
400,60.0
98,100.0
125,27.0
96,162.5
150,7.0
248,200.0
98,450.0
135,275.0
400,181.25
36,150.0
196,79.16666666666667
78,150.0
145,193.75
175,38.0
200,60.0
90,100.0
650,120.0
163,337.5
450,450.0
825,200.0
78,75.0
400,65.0
400,370.0
182,200.0
150,26.0
475,450.0
252,200.0
240,162.5
125,181.25
450,75.0
600,118.0
124,475.0
79,150.0
85,200.0
1020,475.0
176,450.0
75,75.0
300,38.0
107,181.25
200,26.0
200,87.5
300,80.0
350,200.0
91,337.5
925,193.75
350,80.0
98,200.0
68,79.16666666666667
700,200.0
150,150.0
625,450.0
850,450.0
91,150.0
650,60.0
550,39.0
