y_real,y_pred_local
52,111.0
275,63.0
206,184.0
155,170.0
182,107.0
182,625.0
375,405.0
65,111.0
175,497.6
725,195.5
250,111.0
50,51.0
650,160.0
231,157.0
475,405.0
138,120.0
105,98.0
925,391.6666666666667
311,625.0
350,430.0
125,259.375
252,418.75
120,51.0
25,63.0
98,430.0
300,111.0
100,405.0
500,225.0
250,195.5
300,94.0
203,170.0
575,39.0
80,160.0
275,400.0
275,225.0
75,151.5
70,400.0
221,201.0
202,88.0
325,63.0
317,625.0
1045,497.6
112,195.5
495,625.0
168,150.0
123,51.0
119,157.0
61,51.0
525,161.0
116,400.0
700,189.0
200,94.0
35,136.0
168,132.0
83,400.0
238,194.0
116,136.0
49,136.0
500,111.0
450,111.0
203,140.0
119,116.0
225,341.6666666666667
155,145.0
475,405.0
1220,625.0
203,160.0
44,111.0
350,111.0
245,194.0
325,325.0
575,625.0
550,405.0
175,259.375
99,194.0
54,145.0
56,136.0
163,400.0
425,325.0
75,51.0
225,139.5
325,116.0
525,400.0
375,400.0
204,116.0
350,111.0
29,259.375
56,139.5
525,418.75
70,194.0
675,341.6666666666667
650,400.0
123,160.0
263,94.0
279,59.5
135,116.0
236,160.0
250,452.8333333333333
56,120.0
625,189.0
145,160.0
500,391.6666666666667
98,400.0
263,497.6
150,497.6
500,136.0
150,405.0
600,452.8333333333333
84,112.0
100,116.0
350,190.66666666666666
275,51.0
300,63.0
111,116.0
325,94.0
200,150.0
600,497.6
51,83.5
52,136.0
91,51.0
216,575.0
189,405.0
224,175.0
165,150.0
240,150.0
124,68.0
231,190.0
545,625.0
325,418.75
120,452.8333333333333
115,62.0
225,375.0
725,497.6
90,98.0
162,160.0
163,625.0
350,452.8333333333333
450,418.75
225,160.0
200,430.0
131,116.0
125,189.0
111,400.0
825,430.0
87,341.6666666666667
203,194.0
105,111.0
169,160.0
181,575.0
91,160.0
38,136.0
850,418.75
60,111.0
26,300.0
575,430.0
289,190.0
400,160.0
104,94.0
72,150.0
123,108.5
925,161.0
70,68.0
108,160.0
203,160.0
218,111.0
105,405.0
750,418.75
900,190.66666666666666
75,400.0
202,90.0
120,78.0
61,150.0
47,68.0
175,400.0
248,575.0
87,63.0
90,400.0
85,190.0
119,102.0
106,194.0
150,405.0
225,189.0
56,39.0
68,120.0
149,107.0
173,108.5
600,575.0
125,157.0
900,452.8333333333333
100,259.375
750,452.8333333333333
125,136.0
116,113.0
550,625.0
225,78.0
150,39.0
150,112.0
375,400.0
250,111.0
113,68.0
475,111.0
275,341.6666666666667
208,196.0
198,111.0
133,98.0
145,145.0
725,430.0
203,175.0
112,138.0
59,107.0
239,132.0
525,497.6
94,194.0
50,102.0
575,625.0
182,625.0
425,78.0
825,418.75
325,300.0
75,63.0
105,111.0
300,418.75
475,400.0
125,259.375
775,575.0
600,190.66666666666666
109,194.0
232,195.5
500,39.0
225,341.6666666666667
525,189.0
450,452.8333333333333
140,86.5
825,497.6
140,124.0
143,116.0
250,68.0
65,151.5
500,94.0
400,418.75
196,128.0
96,116.0
145,160.0
138,111.0
925,405.0
128,160.0
175,341.6666666666667
525,190.66666666666666
124,194.0
111,161.0
248,160.0
38,62.0
39,111.0
36,39.0
105,108.5
150,116.0
300,136.0
221,129.5
126,430.0
38,136.0
250,116.0
900,300.0
98,135.5
39,51.0
675,160.0
111,550.0
450,400.0
225,400.0
420,195.5
325,400.0
87,112.0
500,625.0
109,51.0
150,452.8333333333333
207,194.0
69,116.0
149,190.0
117,128.0
400,259.375
30,116.0
149,160.0
150,405.0
150,160.0
250,259.375
204,136.0
75,107.0
175,300.0
193,116.0
147,497.6
225,190.66666666666666
175,300.0
91,124.0
100,145.0
125,113.0
150,430.0
425,189.0
725,452.8333333333333
375,161.0
500,405.0
325,400.0
210,139.5
315,189.0
120,111.0
240,93.5
81,124.0
136,129.5
650,575.0
225,325.0
75,111.0
58,120.0
333,140.0
475,391.6666666666667
120,400.0
30,157.0
68,112.0
160,62.0
155,78.0
550,116.0
58,86.5
575,160.0
113,68.0
114,120.0
725,145.0
30,68.0
625,405.0
116,101.5
200,225.0
775,400.0
203,131.0
119,116.0
475,391.6666666666667
250,400.0
221,625.0
91,62.0
700,325.0
123,39.0
88,160.0
126,150.0
95,132.0
550,625.0
91,139.5
425,78.0
575,107.0
104,136.0
63,136.0
475,400.0
36,68.0
700,341.6666666666667
450,111.0
700,405.0
79,131.0
675,430.0
147,136.0
144,452.8333333333333
116,405.0
550,405.0
350,341.6666666666667
300,575.0
223,160.0
93,163.0
320,430.0
173,102.0
670,189.0
475,341.6666666666667
192,160.0
275,341.6666666666667
189,625.0
175,107.0
163,194.0
158,116.0
51,111.0
216,150.0
425,157.0
275,418.75
130,107.0
1125,625.0
174,124.0
210,116.0
325,94.0
325,430.0
44,124.0
825,111.0
120,196.0
63,190.0
575,136.0
132,195.5
375,430.0
154,51.0
350,430.0
90,400.0
278,151.5
179,116.0
175,225.0
300,400.0
96,157.0
45,136.0
68,194.0
210,39.0
77,136.0
400,145.0
62,51.0
170,116.0
450,375.0
120,124.0
84,452.8333333333333
425,391.6666666666667
133,113.0
250,300.0
725,400.0
375,391.6666666666667
208,184.0
300,452.8333333333333
450,111.0
219,405.0
147,116.0
213,194.0
95,625.0
53,59.5
174,405.0
400,430.0
175,136.0
319,625.0
135,160.0
243,151.5
138,94.0
132,116.0
109,124.0
184,160.0
400,430.0
98,111.0
125,116.0
96,145.0
150,63.0
248,405.0
98,625.0
135,138.0
400,107.0
36,111.0
196,102.0
78,88.0
145,194.0
175,225.0
200,157.0
90,111.0
650,136.0
163,325.0
450,497.6
825,391.6666666666667
78,68.0
400,405.0
400,195.5
182,151.5
150,500.0
475,625.0
252,157.0
240,124.0
125,116.0
450,68.0
600,550.0
124,160.0
79,160.0
85,123.0
1020,189.0
176,625.0
75,68.0
300,400.0
107,116.0
200,500.0
200,400.0
300,161.0
350,375.0
91,111.0
925,163.0
350,452.8333333333333
98,98.0
68,68.0
700,430.0
150,94.0
625,625.0
850,625.0
91,135.5
650,405.0
550,107.0
375,400.0
66,107.0
65,111.0
287,195.5
94,120.0
142,78.0
54,116.0
41,135.5
120,391.6666666666667
111,111.0
275,161.0
140,101.5
264,102.0
425,341.6666666666667
525,189.0
78,123.0
112,116.0
42,63.0
228,51.0
137,107.0
102,194.0
91,190.0
425,116.0
69,575.0
325,400.0
87,111.0
400,625.0
38,83.5
58,123.0
169,190.0
293,497.6
700,107.0
203,160.0
271,194.0
85,51.0
158,497.6
325,500.0
91,120.0
112,102.0
188,102.0
233,120.0
58,160.0
289,102.0
250,116.0
119,139.5
117,400.0
65,157.0
50,63.0
425,39.0
450,190.66666666666666
525,625.0
254,400.0
125,39.0
300,163.0
87,86.5
525,189.0
150,111.0
87,113.0
116,132.0
53,111.0
119,120.0
225,44.0
247,160.0
125,430.0
275,116.0
84,107.0
175,145.0
350,94.0
725,405.0
68,62.0
210,113.0
117,405.0
800,161.0
68,189.0
106,194.0
475,550.0
900,575.0
48,63.0
725,400.0
120,625.0
161,161.0
425,300.0
161,116.0
68,136.0
250,51.0
91,51.0
375,94.0
225,44.0
98,194.0
725,189.0
58,83.5
116,160.0
208,194.0
26,68.0
100,111.0
124,111.0
41,111.0
625,341.6666666666667
70,68.0
900,575.0
575,325.0
65,51.0
625,405.0
525,452.8333333333333
83,111.0
170,107.0
113,107.0
248,201.0
95,400.0
375,111.0
825,341.6666666666667
218,625.0
36,39.0
525,497.6
95,190.0
825,625.0
182,160.0
123,160.0
675,452.8333333333333
145,111.0
68,116.0
88,68.0
145,136.0
200,111.0
120,120.0
158,625.0
175,39.0
300,259.375
250,63.0
225,194.0
600,575.0
1075,94.0
56,83.5
200,500.0
275,51.0
122,113.0
200,418.75
56,136.0
128,132.0
950,190.66666666666666
450,39.0
122,625.0
325,350.0
700,575.0
31,116.0
54,116.0
425,39.0
90,175.0
126,139.5
700,160.0
173,59.5
275,163.0
36,128.0
147,98.0
75,51.0
142,132.0
217,190.66666666666666
775,625.0
800,189.0
145,111.0
175,341.6666666666667
550,575.0
189,131.0
91,98.0
575,500.0
300,375.0
520,497.6
500,300.0
116,430.0
215,625.0
196,625.0
44,190.0
175,194.0
135,150.0
150,225.0
275,160.0
65,120.0
300,300.0
350,325.0
38,190.0
47,123.0
150,160.0
525,195.5
98,98.0
143,108.5
1000,418.75
112,190.66666666666666
105,341.6666666666667
575,430.0
315,189.0
91,190.0
175,430.0
231,625.0
196,625.0
400,225.0
125,150.0
125,161.0
81,400.0
90,51.0
83,107.0
200,39.0
94,190.0
575,163.0
62,136.0
201,160.0
625,111.0
50,116.0
725,160.0
231,405.0
96,430.0
175,111.0
140,111.0
375,391.6666666666667
158,120.0
475,160.0
223,120.0
425,160.0
145,113.0
53,51.0
100,63.0
138,112.0
175,116.0
300,350.0
119,430.0
675,107.0
325,400.0
152,136.0
204,113.0
175,39.0
125,190.0
500,160.0
248,135.5
375,375.0
84,194.0
142,160.0
45,120.0
119,400.0
119,93.0
180,405.0
116,196.0
550,430.0
95,108.5
150,63.0
74,101.5
225,575.0
125,405.0
298,625.0
91,135.5
288,194.0
575,111.0
225,341.6666666666667
113,111.0
775,625.0
600,116.0
175,39.0
281,113.0
194,101.5
138,116.0
53,111.0
208,625.0
625,94.0
650,400.0
225,102.0
203,405.0
925,430.0
147,375.0
450,259.375
101,102.0
158,59.5
224,497.6
54,124.0
375,405.0
350,113.0
525,405.0
49,194.0
186,190.0
60,86.5
123,132.0
45,111.0
105,120.0
60,136.0
173,184.0
160,175.0
111,150.0
152,120.0
156,196.0
375,163.0
75,120.0
74,116.0
200,259.375
58,124.0
1025,195.5
128,194.0
91,116.0
825,625.0
233,101.5
111,51.0
150,107.0
182,160.0
400,157.0
224,111.0
125,136.0
198,325.0
725,39.0
675,341.6666666666667
117,184.0
140,184.0
232,124.0
233,625.0
300,452.8333333333333
700,341.6666666666667
113,90.0
194,625.0
44,116.0
800,161.0
109,102.0
182,111.0
225,128.0
83,68.0
160,625.0
270,68.0
263,625.0
375,111.0
350,400.0
250,189.0
165,190.0
147,400.0
61,194.0
65,138.0
200,111.0
149,184.0
143,111.0
575,400.0
68,116.0
400,111.0
104,194.0
775,418.75
131,201.0
128,175.0
99,145.0
53,93.5
150,102.0
175,39.0
140,111.0
98,120.0
225,78.0
152,430.0
56,59.5
176,98.0
101,138.0
525,225.0
500,625.0
51,400.0
189,405.0
40,51.0
325,111.0
74,62.0
145,111.0
250,145.0
350,430.0
50,259.375
169,124.0
475,116.0
75,116.0
900,625.0
875,575.0
94,194.0
63,111.0
400,575.0
181,405.0
248,140.0
261,625.0
149,111.0
575,575.0
215,112.0
182,625.0
850,161.0
225,102.0
49,120.0
176,391.6666666666667
111,111.0
69,116.0
520,550.0
149,405.0
450,163.0
525,550.0
38,136.0
650,160.0
99,194.0
525,107.0
101,51.0
149,160.0
175,111.0
400,341.6666666666667
206,98.0
51,39.0
950,550.0
125,68.0
155,116.0
775,195.5
169,98.0
875,405.0
200,68.0
62,59.5
275,160.0
275,160.0
149,625.0
500,575.0
86,112.0
178,160.0
300,341.6666666666667
116,59.5
350,400.0
173,400.0
210,136.0
33,102.0
350,189.0
293,107.0
575,625.0
58,59.5
325,350.0
275,39.0
192,68.0
175,400.0
105,145.0
131,120.0
600,400.0
1075,625.0
94,108.5
150,39.0
300,111.0
255,625.0
75,190.0
250,157.0
825,452.8333333333333
124,111.0
25,111.0
275,300.0
725,116.0
34,51.0
675,625.0
65,136.0
250,300.0
175,39.0
223,107.0
85,194.0
420,190.0
225,375.0
248,135.5
625,497.6
195,194.0
425,113.0
158,107.0
111,68.0
179,111.0
34,68.0
1000,157.0
131,160.0
122,196.0
168,575.0
95,151.5
232,107.0
450,405.0
675,189.0
675,497.6
600,195.5
210,175.0
145,116.0
136,625.0
263,150.0
475,341.6666666666667
203,160.0
350,51.0
152,116.0
175,39.0
825,341.6666666666667
163,405.0
0,120.0
233,497.6
225,350.0
550,405.0
26,136.0
196,625.0
125,63.0
34,68.0
41,160.0
275,400.0
102,575.0
59,39.0
47,259.375
325,94.0
175,400.0
181,107.0
106,136.0
200,225.0
194,116.0
225,111.0
80,120.0
56,151.5
240,111.0
181,175.0
725,157.0
625,391.6666666666667
160,124.0
225,68.0
38,63.0
130,116.0
225,116.0
625,391.6666666666667
65,111.0
975,190.66666666666666
247,160.0
500,163.0
60,93.5
147,194.0
142,391.6666666666667
470,497.6
275,400.0
20,68.0
112,139.5
109,160.0
325,400.0
200,107.0
425,161.0
231,112.0
27,93.0
51,120.0
50,39.0
44,39.0
278,136.0
200,68.0
68,111.0
105,184.0
225,418.75
81,194.0
500,405.0
131,68.0
173,194.0
72,59.5
256,160.0
400,400.0
65,116.0
700,145.0
81,116.0
275,190.66666666666666
109,151.5
69,107.0
400,94.0
74,111.0
210,93.0
150,51.0
209,194.0
91,116.0
800,341.6666666666667
275,145.0
225,259.375
600,190.66666666666666
150,259.375
240,194.0
175,189.0
113,111.0
675,160.0
101,123.0
375,111.0
425,400.0
145,150.0
350,107.0
116,116.0
136,111.0
225,157.0
187,194.0
264,139.5
54,190.0
109,194.0
90,194.0
150,400.0
975,375.0
134,625.0
58,83.5
98,68.0
272,88.0
206,497.6
47,124.0
250,116.0
167,190.0
105,120.0
74,160.0
128,135.5
225,107.0
190,120.0
65,111.0
625,430.0
116,116.0
825,195.5
189,625.0
575,375.0
202,108.5
90,195.5
272,190.0
160,120.0
100,145.0
450,405.0
350,160.0
250,350.0
250,151.5
77,145.0
194,160.0
145,194.0
100,63.0
475,405.0
374,111.0
111,111.0
325,405.0
215,190.0
83,131.0
425,400.0
123,151.5
140,140.0
70,116.0
200,400.0
73,131.0
259,575.0
94,83.5
83,123.0
200,400.0
475,145.0
52,39.0
150,63.0
275,405.0
42,83.5
250,116.0
167,170.0
600,405.0
233,160.0
425,575.0
138,575.0
800,94.0
225,325.0
72,140.0
124,140.0
156,138.0
500,550.0
184,160.0
137,98.0
300,430.0
245,391.6666666666667
250,500.0
238,194.0
94,405.0
300,163.0
600,136.0
153,160.0
273,101.5
69,175.0
74,62.0
120,190.0
300,163.0
175,184.0
325,350.0
308,625.0
218,107.0
173,160.0
1075,195.5
27,68.0
650,300.0
195,575.0
775,400.0
145,111.0
350,111.0
77,120.0
150,189.0
49,194.0
775,300.0
60,102.0
194,160.0
133,108.5
20,68.0
475,625.0
200,400.0
126,184.0
175,101.5
525,405.0
224,575.0
225,136.0
175,63.0
85,120.0
104,575.0
525,160.0
475,94.0
725,405.0
200,150.0
256,170.0
165,108.5
210,124.0
138,194.0
625,300.0
174,391.6666666666667
300,195.5
375,391.6666666666667
98,194.0
120,102.0
246,184.0
525,550.0
131,98.0
525,625.0
75,120.0
175,259.375
600,575.0
171,194.0
117,194.0
300,400.0
101,120.0
475,625.0
1000,625.0
53,259.375
400,111.0
400,400.0
575,78.0
231,430.0
250,189.0
375,111.0
256,418.75
123,108.5
124,497.6
217,151.5
1000,418.75
325,160.0
85,51.0
278,497.6
124,68.0
550,189.0
500,341.6666666666667
270,101.5
175,94.0
51,39.0
425,190.66666666666666
525,113.0
42,136.0
144,497.6
925,116.0
325,259.375
59,120.0
125,123.0
107,107.0
61,111.0
49,111.0
475,259.375
300,405.0
350,116.0
182,160.0
88,136.0
333,201.0
500,189.0
163,132.0
87,201.0
750,161.0
650,452.8333333333333
163,405.0
143,195.5
200,39.0
150,375.0
19,83.5
525,341.6666666666667
875,111.0
384,201.0
150,170.0
175,225.0
325,400.0
123,375.0
750,575.0
56,194.0
700,575.0
325,116.0
400,341.6666666666667
375,190.66666666666666
325,160.0
150,63.0
650,625.0
44,112.0
180,405.0
125,405.0
520,160.0
272,160.0
203,625.0
450,195.5
218,160.0
32,102.0
238,111.0
75,113.0
78,116.0
94,63.0
600,160.0
188,391.6666666666667
27,93.5
233,184.0
625,452.8333333333333
102,113.0
500,195.5
425,400.0
525,430.0
200,116.0
179,194.0
400,113.0
126,116.0
46,111.0
204,160.0
131,90.0
65,128.0
400,391.6666666666667
375,111.0
475,400.0
196,160.0
102,83.5
111,400.0
1075,625.0
450,400.0
200,145.0
135,98.0
44,90.0
550,341.6666666666667
206,136.0
175,400.0
35,83.5
155,116.0
87,111.0
85,391.6666666666667
280,391.6666666666667
65,136.0
216,184.0
90,111.0
273,497.6
425,430.0
117,430.0
138,259.375
213,68.0
158,190.0
176,132.0
550,259.375
225,111.0
60,190.0
350,500.0
188,161.0
133,116.0
46,136.0
128,111.0
218,107.0
98,98.0
33,145.0
128,160.0
78,86.5
109,129.5
200,400.0
169,405.0
600,405.0
275,430.0
200,39.0
425,625.0
60,139.5
140,131.0
108,325.0
75,120.0
101,160.0
250,452.8333333333333
200,160.0
105,120.0
525,418.75
184,62.0
150,116.0
210,124.0
550,418.75
154,201.0
60,161.0
850,189.0
525,157.0
425,400.0
225,44.0
111,120.0
1070,625.0
145,116.0
550,160.0
225,430.0
300,116.0
650,341.6666666666667
100,194.0
176,78.0
81,405.0
161,63.0
550,500.0
300,161.0
325,575.0
88,116.0
63,108.5
225,39.0
69,136.0
218,78.0
675,400.0
124,111.0
60,39.0
100,194.0
175,111.0
123,132.0
322,124.0
550,625.0
625,418.75
300,116.0
950,161.0
625,113.0
68,131.0
625,452.8333333333333
68,116.0
149,116.0
45,39.0
187,194.0
149,575.0
150,136.0
138,625.0
47,102.0
63,136.0
240,102.0
46,120.0
65,124.0
700,94.0
209,113.0
213,625.0
117,405.0
111,132.0
350,430.0
128,123.0
306,160.0
104,132.0
138,138.0
625,111.0
81,116.0
200,452.8333333333333
575,500.0
475,341.6666666666667
700,375.0
75,107.0
147,86.5
225,111.0
53,116.0
53,194.0
700,160.0
125,189.0
105,111.0
113,430.0
179,160.0
575,575.0
233,190.0
107,39.0
825,625.0
149,405.0
75,116.0
50,63.0
425,575.0
125,259.375
700,500.0
54,90.0
202,625.0
350,259.375
35,102.0
196,78.0
875,625.0
725,163.0
45,136.0
675,325.0
128,132.0
74,150.0
149,497.6
375,430.0
168,405.0
49,51.0
19,120.0
200,300.0
273,161.0
176,391.6666666666667
248,194.0
375,405.0
263,184.0
150,63.0
33,93.5
224,68.0
250,452.8333333333333
142,550.0
450,78.0
100,225.0
196,113.0
91,101.5
150,375.0
550,550.0
176,111.0
200,116.0
450,259.375
195,160.0
200,452.8333333333333
175,400.0
675,550.0
425,341.6666666666667
94,124.0
131,78.0
175,400.0
219,116.0
675,190.66666666666666
88,129.5
194,194.0
167,160.0
56,120.0
125,430.0
850,160.0
281,123.0
140,113.0
109,123.0
300,94.0
175,400.0
75,341.6666666666667
225,418.75
525,63.0
56,51.0
26,120.0
450,111.0
163,391.6666666666667
158,625.0
175,150.0
200,325.0
36,39.0
143,102.0
69,111.0
400,259.375
73,51.0
175,111.0
162,131.0
26,68.0
225,68.0
525,259.375
20,39.0
117,160.0
174,150.0
305,98.0
51,120.0
319,136.0
70,400.0
144,184.0
140,51.0
400,500.0
100,160.0
149,151.5
300,94.0
200,39.0
149,68.0
400,94.0
225,107.0
245,116.0
22,68.0
150,111.0
350,189.0
350,400.0
200,300.0
180,194.0
200,78.0
195,150.0
165,83.5
125,102.0
825,94.0
600,625.0
294,123.0
54,123.0
100,190.66666666666666
105,129.5
850,550.0
70,111.0
275,145.0
81,98.0
44,68.0
169,170.0
173,131.0
102,68.0
143,160.0
290,108.5
65,151.5
180,190.0
161,497.6
135,341.6666666666667
132,132.0
65,120.0
550,111.0
275,575.0
224,194.0
105,113.0
475,375.0
175,39.0
625,136.0
225,39.0
15,51.0
208,194.0
149,128.0
31,68.0
134,160.0
650,400.0
58,190.0
275,111.0
525,625.0
117,161.0
119,160.0
173,120.0
272,90.0
45,120.0
88,190.0
625,405.0
275,189.0
188,575.0
27,113.0
350,400.0
375,405.0
575,195.5
108,391.6666666666667
224,160.0
35,68.0
48,111.0
88,51.0
75,113.0
112,190.0
175,341.6666666666667
400,375.0
575,405.0
142,400.0
104,39.0
21,120.0
135,625.0
209,184.0
125,116.0
600,39.0
147,190.0
325,400.0
156,101.5
137,405.0
475,94.0
74,51.0
850,625.0
44,51.0
275,94.0
500,400.0
190,160.0
200,225.0
87,194.0
90,68.0
700,405.0
280,139.5
450,163.0
150,39.0
137,124.0
58,98.0
475,160.0
182,575.0
40,62.0
650,190.66666666666666
95,190.66666666666666
189,405.0
192,194.0
1025,625.0
223,625.0
175,575.0
275,300.0
196,190.0
231,124.0
125,145.0
124,190.0
350,111.0
128,135.5
91,68.0
72,68.0
113,497.6
160,300.0
128,68.0
51,111.0
247,151.5
500,452.8333333333333
98,111.0
306,120.0
122,136.0
150,497.6
112,123.0
131,90.0
128,163.0
74,111.0
140,160.0
98,111.0
500,625.0
85,325.0
182,51.0
925,575.0
425,107.0
59,136.0
128,111.0
425,189.0
54,157.0
180,93.5
400,111.0
31,102.0
60,157.0
620,189.0
54,111.0
83,405.0
625,300.0
106,86.5
94,160.0
64,111.0
116,116.0
98,51.0
250,400.0
91,400.0
195,190.0
58,68.0
95,101.5
113,132.0
425,550.0
25,63.0
100,160.0
300,400.0
475,375.0
39,51.0
125,83.5
268,418.75
27,113.0
124,132.0
297,625.0
44,160.0
74,120.0
200,225.0
105,124.0
53,128.0
47,136.0
210,625.0
132,145.0
238,194.0
425,189.0
350,430.0
143,68.0
50,150.0
203,190.0
52,391.6666666666667
228,129.5
62,120.0
400,400.0
475,189.0
350,111.0
46,136.0
400,51.0
150,145.0
98,325.0
175,116.0
63,39.0
450,391.6666666666667
350,500.0
254,98.0
77,68.0
425,102.0
38,68.0
27,116.0
125,132.0
63,194.0
182,120.0
45,150.0
258,112.0
625,160.0
225,259.375
74,124.0
98,62.0
126,400.0
175,341.6666666666667
122,116.0
525,189.0
45,120.0
182,405.0
73,111.0
900,163.0
91,259.375
700,391.6666666666667
184,201.0
101,160.0
150,39.0
112,102.0
145,113.0
550,145.0
230,59.5
575,625.0
275,107.0
124,111.0
175,497.6
820,497.6
68,175.0
176,160.0
225,157.0
175,111.0
325,375.0
34,113.0
85,120.0
375,111.0
500,325.0
218,194.0
51,157.0
270,161.0
42,128.0
150,93.0
550,497.6
184,163.0
113,160.0
325,391.6666666666667
74,83.5
131,135.5
225,39.0
239,120.0
48,102.0
84,300.0
250,111.0
300,405.0
38,259.375
