y_real,y_pred_local
52,138.0
275,200.0
206,147.0
155,122.5
182,69.0
182,233.0
375,149.0
65,65.0
175,124.0
725,122.5
250,138.0
50,38.0
650,122.5
231,119.0
475,208.5
138,98.0
105,138.0
925,437.5
311,225.0
350,80.0
125,136.0
252,69.0
120,54.0
25,200.0
98,102.0
300,80.0
100,149.0
500,200.0
250,109.0
300,187.0
203,122.5
575,132.0
80,122.5
275,425.0
275,200.0
75,95.0
70,106.0
221,221.0
202,81.0
325,200.0
317,233.0
1045,124.0
112,109.0
495,225.0
168,122.5
123,39.0
119,119.0
61,39.0
525,487.5
116,152.0
700,122.5
200,208.0
35,35.0
168,168.0
83,111.0
238,122.5
116,33.0
49,49.0
500,64.0
450,138.0
203,119.0
119,81.0
225,168.0
155,40.0
475,300.0
1220,272.0
203,119.0
44,65.0
350,437.5
245,155.0
325,300.0
575,275.0
550,525.0
175,136.0
99,85.0
54,40.0
56,33.0
163,106.0
425,300.0
75,38.0
225,138.0
325,81.0
525,128.0
375,111.0
204,68.0
350,437.5
29,56.0
56,138.0
525,441.6666666666667
70,155.0
675,54.0
650,128.0
123,119.0
263,111.0
279,33.0
135,81.0
236,119.0
250,487.5
56,98.0
625,98.0
145,122.5
500,437.5
98,85.0
263,124.0
150,124.0
500,33.0
150,149.0
600,221.0
84,113.0
100,225.0
350,88.0
275,38.0
300,200.0
111,64.0
325,300.0
200,150.0
600,124.0
51,38.0
52,49.0
91,54.0
216,225.0
189,75.0
224,169.0
165,221.0
240,162.0
124,64.0
231,221.0
545,625.0
325,441.6666666666667
120,120.0
115,38.0
225,475.0
725,124.0
90,138.0
162,119.0
163,225.0
350,487.5
450,441.6666666666667
225,412.5
200,350.0
131,81.0
125,412.5
111,85.0
825,102.0
87,54.0
203,122.5
105,143.0
169,122.5
181,69.0
91,122.5
38,109.0
850,225.0
60,138.0
26,65.0
575,152.0
289,248.0
400,122.5
104,78.0
72,122.5
123,75.0
925,221.0
70,64.0
108,122.5
203,119.0
218,152.0
105,75.0
750,225.0
900,136.0
75,106.0
202,233.0
120,87.0
61,221.0
47,64.0
175,210.0
248,224.0
87,30.0
90,85.0
85,221.0
119,152.0
106,85.0
150,181.0
225,98.0
56,35.0
68,98.0
149,81.0
173,111.0
600,650.0
125,475.0
900,221.0
100,200.0
750,120.0
125,49.0
116,102.0
550,275.0
225,98.0
150,125.0
150,152.0
375,210.0
250,475.0
113,58.0
475,138.0
275,168.0
208,119.0
198,90.0
133,78.0
145,40.0
725,152.0
203,169.0
112,120.0
59,81.0
239,168.0
525,475.0
94,105.0
50,107.0
575,750.0
182,233.0
425,98.0
825,225.0
325,65.0
75,200.0
105,88.0
300,441.6666666666667
475,500.0
125,136.0
775,775.0
600,88.0
109,155.0
232,105.0
500,125.0
225,275.0
525,412.5
450,487.5
140,58.0
825,248.0
140,215.0
143,81.0
250,58.0
65,78.0
500,425.0
400,441.6666666666667
196,30.0
96,68.0
145,122.5
138,138.0
925,75.0
128,119.0
175,275.0
525,88.0
124,85.0
111,69.0
248,119.0
38,38.0
39,64.0
36,35.0
105,75.0
150,225.0
300,33.0
221,98.0
126,152.0
38,138.0
250,325.0
900,136.0
98,113.0
39,54.0
675,221.0
111,85.0
450,152.0
225,106.0
420,105.0
325,450.0
87,152.0
500,225.0
109,39.0
150,221.0
207,155.0
69,81.0
149,221.0
117,30.0
400,87.0
30,56.0
149,119.0
150,75.0
150,119.0
250,200.0
204,109.0
75,81.0
175,136.0
193,64.0
147,124.0
225,300.0
175,136.0
91,152.0
100,78.0
125,58.0
150,85.0
425,122.5
725,120.0
375,487.5
500,75.0
325,450.0
210,138.0
315,98.0
120,65.0
240,33.0
81,152.0
136,98.0
650,69.0
225,90.0
75,64.0
58,56.0
333,119.0
475,437.5
120,106.0
30,109.0
68,152.0
160,74.0
155,109.0
550,225.0
58,58.0
575,122.5
113,58.0
114,85.0
725,475.0
30,58.0
625,650.0
116,69.0
200,200.0
775,111.0
203,78.0
119,64.0
475,176.0
250,80.0
221,225.0
91,38.0
700,90.0
123,132.0
88,119.0
126,122.5
95,98.0
550,272.0
91,122.5
425,109.0
575,81.0
104,138.0
63,138.0
475,111.0
36,58.0
700,70.0
450,437.5
700,182.0
79,90.0
675,102.0
147,109.0
144,120.0
116,149.0
550,425.0
350,250.0
300,224.0
223,119.0
93,105.0
320,325.0
173,80.0
670,412.5
475,168.0
192,119.0
275,250.0
189,233.0
175,325.0
163,155.0
158,64.0
51,138.0
216,122.5
425,475.0
275,441.6666666666667
130,69.0
1125,750.0
174,138.0
210,83.0
325,425.0
325,325.0
44,138.0
825,80.0
120,248.0
63,169.0
575,33.0
132,105.0
375,208.0
154,38.0
350,350.0
90,152.0
278,95.0
179,64.0
175,200.0
300,450.0
96,119.0
45,49.0
68,153.0
210,35.0
77,35.0
400,38.0
62,54.0
170,64.0
450,95.0
120,215.0
84,120.0
425,102.0
133,58.0
250,241.66666666666666
725,176.0
375,437.5
208,122.5
300,487.5
450,475.0
219,75.0
147,64.0
213,221.0
95,233.0
53,38.0
174,149.0
400,152.0
175,49.0
319,225.0
135,119.0
243,54.0
138,111.0
132,136.0
109,143.0
184,119.0
400,350.0
98,138.0
125,225.0
96,78.0
150,200.0
248,208.5
98,225.0
135,113.0
400,81.0
36,65.0
196,68.0
78,81.0
145,155.0
175,200.0
200,475.0
90,64.0
650,33.0
163,78.0
450,248.0
825,102.0
78,64.0
400,300.0
400,105.0
182,95.0
150,412.5
475,272.0
252,138.0
240,143.0
125,81.0
450,58.0
600,575.0
124,119.0
79,119.0
85,138.0
1020,122.5
176,225.0
75,64.0
300,450.0
107,107.0
200,412.5
200,128.0
300,487.5
350,95.0
91,78.0
925,105.0
350,487.5
98,78.0
68,64.0
700,80.0
150,187.0
625,255.0
850,240.0
91,113.0
650,650.0
550,325.0
375,152.0
66,90.0
65,138.0
287,105.0
94,85.0
142,87.0
54,56.0
41,113.0
120,78.0
111,143.0
275,487.5
140,69.0
264,80.0
425,168.0
525,149.0
78,112.0
112,81.0
42,30.0
228,54.0
137,69.0
102,85.0
91,169.0
425,81.0
69,69.0
325,176.0
87,138.0
400,272.0
38,38.0
58,138.0
169,169.0
293,124.0
700,102.0
203,119.0
271,85.0
85,38.0
158,124.0
325,412.5
91,114.0
112,152.0
188,152.0
233,54.0
58,122.5
289,101.0
250,325.0
119,138.0
117,152.0
65,138.0
50,200.0
425,132.0
450,88.0
525,272.0
254,106.0
125,35.0
300,122.5
87,58.0
525,122.5
150,138.0
87,152.0
116,98.0
53,138.0
119,58.0
225,150.0
247,119.0
125,80.0
275,81.0
84,78.0
175,78.0
350,300.0
725,75.0
68,38.0
210,70.0
117,75.0
800,85.0
68,98.0
106,85.0
475,248.0
900,69.0
48,132.0
725,111.0
120,233.0
161,69.0
425,136.0
161,81.0
68,138.0
250,38.0
91,39.0
375,300.0
225,150.0
98,155.0
725,412.5
58,38.0
116,119.0
208,85.0
26,58.0
100,475.0
124,138.0
41,138.0
625,168.0
70,64.0
900,69.0
575,90.0
65,38.0
625,181.0
525,120.0
83,138.0
170,136.0
113,136.0
248,173.0
95,85.0
375,80.0
825,168.0
218,225.0
36,35.0
525,475.0
95,169.0
825,225.0
182,119.0
123,122.5
675,221.0
145,64.0
68,101.0
88,58.0
145,35.0
200,475.0
120,56.0
158,233.0
175,132.0
300,87.0
250,200.0
225,155.0
600,224.0
1075,187.0
56,38.0
200,412.5
275,38.0
122,152.0
200,225.0
56,35.0
128,98.0
950,136.0
450,35.0
122,225.0
325,325.0
700,650.0
31,56.0
54,56.0
425,132.0
90,169.0
126,122.5
700,122.5
173,33.0
275,122.5
36,30.0
147,78.0
75,54.0
142,70.0
217,136.0
775,233.0
800,412.5
145,138.0
175,275.0
550,224.0
189,189.0
91,138.0
575,412.5
300,95.0
520,475.0
500,65.0
116,152.0
215,233.0
196,225.0
44,169.0
175,173.0
135,122.5
150,200.0
275,412.5
65,98.0
300,241.66666666666666
350,78.0
38,169.0
47,138.0
150,122.5
525,122.5
98,78.0
143,111.0
1000,225.0
112,88.0
105,70.0
575,152.0
315,98.0
91,119.0
175,80.0
231,255.0
196,225.0
400,200.0
125,122.5
125,221.0
81,106.0
90,39.0
83,69.0
200,35.0
94,169.0
575,122.5
62,33.0
201,119.0
625,152.0
50,56.0
725,119.0
231,208.5
96,85.0
175,475.0
140,143.0
375,176.0
158,98.0
475,122.5
223,114.0
425,122.5
145,70.0
53,38.0
100,200.0
138,152.0
175,136.0
300,325.0
119,102.0
675,81.0
325,80.0
152,33.0
204,144.0
175,125.0
125,119.0
500,412.5
248,88.0
375,168.0
84,155.0
142,122.5
45,112.0
119,106.0
119,58.0
180,149.0
116,119.0
550,102.0
95,111.0
150,200.0
74,69.0
225,225.0
125,149.0
298,272.0
91,113.0
288,153.0
575,64.0
225,275.0
113,138.0
775,233.0
600,136.0
175,125.0
281,144.0
194,69.0
138,81.0
53,138.0
208,255.0
625,78.0
650,500.0
225,80.0
203,75.0
925,80.0
147,95.0
450,87.0
101,107.0
158,33.0
224,124.0
54,138.0
375,75.0
350,58.0
525,75.0
