y_real,y_pred_local
52,230.0
275,850.0
206,175.0
155,175.0
182,273.0
182,273.0
375,273.0
65,273.0
175,273.0
725,221.0
250,230.0
50,175.0
650,175.0
231,230.0
475,273.0
138,230.0
105,273.0
925,850.0
311,273.0
350,273.0
125,273.0
252,273.0
120,175.0
25,850.0
98,273.0
300,273.0
100,273.0
500,850.0
250,230.0
300,273.0
203,175.0
575,273.0
80,175.0
275,850.0
275,850.0
75,273.0
70,273.0
221,175.0
202,230.0
325,850.0
317,273.0
1045,273.0
112,230.0
495,273.0
168,175.0
123,175.0
119,230.0
61,175.0
525,1050.0
116,273.0
700,175.0
200,273.0
35,273.0
168,273.0
83,273.0
238,175.0
116,273.0
49,273.0
500,230.0
450,230.0
203,230.0
119,230.0
225,273.0
155,221.0
475,850.0
1220,273.0
203,175.0
44,273.0
350,850.0
245,221.0
325,850.0
575,700.0
550,850.0
175,273.0
99,273.0
54,221.0
56,273.0
163,273.0
425,850.0
75,175.0
225,230.0
325,230.0
525,273.0
375,273.0
204,230.0
350,850.0
29,273.0
56,230.0
525,1050.0
70,221.0
675,273.0
650,273.0
123,175.0
263,273.0
279,273.0
135,230.0
236,175.0
250,1050.0
56,230.0
625,175.0
145,175.0
500,850.0
98,273.0
263,273.0
150,273.0
500,273.0
150,273.0
600,273.0
84,273.0
100,850.0
350,273.0
275,175.0
300,850.0
111,230.0
325,850.0
200,850.0
600,273.0
51,221.0
52,273.0
91,175.0
216,273.0
189,273.0
224,273.0
165,175.0
240,175.0
124,230.0
231,273.0
545,700.0
325,1050.0
120,273.0
115,175.0
225,850.0
725,273.0
90,273.0
162,175.0
163,273.0
350,1050.0
450,1050.0
225,1050.0
200,850.0
131,230.0
125,1050.0
111,273.0
825,273.0
87,273.0
203,175.0
105,230.0
169,175.0
181,273.0
91,175.0
38,230.0
850,273.0
60,230.0
26,273.0
575,273.0
289,273.0
400,175.0
104,273.0
72,175.0
123,273.0
925,273.0
70,230.0
108,175.0
203,175.0
218,273.0
105,273.0
750,273.0
900,273.0
75,273.0
202,175.0
120,273.0
61,175.0
47,230.0
175,273.0
248,273.0
87,273.0
90,273.0
85,273.0
119,273.0
106,273.0
150,273.0
225,175.0
56,273.0
68,230.0
149,230.0
173,273.0
600,1050.0
125,850.0
900,273.0
100,850.0
750,273.0
125,273.0
116,230.0
550,700.0
225,230.0
150,850.0
150,273.0
375,273.0
250,850.0
113,230.0
475,230.0
275,273.0
208,273.0
198,273.0
133,273.0
145,221.0
725,273.0
203,273.0
112,273.0
59,230.0
239,273.0
525,700.0
94,221.0
50,230.0
575,700.0
182,273.0
425,230.0
825,273.0
325,273.0
75,850.0
105,273.0
300,1050.0
475,850.0
125,273.0
775,1050.0
600,273.0
109,273.0
232,221.0
500,850.0
225,850.0
525,700.0
450,1050.0
140,230.0
825,273.0
140,273.0
143,230.0
250,230.0
65,273.0
500,850.0
400,1050.0
196,273.0
96,230.0
145,175.0
138,230.0
925,273.0
128,175.0
175,850.0
525,273.0
124,273.0
111,273.0
248,175.0
38,175.0
39,230.0
36,273.0
105,273.0
150,850.0
300,273.0
221,175.0
126,273.0
38,230.0
250,850.0
900,273.0
98,273.0
39,175.0
675,175.0
111,273.0
450,273.0
225,273.0
420,221.0
325,850.0
87,273.0
500,273.0
109,175.0
150,273.0
207,221.0
69,230.0
149,273.0
117,273.0
400,273.0
30,273.0
149,175.0
150,273.0
150,175.0
250,850.0
204,230.0
75,230.0
175,273.0
193,230.0
147,273.0
225,850.0
175,273.0
91,273.0
100,230.0
125,230.0
150,273.0
425,175.0
725,273.0
375,1050.0
500,273.0
325,850.0
210,230.0
315,175.0
120,273.0
240,273.0
81,273.0
136,175.0
650,273.0
225,273.0
75,230.0
58,230.0
333,230.0
475,850.0
120,273.0
30,230.0
68,273.0
160,175.0
155,230.0
550,850.0
58,230.0
575,175.0
113,230.0
114,230.0
725,850.0
30,230.0
625,850.0
116,273.0
200,850.0
775,273.0
203,273.0
119,230.0
475,273.0
250,273.0
221,273.0
91,175.0
700,273.0
123,273.0
88,175.0
126,175.0
95,230.0
550,273.0
91,175.0
425,230.0
575,230.0
104,230.0
63,230.0
475,273.0
36,230.0
700,273.0
450,850.0
700,273.0
79,273.0
675,273.0
147,230.0
144,273.0
116,273.0
550,850.0
350,850.0
300,273.0
223,175.0
93,221.0
320,850.0
173,273.0
670,700.0
475,273.0
192,175.0
275,850.0
189,273.0
175,850.0
163,221.0
158,230.0
51,230.0
216,175.0
425,850.0
275,1050.0
130,273.0
1125,700.0
174,230.0
210,230.0
325,850.0
325,850.0
44,230.0
825,273.0
120,273.0
63,273.0
575,273.0
132,221.0
375,273.0
154,175.0
350,850.0
90,273.0
278,273.0
179,230.0
175,850.0
300,850.0
96,230.0
45,273.0
68,273.0
210,273.0
77,273.0
400,221.0
62,175.0
170,230.0
450,273.0
120,273.0
84,273.0
425,273.0
133,230.0
250,850.0
725,273.0
375,850.0
208,175.0
300,1050.0
450,850.0
219,273.0
147,230.0
213,175.0
95,273.0
53,273.0
174,273.0
400,273.0
175,273.0
319,273.0
135,175.0
243,273.0
138,273.0
132,273.0
109,230.0
184,175.0
400,850.0
98,230.0
125,850.0
96,230.0
150,850.0
248,273.0
98,273.0
135,273.0
400,230.0
36,273.0
196,230.0
78,230.0
145,221.0
175,850.0
200,850.0
90,230.0
650,273.0
163,273.0
450,273.0
825,273.0
78,230.0
400,850.0
400,221.0
182,273.0
150,1050.0
475,273.0
252,230.0
240,230.0
125,230.0
450,230.0
600,700.0
124,175.0
79,175.0
85,273.0
1020,175.0
176,273.0
75,230.0
300,850.0
107,230.0
200,1050.0
200,273.0
300,1050.0
350,273.0
91,273.0
925,221.0
350,1050.0
98,273.0
68,230.0
700,273.0
150,273.0
625,273.0
850,273.0
91,273.0
650,850.0
550,850.0
375,273.0
66,273.0
65,230.0
287,221.0
94,230.0
142,273.0
54,273.0
41,273.0
120,273.0
111,230.0
275,1050.0
140,273.0
264,273.0
425,273.0
525,175.0
78,273.0
112,230.0
42,273.0
228,175.0
137,273.0
102,273.0
91,273.0
425,230.0
69,273.0
325,273.0
87,230.0
400,273.0
38,221.0
58,230.0
169,273.0
293,273.0
700,230.0
203,175.0
271,273.0
85,175.0
158,273.0
325,1050.0
91,230.0
112,273.0
188,273.0
233,273.0
58,175.0
289,230.0
250,850.0
119,230.0
117,273.0
65,230.0
50,850.0
425,273.0
450,273.0
525,273.0
254,273.0
125,273.0
300,221.0
87,230.0
525,175.0
150,230.0
87,273.0
116,230.0
53,230.0
119,230.0
225,850.0
247,175.0
125,273.0
275,230.0
84,273.0
175,230.0
350,850.0
725,273.0
68,175.0
210,230.0
117,273.0
800,273.0
68,175.0
106,273.0
475,273.0
900,273.0
48,273.0
725,273.0
120,273.0
161,273.0
425,273.0
161,230.0
68,230.0
250,175.0
91,175.0
375,850.0
225,850.0
98,221.0
725,700.0
58,221.0
116,175.0
208,273.0
26,230.0
100,850.0
124,230.0
41,230.0
625,273.0
70,230.0
900,273.0
575,273.0
65,175.0
625,273.0
525,273.0
83,230.0
170,273.0
113,273.0
248,175.0
95,273.0
375,273.0
825,273.0
218,273.0
36,273.0
525,700.0
95,273.0
825,273.0
182,175.0
123,175.0
675,273.0
145,230.0
68,230.0
88,230.0
145,273.0
200,850.0
120,273.0
158,273.0
175,273.0
300,273.0
250,850.0
225,221.0
600,273.0
1075,273.0
56,221.0
200,1050.0
275,175.0
