y_real,y_pred_local
52,59.0
275,115.0
206,113.0
155,113.0
182,112.5
182,400.0
375,250.0
65,112.5
175,537.5
725,472.5
250,59.0
50,45.0
650,59.0
231,51.0
475,250.0
138,187.5
105,44.0
925,250.0
311,495.0
350,350.0
125,125.0
252,200.0
120,29.5
25,187.5
98,68.0
300,350.0
100,250.0
500,187.5
250,225.0
300,250.0
203,113.0
575,168.75
80,59.0
275,100.0
275,187.5
75,162.5
70,100.0
221,29.5
202,51.0
325,59.0
317,104.0
1045,537.5
112,225.0
495,495.0
168,80.0
123,59.0
119,51.0
61,59.0
525,227.5
116,350.0
700,275.0
200,250.0
35,38.5
168,31.0
83,100.0
238,113.0
116,38.5
49,162.5
500,59.0
450,59.0
203,51.0
119,45.0
225,65.0
155,46.5
475,250.0
1220,495.0
203,59.0
44,112.5
350,350.0
245,138.0
325,181.33333333333334
575,495.0
550,250.0
175,125.0
99,81.0
54,46.5
56,162.5
163,100.0
425,181.33333333333334
75,50.0
225,225.0
325,187.5
525,100.0
375,100.0
204,80.0
350,350.0
29,29.0
56,225.0
525,200.0
70,78.0
675,112.5
650,100.0
123,59.0
263,250.0
279,46.5
135,80.0
236,59.0
250,200.0
56,187.5
625,275.0
145,59.0
500,250.0
98,68.0
263,537.5
150,537.5
500,162.5
150,250.0
600,200.0
84,91.0
100,100.0
350,181.33333333333334
275,275.0
300,59.0
111,59.0
325,250.0
200,162.5
600,537.5
51,46.5
52,162.5
91,50.0
216,200.0
189,250.0
224,200.0
165,187.5
240,80.0
124,59.0
231,227.5
545,400.0
325,200.0
120,200.0
115,50.0
225,162.5
725,537.5
90,44.0
162,59.0
163,139.0
350,200.0
450,200.0
225,59.0
200,350.0
131,29.5
125,275.0
111,68.0
825,250.0
87,112.5
203,113.0
105,187.5
169,59.0
181,200.0
91,45.0
38,51.0
850,200.0
60,45.0
26,181.33333333333334
575,350.0
289,154.0
400,59.0
104,250.0
72,80.0
123,250.0
925,227.5
70,59.0
108,59.0
203,59.0
218,350.0
105,250.0
750,200.0
900,181.33333333333334
75,100.0
202,50.0
120,38.0
61,187.5
47,59.0
175,100.0
248,200.0
87,38.0
90,68.0
85,227.5
119,350.0
106,81.0
150,250.0
225,275.0
56,168.75
68,187.5
149,65.0
173,250.0
600,200.0
125,225.0
900,200.0
100,125.0
750,200.0
125,162.5
116,115.0
550,495.0
225,187.5
150,168.75
150,91.0
375,100.0
250,59.0
113,59.0
475,59.0
275,65.0
208,131.0
198,61.0
133,250.0
145,46.5
725,350.0
203,200.0
112,200.0
59,59.0
239,31.0
525,537.5
94,75.0
50,187.5
575,495.0
182,104.0
425,187.5
825,200.0
325,181.33333333333334
75,187.5
105,162.5
300,200.0
475,100.0
125,125.0
775,200.0
600,181.33333333333334
109,78.0
232,472.5
500,168.75
225,112.5
525,275.0
450,200.0
140,51.0
825,537.5
140,91.0
143,45.0
250,59.0
65,65.0
500,250.0
400,200.0
196,38.0
96,80.0
145,59.0
138,59.0
925,250.0
128,59.0
175,112.5
525,181.33333333333334
124,81.0
111,200.0
248,59.0
38,50.0
39,45.0
36,52.0
105,250.0
150,100.0
300,162.5
221,50.0
126,350.0
38,61.0
250,59.0
900,181.33333333333334
98,181.33333333333334
39,50.0
675,187.5
111,487.5
450,350.0
225,100.0
420,472.5
325,350.0
87,91.0
500,495.0
109,59.0
150,200.0
207,138.0
69,24.0
149,227.5
117,38.0
400,125.0
30,29.0
149,59.0
150,250.0
150,45.0
250,125.0
204,61.0
75,65.0
175,181.33333333333334
193,59.0
147,537.5
225,181.33333333333334
175,181.33333333333334
91,91.0
100,187.5
125,115.0
150,68.0
425,275.0
725,200.0
375,227.5
500,250.0
325,350.0
210,225.0
315,275.0
120,112.5
240,162.5
81,91.0
136,50.0
650,200.0
225,181.33333333333334
75,59.0
58,31.0
333,51.0
475,250.0
120,100.0
30,225.0
68,91.0
160,50.0
155,187.5
550,100.0
58,51.0
575,187.5
113,59.0
114,29.5
725,187.5
30,45.0
625,250.0
116,200.0
200,187.5
775,100.0
203,61.0
119,59.0
475,250.0
250,350.0
221,139.0
91,64.0
700,181.33333333333334
123,168.75
88,59.0
126,80.0
95,225.0
550,495.0
91,64.0
425,187.5
575,275.0
104,61.0
63,65.0
475,100.0
36,59.0
700,65.0
450,350.0
700,250.0
79,61.0
675,250.0
147,65.0
144,200.0
116,250.0
550,250.0
350,65.0
300,200.0
223,59.0
93,218.75
320,250.0
173,350.0
670,275.0
475,65.0
192,59.0
275,65.0
189,104.0
175,275.0
163,135.0
158,59.0
51,59.0
216,80.0
425,225.0
275,200.0
130,112.5
1125,495.0
174,24.0
210,24.0
325,250.0
325,250.0
44,24.0
825,350.0
120,131.0
63,227.5
575,162.5
132,472.5
375,250.0
154,50.0
350,350.0
90,350.0
278,162.5
179,45.0
175,187.5
300,250.0
96,51.0
45,162.5
68,78.0
210,168.75
77,38.5
400,46.5
62,29.5
170,45.0
450,162.5
120,91.0
84,200.0
425,250.0
133,59.0
250,181.33333333333334
725,250.0
375,250.0
208,124.0
300,200.0
450,187.5
219,250.0
147,59.0
213,24.0
95,400.0
53,46.5
174,250.0
400,350.0
175,162.5
319,139.0
135,59.0
243,112.5
138,250.0
132,100.0
109,24.0
184,59.0
400,350.0
98,59.0
125,100.0
96,187.5
150,115.0
248,250.0
98,495.0
135,200.0
400,275.0
36,112.5
196,49.0
78,51.0
145,78.0
175,187.5
200,225.0
90,59.0
650,162.5
163,181.33333333333334
450,537.5
825,250.0
78,59.0
400,250.0
400,472.5
182,162.5
150,218.75
475,495.0
252,51.0
240,24.0
125,24.0
450,59.0
600,487.5
124,59.0
79,59.0
85,44.0
1020,275.0
176,495.0
75,59.0
300,250.0
107,187.5
200,218.75
200,100.0
300,227.5
350,162.5
91,61.0
925,218.75
350,200.0
98,250.0
68,59.0
700,350.0
150,250.0
625,495.0
850,495.0
91,181.33333333333334
650,250.0
550,275.0
375,350.0
66,65.0
65,59.0
287,472.5
94,24.0
142,38.0
54,29.0
41,181.33333333333334
120,250.0
111,187.5
275,227.5
140,200.0
264,350.0
425,112.5
525,275.0
78,44.0
112,59.0
42,38.0
228,275.0
137,112.5
102,81.0
91,227.5
425,187.5
69,200.0
325,250.0
87,59.0
400,495.0
38,46.5
58,44.0
169,227.5
293,537.5
700,275.0
203,59.0
271,81.0
85,50.0
158,537.5
325,218.75
91,187.5
112,350.0
188,350.0
233,31.0
58,59.0
289,187.5
250,59.0
119,225.0
117,350.0
65,51.0
50,187.5
425,168.75
450,181.33333333333334
525,495.0
254,100.0
125,168.75
300,218.75
87,51.0
525,275.0
150,59.0
87,91.0
116,225.0
53,45.0
119,24.0
225,275.0
247,59.0
125,350.0
275,59.0
84,65.0
175,187.5
350,250.0
725,250.0
68,50.0
210,59.0
117,250.0
800,227.5
68,275.0
106,487.5
475,487.5
900,200.0
48,38.0
725,100.0
120,400.0
161,200.0
425,181.33333333333334
161,59.0
68,61.0
250,275.0
91,59.0
375,250.0
225,46.5
98,78.0
725,275.0
58,46.5
116,59.0
208,81.0
26,59.0
100,187.5
124,59.0
41,59.0
625,65.0
70,59.0
900,200.0
575,181.33333333333334
65,50.0
625,250.0
525,200.0
83,59.0
170,112.5
113,162.5
248,29.5
95,68.0
375,350.0
825,112.5
218,139.0
36,46.0
525,537.5
95,200.0
825,495.0
182,59.0
123,59.0
675,200.0
145,59.0
68,187.5
88,59.0
145,38.5
200,187.5
120,31.0
158,104.0
175,168.75
300,125.0
250,115.0
225,78.0
600,200.0
1075,250.0
56,46.5
200,218.75
275,275.0
122,91.0
200,200.0
56,38.5
128,225.0
950,181.33333333333334
450,168.75
122,139.0
325,225.0
700,200.0
31,100.0
54,100.0
425,168.75
90,200.0
126,64.0
700,59.0
173,46.5
275,218.75
36,38.0
147,250.0
75,275.0
142,31.0
217,181.33333333333334
775,400.0
800,275.0
145,59.0
175,112.5
550,200.0
189,250.0
91,44.0
575,472.5
300,162.5
520,537.5
500,181.33333333333334
116,350.0
215,400.0
196,495.0
44,200.0
175,24.0
135,80.0
150,187.5
275,187.5
65,187.5
300,181.33333333333334
350,181.33333333333334
38,227.5
47,44.0
150,187.5
525,472.5
98,250.0
143,250.0
1000,200.0
112,181.33333333333334
105,65.0
575,350.0
315,275.0
91,487.5
175,350.0
231,495.0
196,495.0
400,187.5
125,80.0
125,227.5
81,100.0
90,59.0
83,112.5
200,168.75
94,200.0
575,218.75
62,38.5
201,59.0
625,350.0
50,29.0
725,59.0
231,250.0
96,68.0
175,59.0
140,53.5
375,250.0
158,187.5
475,59.0
223,31.0
425,59.0
145,59.0
53,50.0
100,59.0
138,91.0
175,100.0
300,225.0
119,68.0
675,275.0
325,350.0
152,38.5
204,65.0
175,168.75
125,487.5
500,187.5
248,181.33333333333334
375,162.5
84,78.0
142,45.0
45,31.0
119,100.0
119,51.0
180,250.0
116,131.0
550,250.0
95,250.0
150,187.5
74,200.0
225,200.0
125,250.0
298,495.0
91,181.33333333333334
288,78.0
575,59.0
225,112.5
113,59.0
775,400.0
600,100.0
175,168.75
281,65.0
194,200.0
138,80.0
53,59.0
208,495.0
625,250.0
650,100.0
225,350.0
203,250.0
925,350.0
147,162.5
450,125.0
101,187.5
158,46.5
224,537.5
54,24.0
375,250.0
350,115.0
525,250.0
49,78.0
186,154.0
60,51.0
123,31.0
45,45.0
105,31.0
60,65.0
173,113.0
160,200.0
111,80.0
152,29.5
156,131.0
375,218.75
75,24.0
74,80.0
200,125.0
58,91.0
1025,472.5
128,24.0
91,59.0
825,400.0
233,200.0
111,59.0
150,275.0
182,59.0
400,225.0
224,59.0
125,162.5
198,181.33333333333334
725,168.75
675,112.5
117,113.0
140,113.0
232,91.0
233,104.0
300,200.0
700,65.0
113,50.0
194,495.0
44,100.0
800,227.5
109,49.0
182,53.5
225,38.0
83,59.0
160,139.0
270,38.0
263,400.0
375,350.0
350,100.0
250,275.0
165,154.0
147,100.0
61,81.0
65,200.0
200,59.0
149,124.0
143,45.0
575,350.0
68,100.0
400,350.0
104,135.0
775,200.0
131,29.5
128,200.0
99,187.5
53,162.5
150,187.5
175,168.75
140,59.0
98,31.0
225,187.5
152,250.0
56,46.5
176,44.0
101,200.0
525,187.5
500,400.0
51,100.0
189,250.0
40,29.5
325,350.0
74,64.0
145,187.5
250,46.5
350,350.0
50,29.0
169,91.0
475,187.5
75,100.0
900,495.0
875,200.0
94,78.0
63,59.0
400,200.0
181,250.0
248,51.0
261,495.0
149,59.0
575,200.0
215,91.0
182,495.0
850,227.5
225,68.0
49,29.5
176,250.0
111,59.0
69,59.0
520,487.5
149,250.0
450,218.75
525,487.5
38,65.0
650,59.0
99,81.0
525,275.0
101,80.0
149,59.0
175,59.0
400,65.0
206,250.0
51,168.75
950,487.5
125,59.0
155,100.0
775,225.0
169,44.0
875,250.0
200,59.0
62,46.5
275,59.0
275,187.5
149,139.0
500,200.0
86,91.0
178,59.0
300,65.0
116,46.5
350,250.0
173,68.0
210,162.5
33,49.0
350,275.0
293,65.0
575,400.0
58,46.5
325,225.0
275,168.75
192,45.0
175,100.0
105,46.5
131,31.0
600,250.0
1075,495.0
94,250.0
150,168.75
300,350.0
255,495.0
75,227.5
250,225.0
825,200.0
124,350.0
25,59.0
275,181.33333333333334
725,100.0
34,45.0
675,495.0
65,65.0
250,181.33333333333334
175,168.75
223,162.5
85,75.0
420,154.0
225,162.5
248,181.33333333333334
625,537.5
195,75.0
425,115.0
158,112.5
111,38.0
179,59.0
34,59.0
1000,225.0
131,45.0
122,131.0
168,200.0
95,162.5
232,65.0
450,250.0
675,275.0
675,537.5
600,472.5
210,200.0
145,59.0
136,139.0
263,187.5
475,65.0
203,59.0
350,275.0
152,100.0
175,168.75
825,112.5
163,250.0
0,24.0
233,537.5
225,225.0
550,250.0
26,162.5
196,495.0
125,115.0
34,59.0
41,45.0
275,350.0
102,200.0
59,46.0
47,125.0
325,250.0
175,350.0
181,112.5
106,162.5
200,187.5
194,24.0
225,59.0
80,31.0
56,162.5
240,53.5
181,200.0
725,225.0
625,250.0
160,91.0
225,59.0
38,38.0
130,100.0
225,59.0
625,250.0
65,53.5
975,181.33333333333334
247,59.0
500,218.75
60,162.5
147,78.0
142,250.0
470,537.5
275,350.0
20,59.0
112,225.0
109,59.0
325,350.0
200,275.0
425,227.5
231,91.0
27,51.0
51,187.5
50,168.75
44,168.75
278,65.0
200,59.0
68,59.0
105,113.0
225,200.0
81,75.0
500,250.0
131,38.0
173,24.0
72,46.5
256,187.5
400,100.0
65,80.0
700,187.5
81,45.0
275,181.33333333333334
109,65.0
69,65.0
400,250.0
74,59.0
210,51.0
150,187.5
209,138.0
91,100.0
800,112.5
275,187.5
225,125.0
600,181.33333333333334
150,125.0
240,487.5
175,275.0
113,59.0
675,59.0
101,44.0
375,350.0
425,100.0
145,187.5
350,275.0
116,187.5
136,59.0
225,225.0
187,24.0
264,64.0
54,227.5
109,24.0
90,75.0
150,100.0
975,162.5
134,139.0
58,46.5
98,59.0
272,51.0
206,537.5
47,24.0
250,59.0
167,487.5
105,31.0
74,45.0
128,181.33333333333334
225,275.0
190,31.0
65,53.5
625,350.0
116,59.0
825,472.5
189,139.0
575,162.5
202,250.0
90,225.0
272,487.5
160,29.5
100,46.5
450,250.0
350,187.5
250,225.0
250,162.5
77,29.5
194,59.0
145,135.0
100,59.0
475,250.0
374,45.0
111,61.0
325,250.0
215,200.0
83,61.0
425,350.0
123,65.0
140,51.0
70,80.0
200,100.0
73,250.0
259,200.0
94,46.5
83,44.0
200,100.0
475,187.5
52,52.0
150,115.0
275,250.0
42,46.5
250,100.0
167,113.0
600,250.0
233,59.0
425,200.0
138,200.0
800,250.0
225,181.33333333333334
72,51.0
124,51.0
156,200.0
500,487.5
184,59.0
137,250.0
300,250.0
245,250.0
250,218.75
238,113.0
94,250.0
300,218.75
600,162.5
153,59.0
273,200.0
69,200.0
74,64.0
120,200.0
300,218.75
175,124.0
325,225.0
308,495.0
218,162.5
173,59.0
1075,472.5
27,59.0
650,181.33333333333334
195,200.0
775,350.0
145,350.0
350,53.5
77,29.5
150,275.0
49,75.0
775,181.33333333333334
60,187.5
194,59.0
133,250.0
20,59.0
475,495.0
200,100.0
126,113.0
175,200.0
525,250.0
224,200.0
225,162.5
175,59.0
85,31.0
104,200.0
525,187.5
475,250.0
725,250.0
200,162.5
256,113.0
165,250.0
210,91.0
138,78.0
625,181.33333333333334
174,250.0
300,472.5
375,250.0
98,135.0
120,187.5
246,113.0
525,487.5
131,44.0
525,495.0
75,187.5
175,125.0
600,200.0
171,135.0
117,81.0
300,350.0
101,31.0
475,495.0
1000,495.0
53,125.0
400,59.0
400,350.0
575,187.5
231,250.0
250,275.0
375,350.0
256,200.0
123,250.0
124,537.5
217,162.5
1000,200.0
325,187.5
85,29.5
278,537.5
124,45.0
550,275.0
500,65.0
270,200.0
175,250.0
51,46.0
425,181.33333333333334
525,115.0
42,162.5
144,537.5
925,100.0
325,125.0
59,31.0
125,44.0
107,65.0
61,112.5
49,59.0
475,125.0
300,250.0
350,187.5
182,59.0
88,65.0
