y_real,y_pred_local
52,75.0
275,350.0
206,203.0
155,203.0
182,108.0
182,163.0
375,108.0
65,108.0
175,163.0
725,180.0
250,75.0
50,100.0
650,88.0
231,88.0
475,108.0
138,160.0
105,105.0
925,375.0
311,163.0
350,108.0
125,70.0
252,143.0
120,81.0
25,266.6666666666667
98,108.0
300,108.0
100,108.0
500,412.5
250,160.0
300,108.0
203,203.0
575,70.0
80,88.0
275,266.6666666666667
275,412.5
75,105.0
70,70.0
221,87.5
202,88.0
325,279.1666666666667
317,163.0
1045,163.0
112,160.0
495,163.0
168,171.0
123,77.0
119,88.0
61,77.0
525,475.0
116,108.0
700,87.5
200,108.0
35,70.0
168,105.0
83,70.0
238,203.0
116,70.0
49,70.0
500,83.0
450,75.0
203,88.0
119,106.66666666666667
225,105.0
155,75.0
475,375.0
1220,163.0
203,81.5
44,108.0
350,375.0
245,163.0
325,375.0
575,650.0
550,375.0
175,70.0
99,143.0
54,75.0
56,70.0
163,70.0
425,375.0
75,94.0
225,160.0
325,106.66666666666667
525,70.0
375,70.0
204,120.0
350,375.0
29,70.0
56,160.0
525,475.0
70,143.0
675,105.0
650,70.0
123,91.0
263,108.0
279,81.0
135,120.0
236,100.0
250,475.0
56,160.0
625,87.5
145,100.0
500,375.0
98,108.0
263,163.0
150,163.0
500,70.0
150,108.0
600,143.0
84,108.0
100,266.6666666666667
350,108.0
275,81.0
300,275.0
111,72.5
325,375.0
200,266.6666666666667
600,163.0
51,75.0
52,70.0
91,65.0
216,143.0
189,108.0
224,143.0
165,113.0
240,171.0
124,80.5
231,143.0
545,650.0
325,475.0
120,143.0
115,95.0
225,537.5
725,163.0
90,105.0
162,91.0
163,163.0
350,475.0
450,475.0
225,350.0
200,375.0
131,102.0
125,393.75
111,108.0
825,108.0
87,105.0
203,203.0
105,120.0
169,91.0
181,143.0
91,100.0
38,88.0
850,143.0
60,107.5
26,108.0
575,108.0
289,163.0
400,91.0
104,108.0
72,113.0
123,108.0
925,143.0
70,83.0
108,88.0
203,88.0
218,108.0
105,108.0
750,143.0
900,108.0
75,70.0
202,143.0
120,70.0
61,113.0
47,83.0
175,70.0
248,143.0
87,70.0
90,108.0
85,143.0
119,108.0
106,143.0
150,108.0
225,87.5
56,70.0
68,160.0
149,128.0
173,108.0
600,475.0
125,412.5
900,143.0
100,266.6666666666667
750,143.0
125,70.0
116,102.0
550,650.0
225,160.0
150,266.6666666666667
150,108.0
375,70.0
250,275.0
113,80.5
475,90.25
275,105.0
208,163.0
198,108.0
133,108.0
145,75.0
725,108.0
203,143.0
112,143.0
59,128.0
239,105.0
525,650.0
94,143.0
50,83.0
575,650.0
182,163.0
425,160.0
825,143.0
325,108.0
75,266.6666666666667
105,108.0
300,475.0
475,266.6666666666667
125,70.0
775,475.0
600,108.0
109,143.0
232,180.0
500,266.6666666666667
225,537.5
525,570.0
450,475.0
140,88.0
825,163.0
140,108.0
143,106.66666666666667
250,83.0
65,105.0
500,375.0
400,475.0
196,70.0
96,120.0
145,91.0
138,90.25
925,108.0
128,100.0
175,537.5
525,108.0
124,143.0
111,143.0
248,81.5
38,95.0
39,107.5
36,70.0
105,108.0
150,266.6666666666667
300,70.0
221,87.5
126,108.0
38,128.0
250,366.6666666666667
900,108.0
98,108.0
39,65.0
675,100.0
111,163.0
450,108.0
225,70.0
420,180.0
325,375.0
87,108.0
500,163.0
109,77.0
150,143.0
207,163.0
69,120.0
149,143.0
117,70.0
400,70.0
30,70.0
149,88.0
150,108.0
150,100.0
250,266.6666666666667
204,128.0
75,128.0
175,108.0
193,80.5
147,163.0
225,375.0
175,108.0
91,108.0
100,102.0
125,102.0
150,108.0
425,87.5
725,143.0
375,475.0
500,108.0
325,375.0
210,160.0
315,87.5
120,108.0
240,70.0
81,108.0
136,87.5
650,143.0
225,108.0
75,90.25
58,142.0
333,88.0
475,375.0
120,70.0
30,160.0
68,108.0
160,95.0
155,160.0
550,266.6666666666667
58,88.0
575,100.0
113,72.5
114,102.0
725,400.0
30,83.0
625,375.0
116,143.0
200,412.5
775,70.0
203,108.0
119,72.5
475,108.0
250,108.0
221,163.0
91,95.0
700,108.0
123,70.0
88,100.0
126,113.0
95,160.0
550,163.0
91,143.0
425,160.0
575,102.0
104,128.0
63,128.0
475,70.0
36,80.5
700,105.0
450,375.0
700,108.0
79,108.0
675,108.0
147,128.0
144,143.0
116,108.0
550,375.0
350,537.5
300,143.0
223,88.0
93,143.0
320,375.0
173,108.0
670,570.0
475,105.0
192,81.5
275,537.5
189,163.0
175,350.0
163,163.0
158,83.0
51,90.25
216,171.0
425,412.5
275,475.0
130,108.0
1125,650.0
174,120.0
210,120.0
325,375.0
325,375.0
44,120.0
825,108.0
120,163.0
63,143.0
575,70.0
132,180.0
375,108.0
154,65.0
350,375.0
90,108.0
278,105.0
179,106.66666666666667
175,412.5
300,375.0
96,88.0
45,70.0
68,143.0
210,70.0
77,70.0
400,75.0
62,81.0
170,106.66666666666667
450,105.0
120,108.0
84,143.0
425,108.0
133,128.0
250,375.0
725,108.0
375,375.0
208,180.0
300,475.0
450,362.5
219,108.0
147,80.5
213,130.0
95,163.0
53,81.0
174,108.0
400,108.0
175,70.0
319,163.0
135,88.0
243,105.0
138,108.0
132,70.0
109,120.0
184,88.0
400,375.0
98,75.0
125,266.6666666666667
96,102.0
150,350.0
248,108.0
98,163.0
135,143.0
400,102.0
36,108.0
196,120.0
78,88.0
