y_real,y_pred_local
52,59.0
275,141.66666666666666
206,144.5
155,144.5
182,44.0
182,128.0
375,120.0
65,44.0
175,152.5
725,144.5
250,59.0
50,65.0
650,144.5
231,91.5
475,44.0
138,65.75
105,73.0
925,410.0
311,128.0
350,52.0
125,94.0
252,90.0
120,65.0
25,250.0
98,52.0
300,145.0
100,120.0
500,141.66666666666666
250,85.0
300,120.0
203,144.5
575,68.0
80,61.0
275,175.0
275,141.66666666666666
75,73.0
70,49.0
221,61.0
202,78.0
325,250.0
317,182.0
1045,152.5
112,85.0
495,128.0
168,144.5
123,65.0
119,91.5
61,65.0
525,237.5
116,44.0
700,61.0
200,52.0
35,45.0
168,85.0
83,49.0
238,144.5
116,45.0
49,49.0
500,59.0
450,59.0
203,85.0
119,78.0
225,85.0
155,65.0
475,410.0
1220,128.0
203,144.5
44,44.0
350,410.0
245,144.5
325,300.0
575,475.0
550,175.0
175,94.0
99,100.25
54,65.0
56,49.0
163,49.0
425,300.0
75,65.0
225,91.5
325,78.0
525,49.0
375,49.0
204,78.0
350,410.0
29,94.0
56,91.5
525,300.0
70,68.0
675,90.0
650,49.0
123,61.0
263,120.0
279,65.0
135,78.0
236,144.5
250,370.0
56,65.75
625,61.0
145,144.5
500,410.0
98,44.0
263,174.5
150,174.5
500,65.0
150,120.0
600,90.0
84,44.0
100,265.0
350,52.0
275,65.0
300,250.0
111,78.0
325,410.0
200,183.33333333333334
600,152.5
51,65.0
52,49.0
91,65.0
216,90.0
189,120.0
224,120.0
165,61.0
240,144.5
124,59.0
231,100.25
545,614.0
325,300.0
120,90.0
115,65.0
225,310.0
725,152.5
90,73.0
162,144.5
163,128.0
350,370.0
450,300.0
225,237.5
200,200.0
131,78.0
125,237.5
111,44.0
825,52.0
87,90.0
203,144.5
105,37.5
169,144.5
181,90.0
91,61.0
38,91.5
850,90.0
60,69.0
26,44.0
575,52.0
289,152.5
400,61.0
104,120.0
72,61.0
123,120.0
925,100.25
70,59.0
108,61.0
203,144.5
218,145.0
105,120.0
750,90.0
900,52.0
75,49.0
202,61.0
120,94.0
61,61.0
47,59.0
175,49.0
248,90.0
87,94.0
90,44.0
85,100.25
119,135.0
106,100.25
150,120.0
225,61.0
56,68.0
68,65.75
149,78.0
173,120.0
600,300.0
125,141.66666666666666
