y_real,y_pred_local
52,155.5
275,450.0
206,238.0
155,238.0
182,155.0
182,216.0
375,182.0
65,155.0
175,216.0
725,216.0
250,155.5
50,145.0
650,238.0
231,155.5
475,155.0
138,131.0
105,163.0
925,575.0
311,216.0
350,163.0
125,155.0
252,155.0
120,145.0
25,575.0
98,163.0
300,182.0
100,182.0
500,600.0
250,156.0
300,182.0
203,238.0
575,145.0
80,145.0
275,575.0
275,600.0
75,163.0
70,155.0
221,145.0
202,156.0
325,575.0
317,216.0
1045,216.0
112,156.0
495,216.0
168,238.0
123,145.0
119,155.5
61,145.0
525,550.0
116,155.0
700,145.0
200,163.0
35,145.0
168,156.0
83,155.0
238,238.0
116,145.0
49,145.0
500,155.5
450,155.5
203,156.0
119,156.0
225,156.0
155,156.0
475,675.0
1220,216.0
203,238.0
44,155.0
350,575.0
245,216.0
325,575.0
575,825.0
550,675.0
175,155.0
99,156.0
54,156.0
56,145.0
163,155.0
425,575.0
75,145.0
225,163.0
325,156.0
525,155.0
375,155.0
204,156.0
350,575.0
29,155.0
56,163.0
525,500.0
70,156.0
675,155.0
650,155.0
123,145.0
263,182.0
279,156.0
135,156.0
236,238.0
250,500.0
56,131.0
625,145.0
145,238.0
500,575.0
98,155.0
263,216.0
150,216.0
500,145.0
150,182.0
600,145.0
84,155.0
100,575.0
350,163.0
275,145.0
300,575.0
111,156.0
325,675.0
200,550.0
600,216.0
51,156.0
52,145.0
91,145.0
216,155.0
189,182.0
224,145.0
165,145.0
240,238.0
124,131.0
231,145.0
545,825.0
325,500.0
120,145.0
115,145.0
225,625.0
725,216.0
90,163.0
162,238.0
163,216.0
350,500.0
450,500.0
225,550.0
200,625.0
131,156.0
125,550.0
111,155.0
825,163.0
87,155.0
203,238.0
105,155.5
169,238.0
181,155.0
91,145.0
38,155.5
850,155.0
60,155.5
26,155.0
575,163.0
289,216.0
400,145.0
104,182.0
72,145.0
123,182.0
925,145.0
70,131.0
108,145.0
203,238.0
218,182.0
105,182.0
750,155.0
900,163.0
75,155.0
202,145.0
120,145.0
61,145.0
47,131.0
175,155.0
248,155.0
87,145.0
90,155.0
85,145.0
119,182.0
106,156.0
150,182.0
225,145.0
56,145.0
68,131.0
149,156.0
173,182.0
600,575.0
125,625.0
900,145.0
100,500.0
750,145.0
125,145.0
116,131.0
550,825.0
225,131.0
150,500.0
150,155.0
375,155.0
250,575.0
113,131.0
475,155.5
275,156.0
208,216.0
198,156.0
133,182.0
145,156.0
725,163.0
203,145.0
112,145.0
59,156.0
239,156.0
525,825.0
94,156.0
50,131.0
575,825.0
182,216.0
425,131.0
825,155.0
325,155.0
