y_real,y_pred_local
52,149.0
275,416.6666666666667
206,246.0
155,246.0
182,135.0
182,218.0
375,155.5
65,135.0
175,202.0
725,208.0
250,149.0
50,133.0
650,246.0
231,145.0
475,135.0
138,119.0
105,135.5
925,587.5
311,218.0
350,135.5
125,128.0
252,163.75
120,133.0
25,416.6666666666667
98,135.5
300,155.5
100,155.5
500,495.0
250,174.0
300,155.5
203,246.0
575,135.0
80,131.0
275,475.0
275,495.0
75,135.5
70,128.0
221,131.0
202,174.0
325,416.6666666666667
317,218.0
1045,202.0
112,174.0
495,218.0
168,246.0
123,133.0
119,145.0
61,133.0
525,593.75
116,135.0
700,131.0
200,135.5
35,129.25
168,174.0
83,128.0
238,246.0
116,129.25
49,133.0
500,149.0
450,149.0
203,174.0
119,149.0
225,163.0
155,133.0
475,587.5
1220,218.0
203,246.0
44,135.0
350,645.0
245,208.0
325,645.0
575,775.0
550,487.5
175,128.0
99,163.75
54,133.0
56,133.0
163,128.0
425,645.0
75,133.0
225,135.5
325,149.0
525,128.0
375,128.0
204,149.0
350,645.0
29,128.0
56,135.5
525,475.0
70,167.5
675,135.0
650,128.0
123,131.0
263,155.5
279,133.0
135,149.0
236,246.0
250,484.375
56,119.0
625,131.0
145,246.0
500,587.5
98,135.0
263,224.0
150,202.0
500,133.0
150,155.5
600,163.75
84,135.0
100,475.0
350,135.5
275,133.0
300,416.6666666666667
111,149.0
325,587.5
200,593.75
600,202.0
51,133.0
52,133.0
91,133.0
216,163.75
189,155.5
224,163.75
165,131.0
240,246.0
124,123.0
231,163.75
545,775.0
325,475.0
120,163.75
115,133.0
225,510.0
725,202.0
90,135.5
162,246.0
163,218.0
350,484.375
450,475.0
225,512.5
200,510.0
131,149.0
125,512.5
111,135.0
825,135.5
87,135.0
203,246.0
105,145.0
169,246.0
181,163.75
91,131.0
38,140.0
850,163.75
60,145.0
26,135.0
575,135.5
289,255.0
400,131.0
104,155.5
72,131.0
123,155.5
925,163.75
70,123.0
108,131.0
203,246.0
218,155.5
105,155.5
750,163.75
900,135.5
75,128.0
202,131.0
120,128.0
61,131.0
47,123.0
175,128.0
248,163.75
87,143.0
90,135.0
85,163.75
119,155.5
106,163.75
150,155.5
225,131.0
56,135.0
68,119.0
149,149.0
173,155.5
600,475.0
125,530.0
900,163.75
100,475.0
750,163.75
125,133.0
116,115.5
550,775.0
225,140.5
150,484.375
150,135.0
375,128.0
250,525.0
113,123.0
475,149.0
275,163.0
208,218.0
198,163.0
133,155.5
145,133.0
725,135.5
203,163.75
112,163.75
59,165.0
239,174.0
525,839.0
94,152.0
50,123.0
575,775.0
182,218.0
425,140.5
825,163.75
325,135.0
75,416.6666666666667
105,135.5
300,475.0
475,475.0
125,128.0
775,475.0
600,135.5
109,163.0
232,208.0
500,484.375
225,487.5
525,810.0
450,484.375
140,140.66666666666666
825,202.0
140,155.5
143,149.0
250,123.0
65,163.0
500,487.5
400,475.0
196,143.0
96,149.0
145,131.0
138,149.0
925,155.5
128,131.0
175,487.5
525,135.5
124,163.75
111,163.75
248,246.0
38,133.0
39,145.0
36,135.0
105,155.5
150,475.0
300,133.0
221,131.0
126,135.5
38,140.0
250,566.6666666666666
900,135.0
98,196.0
39,133.0
675,131.0
111,246.0
450,135.0
225,128.0
420,208.0
325,487.5
87,135.0
500,218.0
109,133.0
150,163.75
207,208.0
69,149.0
149,163.75
117,143.0
400,128.0
30,128.0
149,246.0
150,155.5
150,131.0
250,475.0
204,140.0
75,149.0
175,135.0
193,149.0
147,202.0
225,510.0
175,135.0
91,155.5
100,140.0
125,115.5
150,135.5
425,131.0
725,163.75
375,593.75
500,155.5
325,487.5
210,135.5
