y_real,y_pred_local
52,223.0
275,153.33333333333334
206,289.0
155,286.3333333333333
182,208.0
182,855.0
375,683.3333333333334
65,215.33333333333334
175,855.0
725,272.0
250,223.0
50,141.5
650,264.0
231,231.0
475,683.3333333333334
138,195.0
105,231.0
925,200.0
311,855.0
350,691.6666666666666
125,492.85714285714283
252,845.0
120,141.5
25,153.33333333333334
98,691.6666666666666
300,224.0
100,683.3333333333334
500,153.33333333333334
250,206.0
300,683.3333333333334
203,286.3333333333333
575,492.85714285714283
80,215.0
275,172.5
275,153.33333333333334
75,208.0
70,630.0
221,215.5
202,206.0
325,153.33333333333334
317,855.0
1045,855.0
112,206.0
495,855.0
168,240.0
123,141.5
119,231.0
61,141.5
525,216.0
116,660.0
700,225.0
200,691.6666666666666
35,207.0
168,232.0
83,630.0
238,286.3333333333333
116,207.0
49,207.0
500,223.0
450,223.0
203,206.0
119,210.0
225,658.3333333333334
155,140.0
475,181.0
1220,855.0
203,240.0
44,215.33333333333334
350,194.25
245,272.0
325,245.0
575,200.0
550,181.0
175,492.85714285714283
99,264.0
54,140.0
56,207.0
163,630.0
425,245.0
75,141.5
225,231.0
325,210.0
525,630.0
375,630.0
204,208.0
350,194.25
29,630.0
56,231.0
525,165.0
70,276.0
675,570.8333333333334
650,630.0
123,215.0
263,683.3333333333334
279,224.5
135,208.0
236,240.0
250,245.0
56,195.0
625,225.0
145,240.0
500,200.0
98,660.0
263,855.0
150,855.0
500,650.0
150,683.3333333333334
600,700.0
84,660.0
100,172.5
350,691.6666666666666
275,141.5
300,153.33333333333334
111,210.0
325,181.0
200,128.0
600,855.0
51,224.5
52,207.0
91,141.5
216,845.0
189,683.3333333333334
224,215.33333333333334
165,215.0
240,240.0
124,228.0
231,207.0
545,194.25
325,165.0
120,700.0
115,171.0
225,163.0
725,855.0
90,231.0
162,264.0
163,855.0
350,245.0
450,165.0
225,195.0
200,194.25
131,179.0
125,195.0
111,660.0
825,691.6666666666666
87,570.8333333333334
203,286.3333333333333
105,223.0
169,264.0
181,845.0
91,215.0
38,208.0
850,845.0
60,223.0
26,660.0
575,691.6666666666666
289,208.0
400,215.0
104,683.3333333333334
72,215.0
123,683.3333333333334
925,650.0
70,228.0
108,215.0
203,264.0
218,224.0
105,683.3333333333334
750,845.0
900,691.6666666666666
75,630.0
202,272.0
120,492.85714285714283
61,215.0
47,228.0
175,630.0
248,845.0
87,492.85714285714283
90,660.0
85,207.0
119,224.0
106,264.0
150,683.3333333333334
225,225.0
56,492.85714285714283
68,195.0
149,206.0
173,683.3333333333334
600,172.5
125,169.0
900,700.0
100,165.0
750,700.0
125,650.0
116,224.0
550,200.0
225,195.0
150,245.0
150,660.0
375,630.0
250,169.0
113,228.0
475,223.0
275,658.3333333333334
208,215.33333333333334
198,215.33333333333334
133,683.3333333333334
145,140.0
725,691.6666666666666
203,215.33333333333334
112,700.0
59,206.0
239,232.0
525,245.0
94,264.0
50,228.0
575,181.0
182,855.0
425,195.0
825,845.0
325,660.0
75,153.33333333333334
105,215.33333333333334
300,165.0
475,172.5
125,492.85714285714283
775,172.5
600,691.6666666666666
109,264.0
232,272.0
500,245.0
225,182.0
525,225.0
450,245.0
140,195.0
825,855.0
140,224.0
143,210.0
